Symbol,Sector,Mktcap,EMA_21,EMA_50,ADX,RSI
SAIL,Metals - Iron & Steel,MidCap,132.36,127.95,24.34,56.88
LGBBROSLTD,Auto - Wheels ,SmallCap,1282.73,1271.53,21.59,55.55
NAM-INDIA,Financials - AMC,MidCap,783.58,744.33,25.32,59.48
BAYERCROP,Agrochem - Pesticides,SmallCap,6066.94,5689.08,47.35,61.72
JUBLPHARMA,Healthcare - CRAMS/CDMO,SmallCap,1159.47,1104.24,29.8,54.54
NYKAA,IT - Platform - Ecommerce,MidCap,205.37,199.5,34.52,64.68
STYLEBAAZA,Textiles - Fashion Retail,SmallCap,285.92,280.99,23.65,52.07
RAJRATAN,Auto - Wheels ,SmallCap,417.98,410.04,30.72,50.47
JAMNAAUTO,Auto - Suspension & Axles,SmallCap,93.19,90.2,25.82,56.19
RAYMONDLSL,Textiles - Fashion Retail,SmallCap,1209.53,1149.33,40.0,61.1
FORCEMOT,Auto - Cars/UVs,SmallCap,14646.83,12964.4,55.45,68.62
AARTIPHARM,Healthcare - CRAMS/CDMO,SmallCap,894.2,860.65,31.13,61.5
KALAMANDIR,Textiles - Fashion Retail,SmallCap,148.8,140.99,39.1,60.89
SMCGLOBAL,Financials - Broking,SmallCap,147.53,136.16,36.72,63.92
RAMCOIND,Infra - Cement,SmallCap,277.67,266.65,35.31,60.91
GOCLCORP,Defense - Explosives,SmallCap,367.86,346.56,35.45,60.88
KSB,Industrial - Pumps/Engines,SmallCap,829.94,810.06,25.11,67.3
FAZE3Q,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,598.12,568.03,22.31,61.11
SUVEN,Healthcare - CRAMS/CDMO,SmallCap,249.7,222.53,34.56,68.83
GLAND,Healthcare - CRAMS/CDMO,MidCap,1801.27,1701.18,51.91,67.39
AXISCADES,IT - Services,SmallCap,1365.26,1205.57,43.77,62.38
ROHLTD,Leisure - Hotels,SmallCap,386.3,381.78,23.28,61.4
ETERNAL,IT - Platform - Ecommerce,LargeCap,258.04,249.19,25.26,60.07
