Symbol,Sector,Mktcap,02-Sep,03-Sep,04-Sep,05-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,15-Sep,CMF_52D_High
INGERRAND,Industrial - Pumps/Engines,SmallCap,0.02,0.04,0.05,0.07,0.07,0.12,0.11,0.14,0.12,0.16,0.21
INOXINDIA,Industrial Products - Misc,SmallCap,0.04,0.03,0.13,0.07,0.16,0.16,0.17,0.17,0.25,0.34,0.34
INTELLECT,IT - Software/Consulting,SmallCap,0.17,0.11,0.11,0.11,0.09,0.2,0.26,0.29,0.31,0.32,0.32
IOLCP,Healthcare - API/Drug,SmallCap,-0.07,0.0,0.01,0.02,0.38,0.27,0.22,0.19,0.22,0.22,0.38
IRCON,Railways,SmallCap,0.03,-0.04,-0.05,-0.01,-0.07,-0.04,-0.12,-0.13,-0.11,0.13,0.13
ITCHOTELS,Leisure - Hotels,SmallCap,0.13,0.1,0.05,0.06,0.0,0.07,0.1,0.11,0.07,0.04,0.29
ITI,Telecom - Equipments,SmallCap,0.22,0.22,0.2,0.18,-0.01,0.02,-0.01,0.01,0.02,0.06,0.27
JAICORPLTD,Industrial Products - Plastic,SmallCap,0.26,0.55,0.42,0.35,0.36,0.35,0.33,0.33,0.32,0.31,0.55
JBCHEPHARM,Healthcare - Formulations,SmallCap,0.12,0.17,0.2,0.22,0.11,0.13,0.07,0.07,0.06,0.03,0.3
JBMA,Auto - Body,SmallCap,-0.21,-0.23,-0.26,-0.23,-0.26,-0.22,-0.22,-0.25,0.45,0.28,0.45
JINDALPOLY,Packaging - Flex,SmallCap,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.51
JINDALSTEL,Metals - Iron & Steel,LargeCap,-0.07,0.0,-0.01,0.01,-0.06,-0.04,-0.04,-0.05,-0.01,0.03,0.13
JISLJALEQS,Industrial Products - Plastic,SmallCap,0.03,0.11,0.07,0.07,0.05,0.05,0.03,0.11,0.02,0.03,0.17
JKCEMENT,Infra - Cement,MidCap,0.12,0.05,0.01,0.03,0.06,0.02,0.04,0.04,0.03,0.02,0.17
JKPAPER,Paper - Speciality,SmallCap,0.44,0.44,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.59
JKTYRE,Auto - Tyres,SmallCap,0.01,-0.01,-0.04,-0.03,-0.06,0.03,0.08,0.21,0.22,0.22,0.22
JSFB,Financials - Private Bank,SmallCap,0.23,0.19,0.18,0.15,0.12,0.14,0.13,0.12,0.08,0.11,0.23
JSWSTEEL,Metals - Iron & Steel,LargeCap,-0.13,-0.11,-0.09,-0.07,-0.06,-0.02,-0.02,-0.01,-0.01,0.01,0.07
JTLIND,Metals - Pipe & Tube,SmallCap,0.13,0.16,0.17,0.23,0.13,0.09,0.1,0.1,0.11,0.13,0.23
JUBLCPL,Chemicals - Specialty - FMCG,SmallCap,0.08,0.08,0.07,0.08,0.07,0.04,-0.02,0.04,0.07,0.05,0.27
JUBLPHARMA,Healthcare - CRAMS/CDMO,SmallCap,-0.07,-0.09,-0.0,0.04,0.02,0.04,0.03,0.04,0.05,0.08,0.22
JUNIPER,Leisure - Hotels,SmallCap,-0.17,-0.15,-0.12,-0.15,-0.16,-0.2,-0.25,-0.14,-0.07,0.08,0.08
KABRAEXTRU,Electronics - Components,SmallCap,0.13,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.34
KALAMANDIR,Textiles - Fashion Retail,SmallCap,0.12,0.07,0.07,0.06,0.03,0.07,0.06,0.06,0.07,0.09,0.22
KAYNES,Electronics - EMS,SmallCap,-0.03,0.04,0.09,0.14,0.13,0.19,0.17,0.18,0.15,0.13,0.19
KEC,Railways,SmallCap,-0.03,-0.05,-0.03,-0.03,-0.04,0.01,0.01,0.01,0.02,0.04,0.13
KEI,Power - Wiring,MidCap,0.05,0.04,0.19,0.14,0.11,0.11,0.15,0.11,0.13,0.1,0.19
KINGFA,Industrial Products - Plastic,SmallCap,0.24,0.2,0.25,0.25,0.2,0.22,0.23,0.25,0.25,0.19,0.29
KIOCL,Metals - Iron & Steel,SmallCap,0.22,0.15,0.18,0.21,0.19,0.18,0.19,0.19,0.2,0.19,0.5
KIRLOSBROS,Industrial - Pumps/Engines,SmallCap,0.25,0.25,0.24,0.24,0.08,0.14,0.15,0.15,0.12,0.15,0.27
KMEW,Engineering - Dredging,SmallCap,0.08,0.05,0.04,0.04,0.05,0.08,0.06,0.05,0.35,0.27,0.35
KOLTEPATIL,Real Estate,SmallCap,0.17,0.18,0.17,0.19,0.2,0.21,0.22,0.23,0.25,0.24,0.25
KRISHANA,Agrochem - Fertilizers,SmallCap,0.23,0.2,0.15,0.18,0.18,0.19,0.19,0.21,0.14,0.13,0.34
KROSS,Auto - Suspension & Axles,SmallCap,0.16,0.16,0.16,0.23,0.22,0.22,0.21,0.18,0.18,0.18,0.37
KSCL,Agri - Seeds,SmallCap,0.14,0.12,0.1,0.11,0.09,0.09,0.08,0.07,0.0,0.13,0.22
LANDMARK,Auto - Misc,SmallCap,0.38,0.34,0.39,0.44,0.43,0.4,0.4,0.43,0.37,0.37,0.44
LAOPALA,Consumption - Homeware,SmallCap,-0.04,0.01,-0.0,-0.04,-0.1,0.1,0.09,0.04,0.05,0.06,0.34
LGHL,Real Estate,SmallCap,-0.15,-0.11,-0.05,-0.02,-0.0,0.04,0.01,-0.03,0.03,0.02,0.15
LINCOLN,Healthcare - Formulations,SmallCap,0.3,0.3,0.3,0.3,-0.36,-0.12,0.0,0.04,0.08,0.09,0.46
LTF,Financials - NBFC,MidCap,0.17,0.17,0.15,0.15,0.13,0.15,0.13,0.12,0.11,0.12,0.25
LTFOODS,Agri - Rice,SmallCap,-0.06,-0.04,-0.05,-0.03,-0.03,-0.04,-0.04,0.02,0.03,0.06,0.31
LTIM,IT - Enterprise,LargeCap,0.07,0.03,0.01,0.06,0.02,0.06,0.06,0.06,0.04,0.16,0.16
LUMAXIND,Auto - Lighting & Electronics,SmallCap,0.32,0.29,0.29,0.3,0.37,0.39,0.38,0.39,0.39,0.41,0.41
LUPIN,Healthcare - Formulations,MidCap,-0.03,-0.01,0.0,0.08,-0.13,-0.07,-0.08,-0.08,-0.07,0.02,0.08
M&MFIN,Financials - NBFC,MidCap,0.08,-0.01,0.01,0.04,0.03,0.04,0.02,0.01,0.02,0.04,0.35
MAHLOG,Transport - Logistics,SmallCap,0.0,0.04,0.05,0.06,0.01,-0.01,-0.09,-0.07,-0.06,0.03,0.23
MAHSCOOTER,Financials - Holding/Investing,SmallCap,-0.02,0.06,0.11,0.06,0.15,0.24,0.22,0.21,0.2,0.15,0.27
MAMATA,Industial Products - Machinery,SmallCap,-0.27,-0.21,-0.18,-0.23,-0.3,-0.25,0.45,0.36,0.33,0.33,0.53
MARATHON,Real Estate,SmallCap,0.02,-0.01,-0.03,0.03,0.0,0.04,0.03,0.05,0.06,0.05,0.24
MARINE,Electronics - Components,SmallCap,-0.1,-0.1,-0.07,-0.05,0.03,0.02,0.07,0.02,0.07,0.13,0.13
MARUTI,Auto - Cars/UVs,LargeCap,0.4,0.4,0.31,0.32,0.34,0.38,0.35,0.32,0.33,0.31,0.4
MEDPLUS,IT - Platform - Healthcare/Pharma,SmallCap,-0.18,-0.2,-0.08,-0.05,-0.1,-0.09,-0.14,-0.13,0.05,0.12,0.23
METROBRAND,Consumption - Footwear,SmallCap,-0.09,-0.13,0.02,0.05,0.04,0.21,0.22,0.23,0.29,0.28,0.29
METROPOLIS,Healthcare - Diagnostics,SmallCap,0.22,0.19,0.18,0.13,0.14,0.12,0.13,0.08,0.1,0.05,0.38
MICEL,Electronics - Components,SmallCap,-0.18,-0.26,-0.18,0.25,0.5,0.29,0.32,0.22,0.18,0.14,0.5
MOBIKWIK,IT - Fintech,SmallCap,0.45,0.36,0.29,0.25,0.32,0.26,0.21,0.19,0.18,0.2,0.45
MONTECARLO,Textiles - Fashion Retail,SmallCap,-0.31,-0.25,-0.26,-0.25,-0.16,-0.11,-0.06,-0.05,0.01,0.13,0.13
MOREPENLAB,Healthcare - Formulations - OTC,SmallCap,-0.21,-0.19,-0.2,-0.19,-0.21,-0.08,-0.03,0.04,0.02,0.02,0.04
MOSCHIP,IT - Hardware,SmallCap,0.06,0.13,0.35,0.31,0.33,0.21,0.22,0.27,0.23,0.27,0.35
MOTHERSON,Auto - Glass/Body,LargeCap,0.04,0.03,0.0,0.02,0.08,0.12,0.12,0.11,0.15,0.21,0.21
MSUMI,Auto - Electricals & Electronics,MidCap,0.28,0.26,0.25,0.31,0.33,0.35,0.36,0.4,0.43,0.39,0.43
MTARTECH,Defense - Mfg,SmallCap,0.13,0.14,-0.17,-0.16,-0.11,-0.13,-0.1,-0.06,0.21,0.19,0.21
MUTHOOTFIN,Financials - NBFC,MidCap,0.14,0.12,0.15,0.14,0.14,0.17,0.16,0.16,0.17,0.04,0.37
MUTHOOTMF,Financials - MFI,SmallCap,-0.06,-0.01,-0.01,0.05,0.0,0.0,-0.01,-0.05,-0.12,0.01,0.31
NATIONALUM,Metals - Aluminium,MidCap,0.16,0.19,0.17,0.19,0.12,0.12,0.13,0.16,0.19,0.16,0.19
NAVA,Power - Misc,SmallCap,0.26,0.25,0.24,0.23,0.23,0.24,0.22,0.23,0.23,0.23,0.26
NAVNETEDUL,Media - Publishing,SmallCap,0.24,0.2,0.04,0.03,0.02,0.06,0.04,0.02,0.01,0.03,0.36
NAZARA,IT - Gaming/Entertainment,SmallCap,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.07,0.07,0.2
NDTV,Media - TV Broadcast,SmallCap,0.08,0.08,0.08,0.08,0.09,0.09,0.3,0.32,0.48,0.4,0.48
NEOGEN,Chemicals - Specialty - Pharma,SmallCap,-0.17,-0.08,-0.05,-0.03,0.26,0.24,0.27,0.26,0.27,0.25,0.27
NESCO,Real Estate,SmallCap,0.23,0.23,0.22,0.19,0.27,0.24,0.21,0.18,0.16,0.15,0.38
NESTLEIND,Consumption - FMCG Conglomerates ,LargeCap,0.03,0.01,-0.07,-0.03,-0.07,-0.0,0.0,0.03,0.03,0.03,0.14
NETWEB,IT - Hardware,SmallCap,0.26,0.31,0.37,0.45,0.3,0.32,0.3,0.28,0.26,0.23,0.45
NEULANDLAB,Healthcare - API/Drug,SmallCap,0.13,0.12,0.2,0.11,0.11,0.14,0.14,0.22,0.27,0.23,0.45
NEWGEN,IT - Software/Consulting,SmallCap,0.14,0.14,-0.11,-0.05,-0.04,-0.04,-0.04,-0.04,-0.03,0.03,0.18
NHPC,Power - Generation,MidCap,-0.09,-0.12,-0.2,-0.18,-0.18,-0.17,-0.17,-0.06,-0.01,0.13,0.13
NIBE,Defense - Mfg,SmallCap,-0.35,-0.32,-0.32,-0.33,-0.38,-0.29,-0.22,-0.15,-0.03,0.11,0.11
NLCINDIA,Power - Generation,MidCap,-0.1,-0.22,-0.09,-0.05,-0.1,-0.01,0.16,0.03,0.07,0.03,0.2
NMDC,Mining - Coal/Minerals,MidCap,0.06,0.12,0.1,0.14,0.08,0.13,0.16,0.16,0.16,0.21,0.21
NOCIL,Chemicals - Specialty - Rubber,SmallCap,-0.0,0.06,0.1,0.1,0.06,0.06,0.05,0.07,0.04,0.09,0.12
NORTHARC,Financials - NBFC,SmallCap,0.07,0.09,0.1,0.11,0.08,0.15,0.1,0.08,0.05,0.26,0.26
NYKAA,IT - Platform - Ecommerce,MidCap,0.1,0.12,0.09,0.09,0.1,0.09,0.07,0.07,0.12,0.1,0.35
ONESOURCE,Healthcare - Formulations,SmallCap,0.23,0.22,0.17,0.14,0.11,0.08,0.04,0.03,0.01,0.02,0.23
PANACEABIO,Healthcare - Biotech,SmallCap,0.12,0.12,0.07,0.08,0.05,0.09,0.15,0.04,0.02,0.06,0.15
PARAGMILK,Consumption - Dairy,SmallCap,0.06,0.04,-0.11,-0.08,0.08,0.04,0.08,0.13,0.1,0.08,0.14
PARAS,Defense - Technology & Electronics,SmallCap,-0.02,-0.08,-0.08,-0.05,-0.09,-0.07,-0.08,-0.13,0.01,0.06,0.08
PAYTM,IT - Fintech,MidCap,-0.09,-0.05,0.06,0.05,0.02,0.04,-0.01,-0.04,0.11,0.1,0.47
PEL,Financials - NBFC,SmallCap,-0.15,-0.16,-0.15,-0.11,-0.13,-0.12,-0.18,-0.17,-0.1,0.04,0.4
PENIND,Industial Products - Precision Components,SmallCap,0.19,0.18,0.17,0.22,0.21,0.21,0.22,0.22,0.2,0.25,0.27
PERSISTENT,IT - Software/Consulting,MidCap,0.13,0.09,0.04,0.02,-0.08,-0.01,0.06,0.09,0.09,0.07,0.18
PFIZER,Healthcare - Formulations,SmallCap,-0.07,-0.07,-0.09,-0.09,-0.1,-0.09,-0.09,-0.08,-0.07,0.12,0.12
PGHH,Consumption - Personal,SmallCap,-0.04,-0.04,-0.05,-0.04,-0.05,0.05,0.03,0.04,0.06,0.06,0.06
PGIL,Textiles - Exports,SmallCap,-0.11,-0.12,-0.17,-0.15,-0.11,-0.12,0.09,0.07,0.07,0.06,0.17
PHOENIXLTD,Real Estate,MidCap,0.18,0.1,0.01,0.07,0.06,0.12,0.09,0.06,0.08,0.09,0.37
PILANIINVS,Financials - Holding/Investing,SmallCap,0.17,0.2,0.15,0.13,0.11,0.14,0.14,0.2,0.05,0.09,0.2
PITTIENG,Electronics - Components,SmallCap,0.19,0.19,0.2,0.17,0.2,0.17,0.24,0.19,0.19,0.2,0.25
PIXTRANS,Industrial Products - Rubber,SmallCap,-0.16,-0.18,-0.18,-0.2,-0.22,-0.22,-0.12,0.21,0.05,0.01,0.21
PNBHOUSING,Financials - Housing,SmallCap,-0.19,-0.08,-0.01,0.03,0.05,0.05,0.04,0.07,0.09,0.11,0.11
POCL,Metals - Non Ferrous,SmallCap,-0.02,0.07,0.06,0.24,0.18,0.15,0.11,0.16,0.14,0.16,0.24
PPLPHARMA,Healthcare - CRAMS/CDMO,SmallCap,-0.32,0.04,0.04,0.1,0.04,0.07,0.03,0.02,0.02,0.06,0.27
PRECAM,Auto - Drivetrain,SmallCap,-0.14,-0.15,-0.18,-0.12,0.76,0.64,0.52,0.48,0.42,0.4,0.76
PREMEXPLN,Defense - Explosives,SmallCap,0.3,0.36,0.36,0.38,0.36,0.34,0.32,0.32,0.09,0.04,0.38
PREMIERENE,Power - Green Equipment,MidCap,-0.15,-0.15,-0.13,-0.15,-0.16,-0.15,-0.08,0.02,0.02,0.01,0.18
PRINCEPIPE,Infra - Plastic Products,SmallCap,0.07,0.06,0.06,0.06,0.12,0.15,0.14,0.13,0.08,0.08,0.15
PRUDENT,Financials - WMC,SmallCap,0.05,0.11,0.16,0.1,0.06,0.09,0.1,0.11,0.07,0.11,0.26
PSPPROJECT,Infra - Residential & Commercial Buildings,SmallCap,0.12,-0.15,-0.02,-0.04,0.01,0.1,0.16,0.15,0.18,0.24,0.28
PUNJABCHEM,Agrochem - Pesticides,SmallCap,-0.33,-0.33,-0.27,-0.3,-0.34,-0.32,-0.36,-0.32,0.26,0.24,0.54
PVRINOX,Media - Misc,SmallCap,0.2,0.18,0.15,0.12,0.07,0.12,0.12,0.13,0.13,0.15,0.2
QPOWER,Power - Equipment,SmallCap,0.04,0.07,0.08,0.09,0.06,0.12,0.16,0.15,0.18,0.16,0.39
QUADFUTURE,Power - Wiring,SmallCap,0.29,0.23,0.24,0.22,0.21,0.2,0.19,0.18,0.17,0.17,0.29
QUICKHEAL,IT - Product - Software,SmallCap,-0.15,-0.22,-0.22,-0.21,-0.23,0.25,0.16,0.12,0.08,0.08,0.25
RADICO,Beverages - Alcohol,SmallCap,0.09,0.21,0.15,0.07,0.04,0.06,0.14,0.15,0.15,0.24,0.24
RAILTEL,Railways,SmallCap,-0.22,-0.33,-0.31,-0.3,-0.34,-0.01,-0.03,-0.02,0.03,0.16,0.16
RAJESHEXPO,Consumption - Jewelry,SmallCap,-0.11,-0.14,-0.19,-0.12,-0.03,0.09,0.11,0.13,0.12,0.13,0.13
RAMCOSYS,IT - Product - Software,SmallCap,0.23,0.21,0.19,0.21,0.28,0.2,0.18,0.05,0.01,0.07,0.33
RAYMONDLSL,Textiles - Fashion Retail,SmallCap,0.17,0.15,0.14,0.15,0.15,0.17,0.16,0.16,0.16,0.16,0.22
RBLBANK,Financials - Private Bank,SmallCap,0.12,0.09,0.06,0.12,0.1,0.13,0.16,0.16,0.17,0.17,0.24
REDTAPE,Consumption - Footwear,SmallCap,0.02,-0.04,-0.11,0.15,0.06,0.06,0.03,0.02,0.05,0.04,0.2
RELAXO,Consumption - Footwear,SmallCap,0.21,0.21,0.15,0.15,0.13,0.15,0.13,0.13,0.13,0.12,0.41
RELTD,Power - Green - Misc,SmallCap,,,,,0.08,0.11,0.08,-0.05,0.2,0.34,0.34
RESPONIND,Infra - Plastic Products,SmallCap,0.06,0.01,0.02,0.07,0.07,0.1,0.1,0.08,0.11,0.13,0.13
RGL,Consumption - Jewelry,SmallCap,0.15,-0.05,0.05,0.08,-0.01,0.03,0.03,0.02,0.07,0.1,0.28
RICOAUTO,Auto - Drivetrain,SmallCap,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.02,0.66
RISHABH,Electronics - Automation,SmallCap,0.46,0.46,0.46,0.43,0.43,0.43,0.43,0.43,0.43,0.3,0.83
RITES,Railways,SmallCap,0.11,0.05,0.03,0.08,0.05,0.19,0.11,0.08,0.1,0.12,0.19
ROHLTD,Leisure - Hotels,SmallCap,0.5,0.47,0.46,0.45,0.44,0.43,0.43,0.41,0.4,0.4,0.55
RPOWER,Power - Generation,SmallCap,,,0.1,-0.12,-0.04,0.06,0.09,0.07,0.07,0.02,0.12
RTNINDIA,IT - Platform - Ecommerce,SmallCap,0.28,0.27,0.26,0.27,0.26,0.26,0.24,0.24,0.23,0.23,0.33
SAGCEM,Infra - Cement,SmallCap,0.05,0.08,0.36,0.37,0.33,0.3,0.28,0.21,0.2,0.19,0.37
SAIL,Metals - Iron & Steel,MidCap,0.09,0.16,0.1,0.14,0.02,0.02,-0.03,-0.0,-0.03,0.02,0.16
SAMHI,Leisure - Hotels,SmallCap,-0.08,-0.04,-0.06,-0.11,-0.19,-0.18,-0.15,-0.16,-0.16,0.02,0.19
SAMMAANCAP,Financials - Housing,SmallCap,0.19,0.12,0.11,0.12,0.1,0.1,0.1,0.12,0.14,0.13,0.2
SANGAMIND,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,0.05,0.12,0.32,0.29,0.27,0.28,0.21,0.22,0.21,0.2,0.32
SANGHVIMOV,Auto - Construction,SmallCap,0.07,0.05,0.02,0.03,0.14,-0.05,-0.24,0.08,0.09,0.09,0.14
SANOFICONR,Healthcare - Formulations - OTC,SmallCap,0.07,0.07,0.17,0.08,0.11,0.05,0.02,0.03,0.05,0.05,0.22
SANSTAR,Agri - Misc,SmallCap,-0.03,0.01,0.01,-0.02,0.06,0.05,-0.01,-0.0,0.14,0.09,0.14
SARDAEN,Metals - Iron & Steel,SmallCap,0.15,-0.0,-0.07,-0.31,-0.1,-0.02,-0.06,-0.03,-0.04,0.08,0.53
SBICARD,Financials - NBFC,MidCap,0.09,0.1,0.08,0.1,0.09,0.15,0.2,0.18,0.18,0.32,0.32
SCHNEIDER,Power - Equipment,SmallCap,,,,,,-0.08,0.04,0.13,0.02,0.05,0.52
SENORES,Healthcare - Formulations,SmallCap,0.09,0.05,0.06,0.11,0.12,0.13,0.1,0.06,0.0,0.02,0.26
SESHAPAPER,Paper,SmallCap,0.19,0.19,0.2,0.2,0.2,0.21,0.2,0.19,0.18,0.18,0.21
SFL,"Furniture, Home Furnishing",SmallCap,0.06,-0.06,0.01,0.04,0.02,0.03,0.03,0.05,0.03,0.03,0.12
SGLTL,Industial Products - Glasslined Equipments,SmallCap,-0.11,-0.14,-0.14,-0.09,0.01,0.02,0.03,0.05,0.05,0.09,0.28
SHAILY,Industrial Products - Plastic,SmallCap,0.13,0.12,0.12,0.12,0.12,0.11,0.09,0.21,0.18,0.21,0.21
SHALBY,Healthcare - Hospitals,SmallCap,-0.13,-0.17,-0.15,0.3,0.26,0.27,0.27,0.25,0.25,0.26,0.3
SHK,Consumption - Personal,SmallCap,0.09,0.11,0.09,0.07,0.05,0.04,0.05,0.06,0.07,0.08,0.22
SHREEPUSHK,Chemicals - Dyes,SmallCap,-0.35,-0.36,-0.29,-0.23,-0.31,-0.37,-0.45,-0.5,-0.36,0.57,0.57
SIGACHI,Healthcare - API/Drug,SmallCap,-0.22,-0.23,-0.24,-0.22,-0.24,-0.21,-0.23,0.54,0.65,0.44,0.65
SILVERTUC,IT - Services,SmallCap,-0.15,-0.15,-0.08,-0.1,-0.06,-0.06,0.09,0.08,0.08,0.06,0.27
SIMPLEXINF,Infra - Construction,SmallCap,-0.01,0.01,0.02,0.09,0.08,0.11,0.08,0.07,0.09,0.14,0.27
SIYSIL,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,0.02,0.08,0.09,0.14,0.13,0.17,0.13,0.2,0.18,0.2,0.2
SJS,Auto - Wheels ,SmallCap,0.1,0.17,0.13,0.14,0.13,0.13,0.12,0.11,0.11,0.14,0.17
SKFINDIA,Industrial Products - Bearings,SmallCap,-0.16,-0.17,-0.12,0.25,0.3,0.32,0.31,0.28,0.28,0.34,0.34
SMSPHARMA,Healthcare - API/Drug,SmallCap,-0.35,-0.34,-0.35,-0.34,-0.34,-0.35,-0.14,0.36,0.27,0.25,0.36
SOLARA,Healthcare - API/Drug,SmallCap,-0.01,0.07,0.09,0.09,0.09,0.05,0.02,-0.01,0.01,0.02,0.34
SPECTRUM,Industial Products - Electrical & Power Equipment,SmallCap,0.28,0.23,0.26,0.23,0.24,0.14,0.1,0.09,0.14,0.2,0.4
SPIC,Agrochem - Fertilizers,SmallCap,0.24,0.27,0.25,0.24,0.21,0.21,0.2,0.19,0.19,0.18,0.27
SPLPETRO,Chemicals - Petro,SmallCap,0.13,0.16,0.16,0.17,0.17,0.18,0.18,0.19,0.18,0.18,0.29
SSWL,Auto - Wheels ,SmallCap,-0.06,-0.03,-0.07,-0.07,0.04,0.06,0.12,0.1,0.11,0.14,0.14
STOVEKRAFT,Consumption - Kitchen/ Accessories,SmallCap,0.14,0.14,0.18,0.2,0.17,0.2,0.19,0.15,0.15,0.16,0.2
STYLAMIND,Infra - Laminates,SmallCap,-0.14,-0.24,-0.32,-0.25,0.16,0.14,0.17,0.15,0.12,0.12,0.38
STYLEBAAZA,Textiles - Fashion Retail,SmallCap,-0.16,0.06,0.05,0.05,0.02,0.05,0.04,0.06,0.09,0.09,0.39
SUMMITSEC,Financials - Holding/Investing,SmallCap,0.14,0.15,0.15,0.13,0.12,0.13,0.14,0.14,0.14,0.14,0.15
SUNDARMHLD,Financials - Insurance & Lending,SmallCap,-0.0,-0.08,-0.09,-0.07,0.06,0.17,0.17,0.12,0.17,0.22,0.22
SUNTECK,Real Estate,SmallCap,-0.27,-0.22,-0.24,0.25,0.1,0.06,0.05,0.04,0.05,0.06,0.25
SUPREMEIND,Industrial Products - Plastic,MidCap,0.14,0.14,0.14,0.18,0.09,0.08,-0.07,-0.02,0.02,0.03,0.29
SURAKSHA,Healthcare - Diagnostics,SmallCap,-0.28,-0.3,-0.31,-0.31,-0.29,-0.32,-0.3,-0.15,-0.09,0.06,0.06
SURYAROSNI,Metals - Pipe & Tube,SmallCap,-0.08,-0.04,-0.06,-0.06,-0.06,-0.04,-0.07,-0.07,-0.05,0.11,0.14
SWANENERGY,Real Estate,SmallCap,0.01,0.02,0.03,0.05,0.02,0.03,-0.0,0.04,-0.0,0.01,0.34
SWIGGY,IT - Platform - Ecommerce,LargeCap,0.1,0.08,0.09,0.13,0.07,0.08,0.04,0.04,0.04,0.05,0.14
SYNGENE,Healthcare - CRAMS/CDMO,MidCap,-0.1,-0.11,-0.1,-0.05,-0.09,-0.04,0.03,0.03,0.03,0.06,0.19
SYRMA,Electronics - EMS,SmallCap,0.01,0.13,0.26,0.16,0.18,0.22,0.17,0.16,0.12,0.1,0.27
TATACONSUM,Consumption - FMCG Conglomerates ,LargeCap,0.08,0.11,-0.01,0.04,0.01,0.05,0.08,0.14,0.13,0.16,0.26
TATASTEEL,Metals - Iron & Steel,LargeCap,0.06,0.16,0.1,0.13,0.03,0.05,0.04,0.03,0.06,0.14,0.16
TBOTEK,IT - Platform - Tour & Travel,SmallCap,-0.11,0.44,0.33,0.32,0.11,0.12,0.11,0.09,0.08,0.1,0.44
TCI,Transport - Logistics,SmallCap,0.01,0.06,0.05,0.07,0.09,0.09,0.05,0.05,0.06,0.09,0.34
TCPLPACK,Packaging - Rigid,SmallCap,0.09,0.07,-0.03,-0.04,-0.04,-0.06,-0.06,-0.04,0.02,0.02,0.09
TDPOWERSYS,Power - Equipment,SmallCap,-0.03,0.13,0.12,0.12,0.14,0.17,0.11,0.11,0.06,0.05,0.17
TEAMLEASE,HR Services / Outsourcing & Workplace Solutions,SmallCap,-0.15,-0.13,-0.05,-0.0,0.05,0.08,0.09,0.15,0.24,0.29,0.29
TECHM,IT - Software/Consulting,LargeCap,0.07,0.04,-0.05,-0.05,-0.11,-0.04,-0.01,-0.05,-0.02,0.04,0.16
TEGA,Industial Products - Material Handling/Mining,SmallCap,0.15,0.08,0.07,0.15,0.09,0.12,0.12,0.03,0.13,0.2,0.21
TFCILTD,Financials - Institute - Infra,SmallCap,0.15,0.16,0.17,0.19,0.23,0.24,0.25,0.25,0.25,0.13,0.37
THANGAMAYL,Consumption - Jewelry,SmallCap,0.14,0.13,0.11,0.1,0.04,0.06,0.05,0.03,0.06,0.04,0.22
THEMISMED,Healthcare - Formulations,SmallCap,0.22,0.22,0.22,-0.14,-0.26,-0.3,-0.29,-0.26,0.36,0.04,0.36
THOMASCOOK,IT - Platform - Tour & Travel,SmallCap,0.22,0.22,0.29,0.27,0.24,0.21,0.2,0.18,0.13,0.11,0.29
TIMKEN,Industrial Products - Bearings,SmallCap,-0.03,-0.05,-0.07,-0.02,-0.03,0.0,0.14,0.13,0.15,0.19,0.19
TIRUMALCHM,Chemicals - Petro,SmallCap,0.12,0.12,0.1,0.09,0.09,0.06,0.07,0.09,0.05,0.1,0.12
TITAGARH,Railways,SmallCap,-0.12,-0.12,-0.13,-0.12,-0.15,-0.02,0.07,0.03,0.14,0.13,0.15
TITAN,Consumption - Jewelry,LargeCap,0.17,0.19,0.14,0.14,0.12,0.07,0.03,0.02,0.03,0.01,0.29
TRITURBINE,Power - Equipment,SmallCap,-0.16,-0.17,-0.03,-0.05,-0.05,-0.05,-0.04,0.04,0.09,0.1,0.1
TTKPRESTIG,Consumption - Kitchen/ Accessories,SmallCap,0.11,0.22,0.2,0.04,0.03,0.03,0.02,0.01,0.03,0.04,0.22
TVSHLTD,Auto - Electricals & Batteries,SmallCap,-0.09,-0.11,-0.08,-0.07,0.04,0.05,0.09,0.1,0.1,0.09,0.14
TVSMOTOR,Auto - 2W,LargeCap,0.22,0.21,0.12,0.16,0.18,0.18,0.15,0.18,0.15,0.12,0.27
TVTODAY,Media - TV Broadcast,SmallCap,-0.26,-0.23,-0.19,-0.17,-0.12,-0.1,-0.06,-0.03,0.03,0.04,0.04
UGROCAP,Financials - NBFC,SmallCap,0.06,0.06,0.03,0.12,0.09,0.07,0.06,0.11,0.1,0.03,0.12
UNIECOM,IT - Platform - Catalogue Retail,SmallCap,0.24,0.25,0.2,0.18,0.16,0.15,0.13,0.1,0.08,0.09,0.25
UNITDSPR,Beverages - Alcohol,LargeCap,-0.05,-0.03,-0.01,-0.0,-0.01,0.04,-0.01,0.03,0.01,0.01,0.04
UNOMINDA,Auto - Electricals & Batteries,MidCap,0.25,0.22,0.14,0.21,0.18,0.17,0.14,0.17,0.13,0.08,0.29
