Symbol,Sector,Mktcap,02-Sep,03-Sep,04-Sep,05-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,15-Sep,CMF_52D_High
ATULAUTO,Auto - CV,SmallCap,-0.22,-0.22,0.62,0.57,0.55,0.52,0.5,0.48,0.42,0.42,0.62
AVALON,Electronics - EMS,SmallCap,-0.06,-0.05,-0.05,0.24,-0.19,-0.05,0.01,0.0,0.01,0.04,0.24
AVANTEL,Defense - Technology & Electronics,SmallCap,0.21,0.28,0.23,0.4,0.29,0.3,0.25,0.19,0.21,0.22,0.4
AVANTIFEED,Agri - Animal Feed,SmallCap,0.07,0.04,0.04,0.01,-0.03,-0.02,0.41,0.35,0.37,0.39,0.41
AVL,Consumption - Retail,SmallCap,0.28,-0.13,0.12,0.06,0.08,0.07,0.06,0.06,0.05,0.06,0.34
AWFIS,HR Services / Outsourcing & Workplace Solutions,SmallCap,-0.4,-0.38,-0.36,-0.35,-0.36,-0.35,-0.36,-0.0,-0.06,0.01,0.01
AXISCADES,IT - Services,SmallCap,0.13,0.17,0.11,0.08,0.15,0.15,0.28,0.27,0.31,0.28,0.31
BAJAJ-AUTO,Auto - 2W,LargeCap,0.18,0.18,0.1,0.1,0.11,0.14,0.1,0.09,0.05,0.07,0.23
BAJAJINDEF,Industial Products - Material Handling/Mining,SmallCap,-0.33,-0.34,-0.38,-0.34,-0.35,-0.33,-0.32,-0.28,-0.02,0.03,0.44
BAJFINANCE,Financials - NBFC,LargeCap,-0.08,-0.07,-0.05,-0.02,-0.04,0.01,0.06,0.11,0.15,0.13,0.15
BALAJITELE,Media - Entertainment,SmallCap,0.19,0.33,0.32,0.27,0.23,0.16,0.1,0.15,0.2,0.19,0.33
BALUFORGE,Metals - Casting/Forging,SmallCap,0.09,0.15,0.19,0.14,0.16,0.16,0.12,0.23,0.09,0.15,0.23
BANCOINDIA,Auto - Drivetrain,SmallCap,-0.1,-0.06,-0.11,-0.13,-0.08,-0.05,-0.08,0.02,0.01,0.38,0.38
BASF,Chemicals - Specialty - Diversified,SmallCap,-0.06,-0.04,0.0,0.01,0.0,0.01,-0.02,-0.03,-0.03,0.01,0.01
BATAINDIA,Consumption - Footwear,SmallCap,0.01,0.0,0.27,0.28,0.24,0.26,0.26,0.3,0.35,0.42,0.42
BBOX,IT - Services,SmallCap,-0.11,-0.07,-0.09,-0.07,-0.12,-0.12,-0.16,-0.17,-0.21,0.13,0.19
BELRISE,Auto - Drivetrain,SmallCap,-0.15,-0.16,-0.14,-0.14,-0.14,-0.12,-0.13,-0.09,-0.03,0.03,0.41
BEML,Defense - Mfg,SmallCap,-0.0,-0.02,-0.03,0.02,0.02,0.02,-0.04,-0.05,0.24,0.21,0.24
BFUTILITIE,Infra - Road & Highways,SmallCap,0.13,0.12,0.1,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.26
BHARTIHEXA,Telecom - Mobile/FixedLine,MidCap,0.11,0.1,0.11,0.16,0.29,0.28,0.23,0.21,0.22,0.18,0.29
BHEL,Power - Equipment,MidCap,-0.12,-0.13,-0.28,-0.22,-0.28,-0.23,-0.15,0.06,0.07,0.06,0.07
BIKAJI,Consumption - Foods/Drinks,SmallCap,0.23,0.24,0.14,0.14,0.13,0.12,0.11,0.13,0.14,0.15,0.33
BLACKBUCK,IT - Fintech,SmallCap,0.14,0.12,0.13,-0.02,0.1,0.17,0.19,0.22,0.12,0.17,0.44
BOMDYEING,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,0.08,0.08,0.07,0.09,0.05,0.07,0.13,0.04,-0.01,0.01,0.62
BRITANNIA,Consumption - Foods/Drinks,LargeCap,-0.03,-0.03,-0.1,-0.01,-0.02,0.04,0.02,0.07,0.04,0.05,0.26
CAMLINFINE,Chemicals - Specialty - FMCG,SmallCap,,,,,,,,,0.26,0.15,0.31
CANFINHOME,Financials - Housing,SmallCap,0.23,0.22,0.2,0.21,0.19,0.19,0.12,0.16,0.15,0.12,0.24
CAPLIPOINT,Healthcare - CRAMS/CDMO,SmallCap,0.29,0.28,0.29,0.3,0.1,0.05,0.05,0.07,0.04,0.07,0.33
CARBORUNIV,Industial Products - Abrasives ,SmallCap,0.14,0.14,0.16,0.16,0.19,0.23,0.21,0.22,0.22,0.21,0.23
CARRARO,Auto - Drivetrain,SmallCap,-0.11,-0.1,-0.1,-0.03,-0.0,-0.0,0.03,0.06,0.1,0.12,0.29
CARTRADE,IT - Platform - Ecommerce,SmallCap,0.23,0.23,0.18,0.24,0.23,0.23,0.15,0.08,0.03,0.05,0.45
CCL,Agri - Tea/Coffee,SmallCap,0.31,0.22,0.25,0.13,0.1,0.07,0.07,0.06,0.03,0.03,0.34
CELLO,Consumption - Homeware,SmallCap,-0.03,0.02,0.0,0.05,0.04,-0.04,-0.04,-0.02,0.02,0.07,0.19
CENTENKA,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,0.43,0.38,0.36,0.38,0.34,0.35,0.32,0.36,0.3,0.23,0.43
CENTURYPLY,Infra - Laminates,SmallCap,-0.04,-0.05,-0.06,-0.04,0.07,0.05,0.06,0.11,0.15,0.13,0.15
CGPOWER,Power - Equipment,LargeCap,0.18,0.06,0.0,-0.03,-0.02,-0.01,0.05,0.1,0.1,0.11,0.18
CHALET,Leisure - Hotels,SmallCap,-0.01,0.17,0.26,0.27,0.26,0.28,0.28,0.26,0.24,0.19,0.28
CHAMBLFERT,Agrochem - Fertilizers,SmallCap,0.35,0.31,0.04,-0.05,-0.04,0.04,0.08,0.02,0.04,0.04,0.35
CHEMPLASTS,Chemicals - Petro,SmallCap,-0.16,-0.15,-0.16,-0.16,-0.17,-0.13,-0.13,-0.1,-0.12,0.02,0.32
CHENNPETRO,Refineries & Marketing,SmallCap,0.05,0.04,0.05,0.09,0.05,0.12,0.05,0.03,0.03,0.08,0.3
CIGNITITEC,IT - Services,SmallCap,0.07,-0.01,0.01,0.02,-0.03,0.11,0.14,0.13,0.09,0.09,0.2
COCHINSHIP,Defense - Ship,MidCap,-0.17,-0.19,-0.21,-0.22,-0.25,-0.25,-0.22,-0.28,-0.06,0.02,0.02
COFORGE,IT - Enterprise,MidCap,-0.03,-0.07,-0.06,-0.02,-0.12,-0.01,0.04,0.08,0.05,0.03,0.21
COHANCE,Healthcare - CRAMS/CDMO,SmallCap,-0.27,-0.27,-0.29,-0.27,0.03,0.05,0.04,0.05,0.04,0.08,0.23
CONTROLPR,IT - Hardware,SmallCap,0.03,0.0,0.02,0.05,0.03,0.06,0.04,0.06,0.05,0.04,0.35
CRAFTSMAN,Auto - Electricals & Electronics,SmallCap,0.21,0.18,0.19,0.21,0.19,0.18,0.14,0.13,0.1,0.08,0.29
CREDITACC,Financials - MFI,SmallCap,0.29,0.29,0.28,0.31,0.28,0.22,0.18,0.13,0.16,0.16,0.31
CREST,Financials - NBFC,SmallCap,0.04,0.06,0.05,0.06,0.05,0.01,0.04,0.04,0.04,0.03,0.07
CUMMINSIND,Industrial - Pumps/Engines,MidCap,0.09,0.09,0.07,0.08,0.07,0.04,-0.01,0.05,0.03,0.04,0.27
CUPID,Consumption - Personal,SmallCap,0.28,0.22,0.22,0.18,0.23,0.25,0.34,0.35,0.31,0.34,0.46
DABUR,Consumption - Personal,LargeCap,0.17,0.18,0.05,0.05,0.04,0.06,0.05,0.05,0.04,0.06,0.42
DBCORP,Media - Publishing,SmallCap,-0.11,-0.16,-0.14,-0.17,-0.19,-0.18,-0.05,-0.03,-0.0,0.01,0.28
DBL,Infra - Road & Highways,SmallCap,-0.01,-0.06,-0.04,-0.04,-0.09,-0.08,0.12,0.29,0.34,0.35,0.35
DCAL,Healthcare - CRAMS/CDMO,SmallCap,0.32,0.28,0.26,0.41,0.39,0.39,0.36,0.34,0.29,0.18,0.41
DCBBANK,Financials - Private Bank,SmallCap,-0.18,-0.18,-0.15,-0.14,-0.13,-0.12,-0.08,-0.1,-0.04,0.03,0.03
DEEPINDS,Oil and Gas - Field Services,SmallCap,0.22,0.06,0.15,0.19,0.14,0.17,0.1,0.09,0.05,0.1,0.32
DELHIVERY,Transport - Logistics,SmallCap,0.39,0.17,0.13,0.18,0.15,0.12,0.11,0.14,0.08,0.12,0.39
DEVYANI,Leisure - Restaurants,SmallCap,0.12,0.1,0.12,0.1,0.09,0.13,0.16,0.18,0.15,0.17,0.18
DHAMPURSUG,Agri - Sugar,SmallCap,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.03,0.02,0.02,0.16
DHANUKA,Agrochem - Pesticides,SmallCap,0.22,0.08,0.05,0.08,0.07,0.03,-0.01,-0.04,0.01,0.03,0.22
DIACABS,Power - Wiring,SmallCap,-0.21,-0.18,-0.19,-0.12,-0.18,-0.13,-0.1,-0.16,-0.11,0.01,0.43
DIAMONDYD,Consumption - Foods/Drinks,SmallCap,-0.18,0.25,0.2,0.2,0.31,0.28,0.22,0.26,0.25,0.28,0.31
DIXON,Consumption - Electronics,MidCap,-0.01,0.03,0.02,0.04,0.02,0.08,0.04,0.08,0.07,0.01,0.19
DMART,Consumption - Retail,LargeCap,0.11,0.12,0.06,0.06,0.04,0.07,0.05,0.03,0.0,0.01,0.38
DODLA,Consumption - Dairy,SmallCap,0.29,0.3,0.22,0.21,0.2,0.19,0.19,0.19,0.16,0.08,0.3
DOMS,Consumption - Stationary,SmallCap,0.14,0.14,0.15,0.12,0.12,0.13,-0.1,0.08,0.09,0.09,0.39
DRREDDY,Healthcare - Formulations,LargeCap,0.14,0.17,0.15,0.19,0.15,0.15,0.17,0.17,0.16,0.14,0.21
DYCL,Power - Wiring,SmallCap,0.05,0.04,0.03,0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.41
E2E,IT - Cloud Infra,SmallCap,0.05,0.22,0.39,0.41,0.4,0.47,0.51,0.38,0.32,0.27,0.51
ECLERX,IT - Services,SmallCap,0.33,0.3,0.32,0.3,0.27,0.26,0.28,0.27,0.28,0.29,0.33
EDELWEISS,Financials - Diversified,SmallCap,0.05,0.04,0.03,0.04,0.04,0.04,0.03,0.02,-0.01,0.02,0.07
EICHERMOT,Auto - 2W,LargeCap,0.14,0.16,0.03,0.07,0.11,0.14,0.12,0.09,0.12,0.09,0.28
ELECON,Electronics - Components,SmallCap,0.07,0.03,-0.0,0.03,0.08,0.09,0.3,0.26,0.25,0.26,0.3
EMAMILTD,Consumption - Personal,MidCap,0.04,0.04,0.12,0.12,0.13,0.12,0.12,0.13,0.13,0.14,0.37
EMIL,Consumption - Retail,SmallCap,-0.08,-0.01,0.04,0.03,0.04,0.02,0.01,0.04,0.03,0.02,0.17
EVEREADY,Consumption - Misc,SmallCap,0.19,0.24,0.28,0.24,0.23,0.23,0.22,0.22,0.19,0.23,0.4
EXIDEIND,Auto - Electricals & Batteries,MidCap,0.3,0.3,0.29,0.35,0.36,0.37,0.34,0.34,0.34,0.33,0.37
FEDFINA,Financials - NBFC,SmallCap,0.09,0.13,0.14,0.15,0.17,0.21,0.16,0.3,0.25,0.21,0.3
FINOPB,Financials - Private Bank,SmallCap,0.06,0.04,0.02,0.04,0.02,0.02,0.04,0.09,0.07,0.1,0.1
FINPIPE,Infra - Plastic Products,SmallCap,0.27,0.22,0.25,0.23,0.24,0.23,0.2,0.19,0.22,0.27,0.27
FLUOROCHEM,Chemicals - Specialty - Refrigeration,MidCap,-0.06,-0.08,-0.09,-0.18,-0.28,0.15,0.2,0.17,0.18,0.19,0.2
FORTIS,Healthcare - Hospitals,MidCap,0.05,0.07,0.05,0.05,0.16,0.14,0.09,0.03,-0.03,0.04,0.28
