Symbol,Sector,Mktcap,02-Sep,03-Sep,04-Sep,05-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,15-Sep,BreakoutCount
BAJAJFINSV,Financials - Diversified,LargeCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
BAJFINANCE,Financials - NBFC,LargeCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Breakout,Other,2
BALAJITELE,Media - Entertainment,SmallCap,Breakout,Breakout,Breakout,Other,Breakout,Other,Other,Other,Breakout,Other,5
BALMLAWRIE,Others,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,2
BALUFORGE,Metals - Casting/Forging,SmallCap,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Breakout,Other,3
BANCOINDIA,Auto - Drivetrain,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Breakout,2
BANKINDIA,Financials - PSU Bank,MidCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
BATAINDIA,Consumption - Footwear,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
BBTC,Consumption - FMCG Conglomerates ,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Breakout,2
BDL,Defense - Mfg,MidCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
BECTORFOOD,Consumption - Foods/Drinks,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
BEL,Defense - Technology & Electronics,LargeCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,2
BEML,Defense - Mfg,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
BHARATFORG,Auto - Forgings,MidCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
BHEL,Power - Equipment,MidCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
BIKAJI,Consumption - Foods/Drinks,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
BIRLAMONEY,Financials - Broking,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
BLSE,IT - E-Governance,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Breakout,Other,3
BOMDYEING,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
BRITANNIA,Consumption - Foods/Drinks,LargeCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
CAMLINFINE,Chemicals - Specialty - FMCG,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
CAPACITE,Infra - Residential & Commercial Buildings,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
CAPLIPOINT,Healthcare - CRAMS/CDMO,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
CARBORUNIV,Industial Products - Abrasives ,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
CARERATING,Financials - Ratings,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
CARRARO,Auto - Drivetrain,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
CARYSIL,Consumption - Kitchen/ Accessories,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
CEATLTD,Auto - Tyres,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
CEIGALL,Infra - Road & Highways,SmallCap,Other,Other,Breakout,Breakout,Breakout,Other,Other,Other,Other,Other,3
CELLO,Consumption - Homeware,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
CENTUM,Electronics - EMS,SmallCap,Other,Other,Other,Breakout,Other,Other,Breakdown,Other,Other,Other,1
CENTURYPLY,Infra - Laminates,SmallCap,Breakout,Other,Breakout,Other,Other,Other,Other,Breakout,Breakout,Other,4
CESC,Power - Integrated Utility,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
CGPOWER,Power - Equipment,LargeCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
CHAMBLFERT,Agrochem - Fertilizers,SmallCap,Other,Breakout,Other,Other,Other,Breakdown,Other,Other,Other,Other,1
CHEMPLASTS,Chemicals - Petro,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
CHENNPETRO,Refineries & Marketing,SmallCap,Breakout,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,3
CIEINDIA,Auto - Drivetrain,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Breakout,Other,2
CIGNITITEC,IT - Services,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
COALINDIA,Mining - Coal/Minerals,LargeCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
COCHINSHIP,Defense - Ship,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,3
COFORGE,IT - Enterprise,MidCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
COHANCE,Healthcare - CRAMS/CDMO,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
COLPAL,Consumption - Personal,MidCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
CONCOR,Transport - Logistics,MidCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
