Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,BreakoutCount
DCMSHRIRAM,Agri - Sugar,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
DECCANCE,Infra - Cement,SmallCap,Other,Other,Breakout,Other,Other,Other,Breakout,Breakout,Other,Other,3
DHANUKA,Agrochem - Pesticides,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
DIACABS,Power - Wiring,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
DIFFNKG,Industial Products - Fabrication,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
DODLA,Consumption - Dairy,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
ECLERX,IT - Services,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
ELECTHERM,Metals - Iron & Steel,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
EMBDL,Real Estate,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
EMSLIMITED,Waste Management,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
ENDURANCE,Auto - Electricals & Batteries,MidCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
ENGINERSIN,Infra - Consulting,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
ERIS,Healthcare - Formulations,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
EXPLEOSOL,IT - Services,SmallCap,Breakout,Other,Other,Breakdown,Other,Other,Other,Other,Other,Other,1
FAZE3Q,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
FEDFINA,Financials - NBFC,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
FIEMIND,Auto - Lighting & Electronics,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
FLAIR,Consumption - Stationary,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
FMGOETZE,Auto - Drivetrain,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Other,Other,3
FORCEMOT,Auto - Cars/UVs,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Other,Other,3
FOSECOIND,Chemicals - Specialty - Misc,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Other,3
GABRIEL,Auto - Suspension & Axles,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Breakout,Other,Other,2
GALLANTT,Metals - Iron & Steel,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Breakout,Breakout,Other,Other,4
GANESHHOUC,Real Estate,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
GHCL,Chemicals - Bulk,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
GICRE,Financials - Gen Insurance,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
GLAND,Healthcare - CRAMS/CDMO,MidCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
GLENMARK,Healthcare - Formulations - Generic,MidCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
GLOBUSSPR,Beverages - Alcohol,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
GMDCLTD,Mining - Coal/Minerals,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Breakout,2
GODFRYPHLP,Consumption - Cigarettes,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
GOKEX,Textiles - Exports,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Breakdown,Other,1
GOLDIAM,Consumption - Jewelry,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
GPIL,Metals - Iron & Steel,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
GREAVESCOT,Industrial - Pumps/Engines,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
GRMOVER,Agri - Rice,SmallCap,Other,Other,Other,Other,Breakout,Other,Breakout,Breakout,Other,Other,3
GRSE,Defense - Ship,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,2
HAL,Defense - Mfg,LargeCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
HBLENGINE,Railways,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
HEG,Metals - Foundry Support,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,2
HEROMOTOCO,Auto - 2W,LargeCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
HIMATSEIDE,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
HINDWAREAP,Infra - Ceramics/Granites,SmallCap,Other,Other,Breakdown,Other,Other,Other,Other,Other,Breakout,Other,1
HIRECT,Electronics - Automation,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
HLEGLAS,Industial Products - Glasslined Equipments,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,2
HUBTOWN,Real Estate,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
ICEMAKE,Transport - Cold chain,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
IDBI,Financials - Private Bank,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
INDIANB,Financials - PSU Bank,MidCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
INDIASHLTR,Financials - Housing,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Breakout,Other,Other,2
INDIGO,Transport - Misc,LargeCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
INDNIPPON,Auto - Electricals & Batteries,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
INDOTHAI,Financials - Broking,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
IOLCP,Healthcare - API/Drug,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,2
IPL,Agrochem - Pesticides,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
ITI,Telecom - Equipments,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
IXIGO,IT - Platform - Tour & Travel,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Breakout,Other,3
J&KBANK,Financials - Private Bank,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
JGCHEM,Chemicals - Specialty - Rubber,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
JINDALPOLY,Packaging - Flex,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
JINDRILL,Oil and Gas - Field Services,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
JINDWORLD,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
JKLAKSHMI,Infra - Cement,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
JMFINANCIL,Financials - Diversified,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
KALAMANDIR,Textiles - Fashion Retail,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
KARURVYSYA,Financials - Private Bank,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
KAYNES,Electronics - EMS,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
KERNEX,Railways,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
KFINTECH,IT - Platform - Exchange/RTA,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
KIMS,Healthcare - Hospitals,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
KINGFA,Industrial Products - Plastic,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
KIOCL,Metals - Iron & Steel,SmallCap,Other,Breakdown,Other,Other,Other,Other,Other,Other,Breakout,Other,1
KIRIINDUS,Chemicals - Dyes,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
KIRLOSBROS,Industrial - Pumps/Engines,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
KMEW,Engineering - Dredging,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
KPRMILL,Textiles - Mfg (Spin/Yarn/Integrated),MidCap,Breakout,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,2
KRBL,Agri - Rice,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
KRISHANA,Agrochem - Fertilizers,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Other,Other,3
KSCL,Agri - Seeds,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
KSL,Metals - Iron & Steel,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
LGHL,Real Estate,SmallCap,Breakout,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,3
LINCOLN,Healthcare - Formulations,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
LLOYDSME,Metals - Iron & Steel,MidCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
LTFOODS,Agri - Rice,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
LUMAXIND,Auto - Lighting & Electronics,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Breakout,Other,4
LUMAXTECH,Auto - Lighting & Electronics,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,2
MAITHANALL,Metals - Ferro Alloys,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
MANGCHEFER,Agrochem - Fertilizers,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,2
MANINFRA,Infra - Residential & Commercial Buildings,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
MANORAMA,Consumption - Foods/Drinks,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Other,Breakout,Other,Other,3
MARATHON,Real Estate,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
MAZDOCK,Defense - Ship,MidCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
MBAPL,Agrochem - Fertilizers,SmallCap,Other,Breakout,Other,Other,Other,Breakout,Breakout,Breakout,Other,Other,4
MCX,IT - Platform - Exchange/RTA,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
MEDANTA,Healthcare - Hospitals,MidCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
MIDHANI,Defense - Mfg,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
MOLDTKPAC,Packaging - Rigid,SmallCap,Other,Breakdown,Other,Breakdown,Other,Other,Other,Breakout,Other,Other,1
MPSLTD,Media - Publishing,SmallCap,Other,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,2
MVGJL,Consumption - Jewelry,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
NACLIND,Agrochem - Pesticides,SmallCap,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,Other,2
NAVA,Power - Misc,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,2
NAVINFLUOR,Chemicals - Specialty - Refrigeration,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
NAVNETEDUL,Media - Publishing,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
NAZARA,IT - Gaming/Entertainment,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,2
NDRAUTO,Auto - Drivetrain,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
NELCAST,Metals - Casting/Forging,SmallCap,Other,Other,Other,Breakdown,Other,Other,Breakout,Breakout,Other,Other,2
NELCO,Telecom - Equipments,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
NESCO,Real Estate,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
NETWEB,IT - Hardware,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
NEWGEN,IT - Software/Consulting,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
NH,Healthcare - Hospitals,SmallCap,Other,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,2
NUVOCO,Infra - Cement,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
PARADEEP,Agrochem - Fertilizers,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Breakout,Other,Other,2
PARAGMILK,Consumption - Dairy,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
PARAS,Defense - Technology & Electronics,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
