Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,BreakoutCount
TI,Beverages - Alcohol,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
TORNTPHARM,Healthcare - Formulations,LargeCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
VADILALIND,Consumption - Dairy,SmallCap,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,Other,2
VALIANTORG,Chemicals - Specialty - Diversified,SmallCap,Other,Other,Other,Breakdown,Other,Breakout,Other,Other,Other,Other,1
VEEDOL,Petro - Lubricants,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
VIMTALABS,Healthcare - CRAMS/CDMO,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,3
VISHNU,Chemicals - Specialty - Diversified,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
VSTTILLERS,Auto - Tractors,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
WEL,Consumption - Appliances,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
WELCORP,Metals - Pipe & Tube,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
WOCKPHARMA,Healthcare - Formulations,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
YATHARTH,Healthcare - Hospitals,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
YATRA,IT - Platform - Tour & Travel,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
ZEEL,Media - TV Broadcast,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
ZENSARTECH,IT - Enterprise,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
ZENTEC,Defense - Technology & Electronics,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
ZOTA,Healthcare - Naturals/OTC/Consumers,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Breakout,Other,Other,3
ZYDUSWELL,Consumption - FMCG Conglomerates ,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
