Symbol,Sector,Mktcap,EMA_21,EMA_50,ADX,RSI
SOBHA,Real Estate,SmallCap,1404.23,1132.37,33.49,57.63
SOLARINDS,Defense - Explosives,MidCap,11305.08,7960.64,66.58,64.42
SPAL,Textiles - Exports,SmallCap,733.64,597.26,35.96,53.06
SPIC,Agrochem - Fertilizers,SmallCap,84.97,71.43,27.69,67.21
SPLPETRO,Chemicals - Petro,SmallCap,687.07,533.31,31.44,59.34
SPMLINFRA,Infra - Water Infra,SmallCap,193.75,134.16,50.34,64.62
SRHHYPOLTD,Chemicals - Bulk,SmallCap,596.05,525.98,22.49,51.3
SSWL,Auto - Wheels ,SmallCap,218.46,192.38,20.44,56.51
STAR,Healthcare - Formulations - Generic,SmallCap,840.0,732.86,22.14,52.98
STARCEMENT,Infra - Cement,SmallCap,215.25,188.14,51.45,68.58
STOVEKRAFT,Consumption - Kitchen/ Accessories,SmallCap,640.78,574.29,24.05,53.03
STYLAMIND,Infra - Laminates,SmallCap,1735.83,1493.96,29.96,51.12
STYRENIX,Chemicals - Specialty - Plastics,SmallCap,2406.06,1840.74,48.29,57.12
SUBROS,Auto - HVAC/Emotors,SmallCap,687.45,543.64,35.16,67.27
SUMICHEM,Agrochem - Pesticides,SmallCap,514.37,472.84,30.61,55.03
SUMMITSEC,Financials - Holding/Investing,SmallCap,1934.86,1475.12,40.15,57.35
SUNDARMFIN,Financials - NBFC,MidCap,4383.25,3597.15,39.77,53.35
SUNDROP,Agri - Edible Oils,SmallCap,832.74,814.0,23.5,50.73
SUNFLAG,Metals - Iron & Steel,SmallCap,235.3,184.35,48.68,57.69
SUNPHARMA,Healthcare - Formulations - Specialty,LargeCap,1600.9,1331.82,34.85,52.82
SUPRAJIT,Auto - Electricals & Batteries,SmallCap,435.06,391.76,29.08,53.42
SUPREMEIND,Industrial Products - Plastic,MidCap,4204.64,3577.74,29.15,55.48
SURYAROSNI,Metals - Pipe & Tube,SmallCap,285.92,233.96,24.48,52.8
SUVEN,Healthcare - CRAMS/CDMO,SmallCap,159.11,127.72,37.6,65.47
SUYOG,Telecom - Infra,SmallCap,835.97,567.36,35.11,50.42
SUZLON,Power - Green Equipment,MidCap,54.52,39.36,40.92,55.6
SWARAJENG,Industrial - Pumps/Engines,SmallCap,3347.26,2641.31,61.81,68.68
TAJGVK,Leisure - Hotels,SmallCap,369.33,295.79,36.53,61.54
TALBROAUTO,Auto - Body,SmallCap,269.23,210.79,29.07,56.43
TARIL,Power - Equipment,SmallCap,400.61,258.17,67.61,63.69
TATACHEM,Chemicals - Bulk,SmallCap,971.3,929.31,21.95,50.31
TATACOMM,Telecom - Mobile/FixedLine,MidCap,1666.28,1499.49,22.35,50.95
TATACONSUM,Consumption - FMCG Conglomerates ,LargeCap,1041.16,909.55,32.94,56.37
TATAINVEST,Financials - Holding/Investing,MidCap,6057.03,4541.78,59.02,64.34
TATAPOWER,Power - Integrated Utility,LargeCap,374.87,307.02,33.94,55.03
TBOTEK,IT - Platform - Tour & Travel,SmallCap,1375.2,1350.61,20.2,56.44
TBZ,Consumption - Jewelry,SmallCap,174.03,140.32,37.07,55.82
TCI,Transport - Logistics,SmallCap,1024.42,841.15,48.78,62.29
TCPLPACK,Packaging - Rigid,SmallCap,3157.29,2343.94,71.26,56.22
TECHM,IT - Software/Consulting,LargeCap,1475.55,1313.3,20.16,53.87
TECHNOE,Industial Products - Power Transmission & Distribution,SmallCap,1233.76,948.01,36.94,60.09
TEGA,Industial Products - Material Handling/Mining,SmallCap,1558.17,1277.98,35.57,65.64
THANGAMAYL,Consumption - Jewelry,SmallCap,1811.64,1347.94,46.97,63.47
THOMASCOOK,IT - Platform - Tour & Travel,SmallCap,164.1,140.1,27.32,53.25
THYROCARE,Healthcare - Diagnostics,SmallCap,910.53,800.71,29.77,62.79
TI,Beverages - Alcohol,SmallCap,325.79,231.41,44.37,65.96
TIIL,Metals - Casting/Forging,SmallCap,2573.14,2009.66,34.07,50.13
TIINDIA,Auto - Forgings,MidCap,3223.69,2823.64,33.69,52.8
TIL,Industial Products - Material Handling/Mining,SmallCap,265.63,188.11,35.43,59.9
TIMETECHNO,Industrial Products - Plastic,SmallCap,366.44,262.66,51.3,66.99
TIPSMUSIC,Media - Entertainment,SmallCap,577.0,424.02,37.86,54.26
TIRUMALCHM,Chemicals - Petro,SmallCap,273.78,237.22,31.29,58.42
TITAGARH,Railways,SmallCap,931.11,723.59,37.26,51.92
TITAN,Consumption - Jewelry,LargeCap,3364.72,2927.36,23.99,55.1
TORNTPHARM,Healthcare - Formulations,LargeCap,3086.8,2471.67,45.48,64.94
TORNTPOWER,Power - Integrated Utility,MidCap,1325.31,1046.13,41.69,50.1
TRENT,Consumption - Retail,LargeCap,5070.82,3714.2,44.39,53.2
TRITURBINE,Power - Equipment,SmallCap,555.29,445.48,26.83,50.86
TVSHLTD,Auto - Electricals & Batteries,SmallCap,10159.63,7468.73,50.92,66.23
UFLEX,Packaging - Flex,SmallCap,539.2,500.76,20.59,51.89
ULTRACEMCO,Infra - Cement,LargeCap,11066.39,9348.48,28.59,64.72
UNIENTER,Chemicals - Misc,SmallCap,154.57,141.94,20.93,50.99
UNIMECH,Defense - Mfg,SmallCap,751.61,467.52,35.05,64.19
UNIONBANK,Financials - PSU Bank,MidCap,124.37,105.36,39.54,56.79
UNIPARTS,Industial Products - Material Handling/Mining,SmallCap,408.53,366.81,26.21,50.55
UNITDSPR,Beverages - Alcohol,LargeCap,1327.74,1129.31,42.28,51.64
UNIVCABLES,Power - Wiring,SmallCap,613.3,481.22,48.28,57.81
UNOMINDA,Auto - Electricals & Batteries,MidCap,969.09,753.66,35.96,69.91
USHAMART,Metals - Wires,SmallCap,339.45,268.25,36.86,58.35
UTIAMC,Financials - AMC,SmallCap,1121.14,940.26,33.08,62.71
V2RETAIL,Consumption - Retail,SmallCap,1317.14,838.2,64.75,64.74
VADILALIND,Consumption - Dairy,SmallCap,4440.43,3359.42,46.41,65.65
VARROC,Auto - Lighting & Electronics,SmallCap,517.03,473.15,27.84,60.53
VASCONEQ,Infra - Residential & Commercial Buildings,SmallCap,53.04,46.98,22.2,53.89
VEDL,Metals - Diversified,LargeCap,407.18,341.6,31.03,58.87
VEEDOL,Petro - Lubricants,SmallCap,1675.48,1507.4,28.3,58.46
VESUVIUS,Metals - Foundry Support,SmallCap,461.97,354.16,44.71,59.13
VGUARD,Consumption - Appliances,SmallCap,365.34,320.82,29.55,53.82
VHL,Financials - NBFC,SmallCap,3691.26,3279.43,29.27,54.89
VIJAYA,Healthcare - Diagnostics,SmallCap,904.96,730.23,38.84,62.43
VISHNU,Chemicals - Specialty - Diversified,SmallCap,439.34,350.4,43.95,58.0
VOLTAS,Consumption - Appliances,MidCap,1340.29,1173.51,22.4,54.32
VSSL,Metals - Iron & Steel,SmallCap,246.24,203.9,39.4,57.53
VSTTILLERS,Auto - Tractors,SmallCap,4128.87,3466.88,27.83,62.1
WABAG,Water Supply & Management,SmallCap,1294.92,941.16,48.09,60.74
WALCHANNAG,Industial Products - Process Equipment & Fabrication,SmallCap,207.24,169.61,33.5,51.1
WEALTH,Financials - WMC,SmallCap,1006.35,721.45,59.08,63.32
WEBELSOLAR,Power - Green Equipment,SmallCap,1039.62,666.42,61.63,60.69
WEL,Consumption - Appliances,SmallCap,131.82,121.03,43.84,58.19
WELCORP,Metals - Pipe & Tube,SmallCap,735.12,532.96,47.39,66.72
WELENT,Infra - Road & Highways,SmallCap,455.08,341.56,40.17,55.95
WHEELS,Auto - Wheels ,SmallCap,709.01,678.38,24.63,55.98
WINDLAS,Healthcare - CRAMS/CDMO,SmallCap,841.66,796.51,32.08,60.69
WINDMACHIN,Industial Products - Machinery,SmallCap,251.23,165.55,51.31,58.75
WIPRO,IT - Software/Consulting,LargeCap,254.43,235.32,24.91,50.13
WOCKPHARMA,Healthcare - Formulations,SmallCap,1166.35,824.96,53.68,64.57
XPROINDIA,Packaging - Flex,SmallCap,1116.6,896.99,26.96,56.1
YASHO,Chemicals - Specialty - Rubber,SmallCap,1788.99,1507.52,32.83,50.51
YUKEN,Industrial - Pumps/Engines,SmallCap,960.85,811.95,28.94,53.57
ZENSARTECH,IT - Enterprise,SmallCap,710.86,563.29,40.52,60.74
ZENTEC,Defense - Technology & Electronics,SmallCap,1436.55,1009.47,56.61,52.85
ZFCVINDIA,Auto - Suspension & Axles,SmallCap,13316.51,11945.17,23.63,52.74
ZYDUSLIFE,Healthcare - Formulations,LargeCap,917.84,759.56,35.26,63.19
