Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,RS_12M_High
SAILIFE,Healthcare - CRAMS/CDMO,SmallCap,663.7,579.83,651.73,707.9,603.25,624.49,648.71,625.39,652.71,701.62,707.9
SAMHI,Leisure - Hotels,SmallCap,110.87,81.2,65.84,63.24,85.73,95.43,109.55,124.58,105.69,110.29,124.58
SANATHAN,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,259.64,213.64,212.72,256.95,345.27,412.57,379.88,413.7,369.51,411.65,413.7
SANOFICONR,Healthcare - Formulations - OTC,SmallCap,88.67,88.04,84.52,84.03,81.14,85.25,94.92,94.1,105.6,107.75,107.75
SARDAEN,Metals - Iron & Steel,SmallCap,175.16,174.65,210.38,240.5,174.8,177.67,179.37,167.17,175.79,145.52,240.5
SBFC,Financials - NBFC,SmallCap,93.25,87.59,103.67,102.22,108.74,126.59,128.14,124.5,129.29,116.17,129.29
SBICARD,Financials - NBFC,MidCap,80.32,100.54,115.81,122.54,111.42,121.14,123.77,111.9,114.78,119.77,123.77
SBIN,Financials - PSU Bank,LargeCap,113.79,111.52,91.48,97.35,88.67,89.05,90.93,91.98,101.65,107.77,123.06
SCHAEFFLER,Auto - Drivetrain,MidCap,97.73,101.11,105.14,114.01,87.43,89.9,80.34,97.3,101.37,105.61,114.01
SCHNEIDER,Power - Equipment,SmallCap,172.19,133.69,95.44,85.62,66.21,99.89,90.52,125.79,106.73,112.24,206.93
SCODATUBES,Metals - Pipe & Tube,SmallCap,,,,,,,301.14,272.38,260.18,290.58,301.14
SDBL,Beverages - Alcohol,SmallCap,88.7,86.23,100.47,111.26,98.31,102.65,133.49,135.5,126.36,119.07,135.5
SENORES,Healthcare - Formulations,SmallCap,95.26,98.74,108.57,121.4,156.68,182.57,159.99,180.66,210.04,216.0,216.0
SHAILY,Industrial Products - Plastic,SmallCap,393.61,359.21,279.42,327.33,223.91,288.82,195.25,185.43,218.66,233.42,393.61
SHAKTIPUMP,Industrial - Pumps/Engines,SmallCap,575.15,353.09,366.08,418.75,236.45,188.38,145.5,125.97,111.87,128.25,575.15
SHANKARA,Infra - Retail,SmallCap,89.09,74.71,76.09,84.16,81.45,108.38,140.96,171.62,159.68,193.73,193.73
SHARDACROP,Agrochem - Pesticides,SmallCap,161.59,136.4,137.32,168.95,138.71,174.7,170.97,201.91,174.29,161.6,201.91
SHREECEM,Infra - Cement,LargeCap,82.42,89.96,106.29,112.75,112.9,109.16,104.76,111.88,118.69,114.57,118.69
SHREEPUSHK,Chemicals - Dyes,SmallCap,131.64,124.57,154.88,159.24,121.08,158.87,152.42,156.84,126.25,167.3,167.3
SHRIPISTON,Auto - Drivetrain,SmallCap,137.93,113.65,111.91,91.46,81.55,116.23,121.97,119.23,120.79,126.98,170.45
SIGNPOST,Media - Misc,SmallCap,35.09,31.34,58.26,59.71,64.09,66.74,70.94,93.81,123.49,114.77,123.49
SIMPLEXINF,Infra - Construction,SmallCap,340.45,304.96,233.85,298.12,200.66,212.78,201.52,225.38,185.73,133.37,340.45
SIRCA,Consumption - Paints,SmallCap,76.94,76.27,77.27,80.61,84.96,101.42,111.75,120.69,148.63,147.14,148.63
SIYSIL,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,148.59,133.69,118.74,141.95,132.74,148.55,130.06,121.37,130.34,145.24,148.59
SJS,Auto - Wheels ,SmallCap,171.4,151.75,133.38,140.43,137.4,137.7,154.44,141.89,136.86,147.29,171.4
SKIPPER,Power - Equipment,SmallCap,223.49,148.53,117.28,128.35,119.1,150.2,136.35,118.73,126.78,118.68,223.49
SKYGOLD,Consumption - Jewelry,SmallCap,353.37,268.48,304.78,317.8,242.71,305.45,180.38,142.01,114.09,107.62,353.37
SMLISUZU,Auto - CV,SmallCap,97.49,89.61,47.8,77.99,62.29,81.53,94.63,149.57,209.14,210.25,210.25
SOLARINDS,Defense - Explosives,MidCap,133.65,145.9,128.59,121.55,136.44,156.44,165.25,132.84,132.84,129.34,165.25
SPIC,Agrochem - Fertilizers,SmallCap,86.92,83.91,83.97,109.46,91.15,109.4,104.43,116.66,127.02,127.83,127.83
SRF,Chemicals - Specialty - Diversified,MidCap,82.96,111.68,116.23,108.98,106.64,117.77,125.23,115.82,114.26,121.54,125.23
SSWL,Auto - Wheels ,SmallCap,69.99,63.86,69.84,76.67,81.78,98.8,119.0,98.36,98.28,118.36,119.0
STARCEMENT,Infra - Cement,SmallCap,120.99,105.89,96.94,89.7,85.51,93.07,94.86,114.71,129.07,141.35,141.35
STYRENIX,Chemicals - Specialty - Plastics,SmallCap,185.75,148.68,159.71,181.1,154.75,162.14,140.83,111.78,104.55,108.47,185.75
SUBROS,Auto - HVAC/Emotors,SmallCap,105.07,90.26,95.49,103.2,89.48,108.76,139.12,123.01,113.77,126.03,139.12
SUDARSCHEM,Chemicals - Dyes,SmallCap,191.48,175.77,146.18,154.1,128.68,136.76,128.79,154.38,149.57,128.57,193.66
SUNDARMHLD,Financials - Insurance & Lending,SmallCap,188.38,139.3,115.91,145.75,125.13,123.72,186.78,177.87,119.6,176.64,215.77
SUNFLAG,Metals - Iron & Steel,SmallCap,110.36,91.75,104.6,119.72,99.49,112.1,139.77,114.99,127.48,112.83,139.77
SUPRIYA,Healthcare - API/Drug,SmallCap,216.02,218.52,172.4,209.32,151.09,179.56,172.13,167.05,123.58,117.85,220.66
SURAKSHA,Healthcare - Diagnostics,SmallCap,54.83,48.92,46.34,63.01,91.07,100.75,106.01,93.67,84.35,109.81,109.81
SUVEN,Healthcare - CRAMS/CDMO,SmallCap,145.6,109.86,101.07,107.91,107.23,240.71,220.11,190.85,154.94,165.21,240.71
SWARAJENG,Industrial - Pumps/Engines,SmallCap,112.01,141.93,110.44,162.14,153.18,144.96,128.73,134.24,121.72,143.6,162.14
SYRMA,Electronics - EMS,SmallCap,80.83,82.13,78.42,93.81,88.63,102.17,107.39,154.01,177.53,194.57,194.57
TAJGVK,Leisure - Hotels,SmallCap,153.54,126.72,119.71,118.47,102.05,125.73,113.42,126.31,127.33,144.05,153.54
TARIL,Power - Equipment,SmallCap,452.71,236.12,221.43,257.34,146.64,135.66,127.33,138.36,136.05,164.42,452.71
TCI,Transport - Logistics,SmallCap,128.51,104.6,107.92,128.96,110.41,122.18,117.63,116.45,108.39,112.61,128.96
TDPOWERSYS,Power - Equipment,SmallCap,159.41,112.39,102.87,131.34,119.74,141.63,132.21,123.7,121.51,134.98,159.41
TEGA,Industial Products - Material Handling/Mining,SmallCap,124.96,120.99,112.78,112.87,83.81,100.94,89.49,100.55,111.78,113.67,166.06
TFCILTD,Financials - Institute - Infra,SmallCap,119.81,71.73,61.56,94.29,105.5,129.14,112.35,155.63,174.03,224.1,224.1
THYROCARE,Healthcare - Diagnostics,SmallCap,130.22,120.91,98.93,109.36,126.47,156.01,146.25,163.4,151.68,150.85,163.4
TI,Beverages - Alcohol,SmallCap,161.06,139.16,102.36,106.77,112.39,147.14,130.09,196.99,178.42,159.27,196.99
TIL,Industial Products - Material Handling/Mining,SmallCap,260.52,163.31,125.35,136.14,88.88,133.28,120.18,96.71,68.5,107.42,283.06
TIMETECHNO,Industrial Products - Plastic,SmallCap,256.74,212.07,163.55,158.83,113.61,124.88,129.59,139.61,117.84,127.38,256.74
TORNTPHARM,Healthcare - Formulations,LargeCap,133.94,119.36,109.87,117.83,116.78,107.19,114.89,118.85,105.53,107.05,133.94
TVSMOTOR,Auto - 2W,LargeCap,107.46,113.5,103.37,106.75,120.49,116.16,116.11,111.52,120.33,126.07,126.07
ULTRACEMCO,Infra - Cement,LargeCap,99.99,104.42,101.73,112.07,108.44,102.91,97.52,103.8,115.54,108.48,115.54
UNIMECH,Defense - Mfg,SmallCap,896.64,851.66,621.25,602.87,575.03,811.64,810.02,740.38,715.2,665.57,896.64
UNIONBANK,Financials - PSU Bank,MidCap,92.89,76.32,76.13,78.03,75.77,83.44,105.74,97.87,106.1,112.91,112.91
UNIVCABLES,Power - Wiring,SmallCap,145.28,115.63,113.27,103.3,70.98,88.84,104.58,86.6,102.99,109.35,145.28
UNOMINDA,Auto - Electricals & Batteries,MidCap,140.77,126.63,122.55,121.37,112.55,107.78,95.15,100.78,112.56,121.64,140.77
UPL,Agrochem - Pesticides,MidCap,78.41,103.77,133.89,132.45,122.7,112.34,109.0,123.94,123.58,116.47,133.89
USHAMART,Metals - Wires,SmallCap,116.66,84.97,89.3,100.63,71.26,77.39,88.94,100.18,118.95,111.35,118.95
UTIAMC,Financials - AMC,SmallCap,142.38,103.27,104.26,123.22,99.62,119.24,121.4,129.1,116.07,111.99,142.38
V2RETAIL,Consumption - Retail,SmallCap,519.18,493.08,416.75,386.41,316.82,314.94,221.06,200.66,155.44,124.6,519.18
VADILALIND,Consumption - Dairy,SmallCap,145.02,113.91,101.68,100.37,130.41,113.17,122.85,120.47,127.42,151.18,151.18
VARROC,Auto - Lighting & Electronics,SmallCap,97.67,92.43,85.97,81.04,76.34,86.36,82.06,84.69,97.05,109.15,109.15
VIJAYA,Healthcare - Diagnostics,SmallCap,143.75,144.81,141.18,150.19,132.89,107.0,123.79,136.97,114.09,112.4,151.29
VIMTALABS,Healthcare - CRAMS/CDMO,SmallCap,226.4,174.21,169.16,214.87,173.18,188.22,178.04,253.93,220.16,301.05,301.05
VISHNU,Chemicals - Specialty - Diversified,SmallCap,102.76,121.68,132.33,135.73,128.48,157.06,106.83,124.01,126.43,126.5,157.06
VSTTILLERS,Auto - Tractors,SmallCap,127.93,128.66,102.99,113.73,90.6,106.73,82.69,108.35,127.85,115.73,128.66
WAAREEENER,Power - Green Equipment,MidCap,564.15,523.85,568.49,608.54,573.43,605.78,627.19,684.92,801.7,840.04,840.04
WABAG,Water Supply & Management,SmallCap,240.54,188.05,177.03,180.88,123.57,151.26,108.83,118.97,118.35,105.13,290.87
WEBELSOLAR,Power - Green Equipment,SmallCap,620.65,336.65,237.77,233.57,178.57,238.66,212.04,216.17,144.95,121.69,634.51
WEL,Consumption - Appliances,SmallCap,378.37,493.66,374.13,238.26,128.35,169.3,164.82,130.52,93.74,113.19,493.66
WELCORP,Metals - Pipe & Tube,SmallCap,136.45,116.74,143.49,160.21,126.33,155.14,158.44,146.37,122.85,124.12,160.21
WHEELS,Auto - Wheels ,SmallCap,89.39,98.41,89.72,92.0,106.45,102.01,96.58,91.85,94.36,106.32,106.45
WINDLAS,Healthcare - CRAMS/CDMO,SmallCap,223.18,182.69,150.6,193.56,162.26,131.39,116.79,120.54,125.82,122.85,262.93
WINDMACHIN,Industial Products - Machinery,SmallCap,383.85,342.92,289.66,455.41,331.6,439.44,254.01,200.32,164.35,156.01,455.41
WOCKPHARMA,Healthcare - Formulations,SmallCap,306.87,284.51,190.03,230.87,212.65,251.98,234.9,182.08,140.38,159.24,420.39
XPROINDIA,Packaging - Flex,SmallCap,131.88,95.64,88.25,99.56,86.95,110.47,112.75,112.38,99.14,111.64,137.42
YATHARTH,Healthcare - Hospitals,SmallCap,138.01,104.06,75.83,95.92,100.84,111.08,120.94,141.39,137.06,145.3,149.41
YATRA,IT - Platform - Tour & Travel,SmallCap,73.56,49.09,41.39,56.73,52.02,70.04,63.71,69.92,105.81,126.08,126.08
ZENSARTECH,IT - Enterprise,SmallCap,113.13,140.01,133.5,109.65,108.98,124.3,106.08,102.36,103.34,123.27,140.01
ZOTA,Healthcare - Naturals/OTC/Consumers,SmallCap,155.84,172.62,158.05,161.12,167.64,195.95,161.98,202.08,187.47,250.59,250.59
ZYDUSWELL,Consumption - FMCG Conglomerates ,SmallCap,107.77,105.09,98.97,108.11,98.43,101.19,106.59,85.25,90.86,130.33,130.33
