Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,RS_12M_High
HINDWAREAP,Infra - Ceramics/Granites,SmallCap,49.02,44.5,49.07,52.79,51.41,69.1,62.18,59.66,86.68,108.38,108.38
HIRECT,Electronics - Automation,SmallCap,235.4,201.14,116.09,149.12,114.89,170.36,179.13,245.32,169.88,191.99,245.32
HLEGLAS,Industial Products - Glasslined Equipments,SmallCap,62.83,54.67,48.78,58.22,55.89,93.36,90.94,102.33,132.69,133.53,133.53
HOMEFIRST,Financials - Housing,SmallCap,104.3,93.47,116.58,107.23,125.14,141.87,125.26,117.39,109.19,112.39,141.87
HYUNDAI,Auto - Cars/UVs,LargeCap,660.12,742.77,982.56,945.23,896.1,899.84,1051.19,977.11,1141.4,1113.27,1141.4
ICEMAKE,Transport - Cold chain,SmallCap,111.41,109.82,128.6,180.61,173.5,112.35,87.58,99.99,108.35,115.58,180.61
ICICIBANK,Financials - Private Bank,LargeCap,118.2,112.61,113.7,117.08,115.23,117.4,113.41,122.84,117.48,114.8,122.84
IDBI,Financials - Private Bank,SmallCap,104.3,86.57,79.58,91.06,82.08,102.95,115.9,90.04,93.41,110.37,115.9
IKS,IT - Platform - Healthcare/Pharma,SmallCap,715.51,681.05,785.93,701.7,604.91,605.92,696.26,722.85,745.84,775.49,785.93
IMFA,Metals - Ferro Alloys,SmallCap,157.46,98.57,101.28,90.71,74.55,82.29,99.72,99.7,133.11,154.21,157.46
INDHOTEL,Leisure - Hotels,LargeCap,183.99,143.45,121.27,126.47,126.87,125.73,114.46,116.22,121.01,118.92,183.99
INDIACEM,Infra - Cement,SmallCap,133.6,93.37,110.02,123.8,127.48,141.18,110.53,102.08,108.67,112.15,141.18
INDIANB,Financials - PSU Bank,MidCap,115.72,102.96,96.64,98.69,95.87,98.91,110.99,102.87,118.94,136.85,136.85
INDIASHLTR,Financials - Housing,SmallCap,113.95,99.77,114.66,125.99,136.02,135.65,116.44,122.92,132.4,120.09,190.48
INDIGO,Transport - Misc,LargeCap,141.07,134.95,140.99,136.84,122.45,115.82,133.0,133.14,120.77,123.2,141.07
INDNIPPON,Auto - Electricals & Batteries,SmallCap,120.98,83.87,75.89,83.77,79.03,94.53,85.66,96.71,103.04,123.84,123.84
INDOTHAI,Financials - Broking,SmallCap,509.49,511.73,610.48,626.2,544.92,552.0,609.6,709.27,385.19,262.4,709.27
INDRAMEDCO,Healthcare - Hospitals,SmallCap,278.68,222.48,198.08,213.9,138.57,162.96,191.58,177.39,114.6,118.47,278.68
INNOVACAP,Healthcare - CRAMS/CDMO,SmallCap,189.35,179.61,136.37,185.58,173.68,166.39,158.89,144.74,141.65,114.24,189.35
INOXINDIA,Industrial Products - Misc,SmallCap,115.26,92.51,80.03,77.69,67.93,86.26,87.98,91.08,98.3,107.67,782.7
INTELLECT,IT - Software/Consulting,SmallCap,105.02,83.21,59.8,59.95,67.93,116.23,101.21,106.25,101.67,109.82,116.23
INTERARCH,Infra - Construction,SmallCap,247.49,236.48,204.97,133.6,145.23,222.38,215.0,216.05,183.03,150.83,247.49
IOLCP,Healthcare - API/Drug,SmallCap,80.85,75.06,74.87,80.29,76.43,111.24,113.25,120.07,106.29,129.75,129.75
IPL,Agrochem - Pesticides,SmallCap,45.48,38.7,33.68,62.53,56.4,88.24,90.3,102.48,97.65,107.46,107.46
ITDCEM,Infra - Construction,SmallCap,173.15,153.9,161.36,158.4,119.51,162.06,167.28,152.79,131.94,154.65,223.47
ITI,Telecom - Equipments,SmallCap,116.83,88.08,81.91,93.62,77.26,106.2,102.55,94.68,96.33,129.55,129.55
IXIGO,IT - Platform - Tour & Travel,SmallCap,67.6,45.57,45.87,51.32,51.7,55.36,105.45,135.61,169.51,196.24,196.24
JAGSNPHARM,Healthcare - Formulations,SmallCap,144.38,154.5,171.89,186.34,144.52,165.23,155.85,191.49,146.87,155.4,191.49
JASH,Industial Products - Water/Waster Management,SmallCap,165.97,148.45,157.03,162.67,131.31,114.72,126.98,115.95,128.72,121.27,191.2
JGCHEM,Chemicals - Specialty - Rubber,SmallCap,24.2,21.92,19.9,165.45,114.04,158.65,161.11,171.09,123.71,122.8,171.09
JKCEMENT,Infra - Cement,MidCap,111.49,102.4,96.6,114.88,118.75,129.24,131.85,151.87,161.13,143.57,161.13
JKLAKSHMI,Infra - Cement,SmallCap,85.44,79.41,72.62,83.92,90.66,98.29,95.75,110.32,120.79,121.27,121.27
JLHL,Healthcare - Hospitals,SmallCap,131.79,141.51,103.24,126.67,110.46,113.33,108.53,107.74,108.91,105.22,141.51
JMFINANCIL,Financials - Diversified,SmallCap,121.55,90.82,95.22,122.11,106.1,147.94,171.23,151.76,172.02,123.4,172.02
JSWHL,Financials - Holding/Investing,SmallCap,274.27,261.95,253.27,302.55,319.6,320.04,294.79,282.68,248.46,210.34,320.04
JSWSTEEL,Metals - Iron & Steel,LargeCap,94.13,106.68,118.06,121.57,108.44,102.71,103.09,113.77,112.7,110.04,121.57
JUBLCPL,Chemicals - Specialty - FMCG,SmallCap,,,1386.74,1275.09,1504.62,1529.98,1836.95,2828.47,4431.08,4059.34,4431.08
KARURVYSYA,Financials - Private Bank,SmallCap,118.16,110.98,108.84,108.71,99.37,102.39,121.79,115.07,119.41,120.47,126.75
KAYNES,Electronics - EMS,SmallCap,261.14,156.43,139.31,156.92,200.37,160.64,148.83,139.98,133.07,135.3,261.14
KERNEX,Railways,SmallCap,214.31,175.55,133.35,132.17,128.56,257.52,281.84,187.08,130.18,152.78,281.84
KFINTECH,IT - Platform - Exchange/RTA,SmallCap,292.7,162.33,126.08,159.28,148.34,140.99,181.11,124.72,101.58,110.86,292.7
