Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,CMF_12M_High
APOLLOHOSP,Healthcare - Hospitals,LargeCap,0.36,0.18,-0.17,-0.14,-0.1,-0.01,0.03,0.2,0.38,0.32,0.38
ARMANFIN,Financials - NBFC,SmallCap,-0.33,-0.14,-0.24,-0.16,0.02,0.1,0.28,0.15,0.13,0.17,0.28
ARVINDFASN,Textiles - Fashion Retail,SmallCap,0.1,0.02,-0.25,-0.58,-0.51,-0.39,-0.17,0.18,0.3,0.5,0.5
ASAHIINDIA,Auto - Glass/Body,SmallCap,0.35,0.32,0.23,-0.13,0.13,0.17,0.11,0.24,0.26,0.32,0.37
ASHAPURMIN,Mining - Coal/Minerals,SmallCap,-0.23,-0.18,-0.25,-0.15,-0.1,-0.12,0.1,0.3,0.4,0.49,0.49
ASHOKA,Infra - Road & Highways,SmallCap,0.15,0.01,-0.07,0.17,0.17,0.15,-0.06,-0.01,0.13,0.02,0.17
ASHOKLEY,Auto - CV,MidCap,0.06,-0.2,-0.28,-0.18,0.09,-0.01,0.17,0.11,0.19,0.29,0.36
ASIANENE,Oil and Gas - Field Services,SmallCap,0.08,-0.01,-0.29,-0.15,-0.15,-0.14,-0.28,0.2,0.41,0.28,0.41
ASKAUTOLTD,Auto - Electricals & Batteries,SmallCap,0.24,0.25,0.01,0.29,0.02,-0.04,0.2,0.12,0.25,0.23,0.39
ASTEC,Agrochem - Pesticides,SmallCap,-0.6,-0.5,-0.56,-0.52,-0.6,-0.56,-0.14,-0.04,0.05,0.14,0.14
ASTERDM,Healthcare - Hospitals,SmallCap,0.53,0.44,0.24,0.38,0.39,0.27,0.26,0.14,0.23,0.07,0.53
ASTRAL,Infra - Plastic Products,MidCap,-0.39,-0.31,-0.31,-0.37,-0.21,0.01,0.02,-0.08,0.02,0.06,0.06
ASTRAMICRO,Defense - Technology & Electronics,SmallCap,-0.17,-0.05,-0.4,-0.19,0.01,0.24,0.1,-0.01,0.08,0.13,0.24
ATGL,Utility - Gas Distribution,MidCap,0.07,0.01,0.02,0.15,0.19,0.13,0.11,0.18,0.21,0.18,0.21
ATHERENERG,Auto - 2W,SmallCap,,,,,,0.09,-0.08,-0.07,0.28,0.34,0.34
ATUL,Chemicals - Specialty - Diversified,SmallCap,0.23,-0.16,-0.34,-0.15,0.16,0.29,0.42,0.42,0.53,0.49,0.53
ATULAUTO,Auto - CV,SmallCap,-0.23,-0.45,-0.52,-0.43,-0.41,-0.34,-0.29,-0.36,-0.34,0.24,0.24
AUBANK,Financials - Private Bank,MidCap,0.04,0.23,0.11,0.02,0.27,0.33,0.49,0.28,0.15,0.18,0.49
AUTOAXLES,Auto - Suspension & Axles,SmallCap,-0.14,-0.16,-0.49,-0.41,-0.37,-0.18,-0.1,0.01,0.0,0.08,0.08
AVALON,Electronics - EMS,SmallCap,0.47,0.21,0.15,0.18,0.22,-0.09,-0.1,0.15,0.03,0.01,0.57
AVANTEL,Defense - Technology & Electronics,SmallCap,-0.41,-0.36,-0.32,-0.37,-0.32,-0.0,-0.05,-0.15,-0.05,0.08,0.08
AVANTIFEED,Agri - Animal Feed,SmallCap,-0.03,0.15,0.34,0.51,0.56,0.5,0.36,0.19,0.21,0.07,0.56
AVL,Consumption - Retail,SmallCap,-0.08,-0.0,0.09,0.19,-0.09,-0.17,-0.15,0.17,0.4,0.32,0.4
AWHCL,Industial Products - Water/Waster Management,SmallCap,0.23,-0.17,-0.16,-0.12,-0.42,-0.09,0.12,0.02,0.1,0.05,0.39
AXISCADES,IT - Services,SmallCap,0.23,0.26,0.06,0.12,0.18,0.37,0.27,0.31,0.37,0.4,0.4
BAJAJ-AUTO,Auto - 2W,LargeCap,-0.22,-0.24,-0.44,-0.49,-0.24,0.01,0.07,-0.09,0.13,0.06,0.13
BAJAJCON,Consumption - Personal,SmallCap,-0.56,-0.52,-0.62,-0.54,-0.53,-0.34,0.28,0.06,0.15,0.16,0.28
BAJAJELEC,Consumption - Appliances,SmallCap,-0.54,-0.53,-0.68,-0.71,-0.49,0.08,0.17,0.11,0.18,0.27,0.27
BAJAJFINSV,Financials - Diversified,LargeCap,0.14,0.05,-0.02,0.05,0.1,0.24,0.47,0.38,0.25,0.11,0.47
BAJAJHLDNG,Financials - Holding/Investing,LargeCap,0.0,0.01,-0.15,0.03,0.11,0.2,0.28,0.21,0.19,0.16,0.28
BAJAJINDEF,Industial Products - Material Handling/Mining,SmallCap,,,0.11,0.03,-0.27,-0.1,0.82,0.47,0.42,0.44,0.82
BAJEL,Power - EPC,SmallCap,-0.09,-0.1,-0.09,-0.23,-0.13,-0.06,0.06,0.05,0.23,0.53,0.53
BALAJITELE,Media - Entertainment,SmallCap,-0.09,-0.27,-0.34,-0.2,-0.22,-0.27,0.01,0.05,0.14,0.09,0.36
BALAMINES,Chemicals - Specialty - Pharma,SmallCap,-0.03,-0.28,-0.34,-0.43,-0.38,-0.29,0.14,0.21,0.25,0.4,0.4
BALMLAWRIE,Others,SmallCap,0.08,-0.15,-0.41,-0.22,-0.08,-0.06,0.02,-0.06,0.15,0.15,0.25
BALUFORGE,Metals - Casting/Forging,SmallCap,0.22,-0.03,-0.39,-0.11,-0.24,0.04,0.09,0.12,0.31,0.19,0.31
BANCOINDIA,Auto - Drivetrain,SmallCap,0.41,0.35,0.27,0.29,0.28,0.1,0.35,0.24,0.37,0.44,0.54
BANDHANBNK,Financials - Private Bank,MidCap,-0.14,-0.36,-0.35,-0.23,-0.05,0.11,0.38,0.2,0.17,0.15,0.38
BANKBARODA,Financials - PSU Bank,LargeCap,0.07,0.02,-0.17,-0.13,-0.2,-0.05,0.14,0.23,0.3,0.22,0.3
BANKINDIA,Financials - PSU Bank,MidCap,-0.0,0.1,0.0,0.2,0.18,0.31,0.34,0.03,0.13,0.05,0.34
BASF,Chemicals - Specialty - Diversified,SmallCap,-0.11,-0.29,-0.33,-0.42,-0.46,-0.09,0.1,0.18,0.23,0.3,0.3
BATAINDIA,Consumption - Footwear,SmallCap,0.03,-0.17,-0.26,-0.34,-0.21,-0.36,-0.38,-0.44,-0.16,0.11,0.28
BAYERCROP,Agrochem - Pesticides,SmallCap,-0.12,-0.33,-0.19,-0.21,-0.37,0.16,0.34,0.33,0.24,0.25,0.34
BBOX,IT - Services,SmallCap,0.47,-0.06,-0.13,-0.07,-0.1,-0.13,-0.08,0.08,0.19,0.26,0.6
BBTC,Consumption - FMCG Conglomerates ,SmallCap,0.4,0.27,0.13,-0.19,-0.28,-0.07,0.02,-0.06,-0.01,0.03,0.54
