Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,CMF_12M_High
ELECON,Electronics - Components,SmallCap,0.08,0.01,-0.17,-0.25,0.09,0.17,0.1,0.01,0.1,0.12,0.26
ELECTHERM,Metals - Iron & Steel,SmallCap,-0.02,-0.26,-0.27,-0.18,-0.08,-0.02,0.05,0.06,0.06,0.01,0.27
ELGIEQUIP,Industrial - Pumps/Engines,SmallCap,0.09,0.11,-0.19,0.09,0.06,0.13,0.14,0.13,0.13,0.06,0.2
EMCURE,Healthcare - Formulations,SmallCap,-0.13,0.13,-0.16,-0.02,-0.03,0.18,-0.07,0.2,0.25,0.17,0.25
EMIL,Consumption - Retail,SmallCap,-0.29,-0.29,-0.54,-0.45,-0.39,-0.51,-0.03,-0.07,-0.0,0.15,0.15
ENDURANCE,Auto - Electricals & Batteries,MidCap,-0.33,-0.41,-0.43,-0.23,-0.38,-0.02,0.36,0.32,0.45,0.34,0.45
ENGINERSIN,Infra - Consulting,SmallCap,-0.27,-0.21,-0.17,-0.07,0.02,0.1,0.33,0.18,0.28,0.31,0.33
EPL,Packaging - Misc,SmallCap,0.18,0.14,-0.12,-0.26,-0.51,-0.17,0.05,0.05,0.18,0.14,0.33
ERIS,Healthcare - Formulations,SmallCap,0.24,0.04,-0.36,-0.21,-0.13,-0.06,-0.05,0.01,0.27,0.16,0.42
ESABINDIA,Industial Products - Fabrication,SmallCap,-0.31,-0.4,-0.29,-0.31,-0.18,-0.13,-0.04,-0.06,0.05,0.04,0.05
ETERNAL,IT - Platform - Ecommerce,LargeCap,-0.06,-0.27,-0.28,-0.46,-0.26,-0.26,-0.09,0.16,0.21,0.47,0.47
EVEREADY,Consumption - Misc,SmallCap,0.11,-0.04,-0.28,-0.22,-0.07,-0.12,-0.13,0.24,0.26,0.19,0.26
EXCELINDUS,Chemicals - Specialty - Diversified,SmallCap,-0.09,-0.17,-0.65,-0.45,-0.39,-0.0,0.16,0.16,0.25,0.1,0.25
EXIDEIND,Auto - Electricals & Batteries,MidCap,-0.3,-0.16,-0.2,-0.31,-0.14,-0.21,-0.09,-0.09,0.19,0.15,0.19
EXPLEOSOL,IT - Services,SmallCap,0.05,-0.07,-0.47,-0.56,-0.5,-0.33,0.01,-0.02,0.08,0.34,0.34
FACT,Agrochem - Fertilizers,SmallCap,-0.18,-0.03,-0.13,-0.07,0.17,0.13,0.09,0.09,0.09,0.12,0.17
FCL,Chemicals - Specialty - Misc,SmallCap,0.02,0.03,-0.18,-0.37,-0.24,-0.26,0.04,-0.05,0.1,0.12,0.15
FEDERALBNK,Financials - Private Bank,MidCap,0.5,0.28,0.3,0.23,0.02,0.01,0.23,0.19,0.22,0.2,0.65
FEDFINA,Financials - NBFC,SmallCap,-0.14,-0.16,-0.09,-0.11,-0.01,-0.16,0.09,0.41,0.39,0.51,0.51
FIEMIND,Auto - Lighting & Electronics,SmallCap,0.2,0.13,-0.08,-0.33,-0.22,-0.06,0.35,0.23,0.33,0.22,0.35
FINCABLES,Power - Wiring,SmallCap,-0.5,-0.54,-0.68,-0.23,-0.18,-0.08,0.02,-0.0,0.14,0.01,0.22
FINEORG,Chemicals - Specialty - Diversified,SmallCap,-0.06,-0.18,-0.28,-0.04,0.01,-0.02,0.1,0.15,0.27,0.23,0.27
FINOPB,Financials - Private Bank,SmallCap,0.12,0.0,-0.52,-0.3,-0.08,-0.11,0.03,-0.03,0.06,0.04,0.12
FINPIPE,Infra - Plastic Products,SmallCap,-0.07,-0.17,-0.3,-0.23,-0.24,-0.0,-0.01,0.02,0.14,0.25,0.25
FLAIR,Consumption - Stationary,SmallCap,-0.17,-0.28,-0.35,-0.29,-0.16,-0.16,0.08,0.39,0.41,0.48,0.48
FLUOROCHEM,Chemicals - Specialty - Refrigeration,MidCap,0.14,0.05,0.13,-0.14,-0.05,-0.13,-0.01,0.19,0.1,0.12,0.22
FMGOETZE,Auto - Drivetrain,SmallCap,-0.12,-0.25,-0.35,-0.38,-0.36,0.08,0.44,0.27,0.31,0.36,0.44
FORCEMOT,Auto - Cars/UVs,SmallCap,0.06,-0.17,-0.08,0.14,0.0,0.41,0.58,0.42,0.4,0.36,0.58
FORTIS,Healthcare - Hospitals,MidCap,0.45,0.38,0.19,0.18,0.15,0.22,0.29,0.48,0.5,0.51,0.56
FOSECOIND,Chemicals - Specialty - Misc,SmallCap,-0.05,-0.26,-0.16,-0.27,-0.37,-0.06,0.25,0.41,0.51,0.42,0.51
FSL,Tech - BPO,SmallCap,0.07,-0.15,-0.14,-0.01,-0.0,0.01,-0.08,0.14,0.16,0.07,0.16
FUSION,Financials - MFI,SmallCap,-0.54,-0.45,-0.47,-0.36,-0.08,-0.01,0.16,0.06,0.16,0.24,0.24
GABRIEL,Auto - Suspension & Axles,SmallCap,0.2,0.17,-0.2,0.15,0.2,0.29,0.46,0.47,0.55,0.55,0.55
GALLANTT,Metals - Iron & Steel,SmallCap,0.18,0.31,-0.38,0.03,0.13,0.11,0.29,0.56,0.35,0.3,0.56
GARUDA,Infra - Residential & Commercial Buildings,SmallCap,0.08,-0.02,-0.08,-0.1,0.1,0.15,-0.21,0.31,0.46,0.43,0.46
GEPIL,Power - Equipment,SmallCap,-0.21,-0.2,-0.24,-0.19,-0.18,-0.18,0.07,0.1,0.05,0.11,0.13
GICHSGFIN,Financials - Housing,SmallCap,-0.06,-0.3,-0.32,-0.34,-0.22,-0.15,0.06,-0.03,0.01,0.03,0.16
GILLETTE,Consumption - Personal,SmallCap,0.12,0.04,-0.21,-0.09,-0.3,-0.22,-0.08,-0.04,0.24,0.21,0.29
GIPCL,Power - Generation,SmallCap,0.01,-0.04,-0.29,-0.14,-0.1,-0.11,0.18,0.18,0.25,0.07,0.25
GLAND,Healthcare - CRAMS/CDMO,MidCap,-0.28,-0.52,-0.29,-0.13,-0.17,-0.13,0.02,0.27,0.13,0.19,0.27
GLAXO,Healthcare - Formulations - OTC,MidCap,-0.2,-0.51,0.05,0.14,0.2,0.32,0.35,0.41,0.37,0.29,0.41
GLENMARK,Healthcare - Formulations - Generic,MidCap,0.34,0.15,-0.22,-0.05,-0.11,0.12,0.23,0.35,0.37,0.32,0.48
GLOBUSSPR,Beverages - Alcohol,SmallCap,0.31,0.26,0.04,-0.06,0.05,0.1,0.18,0.24,0.27,0.13,0.41
GMDCLTD,Mining - Coal/Minerals,SmallCap,-0.07,0.2,0.18,0.31,0.13,0.25,0.4,-0.06,-0.08,0.19,0.4
GMMPFAUDLR,Industial Products - Glasslined Equipments,SmallCap,-0.16,-0.24,-0.3,-0.56,-0.63,-0.46,-0.24,-0.08,-0.11,0.05,0.05
GMRAIRPORT,Infra - Airport Services,MidCap,0.05,-0.14,-0.15,-0.16,0.14,-0.09,0.07,0.1,0.11,0.17,0.3
GNFC,Chemicals - Diversified,SmallCap,0.17,0.06,-0.1,-0.07,0.01,-0.05,0.16,0.09,0.29,0.19,0.29
GODAVARIB,Chemicals - Diversified,SmallCap,0.07,0.06,0.06,0.03,-0.2,-0.46,-0.25,-0.05,0.04,0.24,0.38
GODFRYPHLP,Consumption - Cigarettes,SmallCap,0.03,0.13,-0.48,-0.4,-0.35,-0.3,-0.24,-0.18,0.52,0.26,0.52
GODIGIT,Financials - Gen Insurance,SmallCap,0.0,-0.23,-0.32,-0.4,-0.37,-0.26,-0.1,0.41,0.33,0.48,0.48
GODREJAGRO,Agri - Animal Feed,SmallCap,-0.13,-0.58,-0.51,-0.22,0.03,0.24,0.23,0.3,0.25,0.32,0.32
GODREJCP,Consumption - Personal,LargeCap,-0.26,-0.28,-0.48,-0.28,-0.09,-0.14,-0.09,0.02,0.22,0.06,0.22
GOKULAGRO,Agri - Edible Oils,SmallCap,0.24,0.19,-0.11,0.36,0.25,-0.02,0.16,0.18,0.24,0.33,0.36
GOLDIAM,Consumption - Jewelry,SmallCap,0.23,0.19,-0.2,-0.21,-0.08,-0.04,-0.08,-0.17,0.15,0.21,0.27
GOODLUCK,Metals - Pipe & Tube,SmallCap,-0.03,-0.1,-0.5,-0.34,-0.22,-0.03,0.24,0.27,0.52,0.28,0.52
GOPAL,Consumption - Foods/Drinks,SmallCap,0.15,0.09,0.1,-0.15,-0.64,-0.44,-0.19,-0.22,-0.01,0.01,0.43
GPIL,Metals - Iron & Steel,SmallCap,-0.09,-0.12,-0.07,-0.22,-0.3,-0.25,-0.09,0.04,0.27,0.37,0.37
GPPL,Infra - Ports,SmallCap,0.0,-0.31,-0.44,-0.26,-0.29,-0.11,-0.0,-0.02,0.01,0.04,0.16
GRANULES,Healthcare - API/Drug,SmallCap,0.11,-0.02,-0.19,0.08,0.1,0.08,-0.09,-0.15,0.15,0.23,0.23
GRAPHITE,Metals - Foundry Support,SmallCap,0.09,0.07,0.02,-0.01,0.02,0.13,0.21,0.28,0.3,0.27,0.3
GRASIM,Infra - Cement,LargeCap,0.13,0.22,-0.01,-0.04,0.09,-0.1,0.18,0.03,0.16,0.02,0.41
GREAVESCOT,Industrial - Pumps/Engines,SmallCap,0.35,0.29,0.15,0.14,0.13,0.1,-0.17,-0.22,-0.06,0.06,0.35
GREENPANEL,Infra - Laminates,SmallCap,0.27,0.1,-0.23,-0.35,-0.35,-0.09,-0.08,-0.13,-0.09,0.15,0.41
GREENPLY,Infra - Laminates,SmallCap,-0.0,-0.16,-0.44,-0.39,-0.11,0.1,0.16,0.15,0.17,0.22,0.23
GRINDWELL,Industial Products - Abrasives ,SmallCap,-0.51,-0.34,-0.41,-0.29,-0.14,0.19,0.28,-0.02,0.18,0.2,0.28
GRINFRA,Infra - Road & Highways,SmallCap,0.05,-0.04,-0.08,0.24,0.26,0.27,0.28,0.27,0.35,0.06,0.35
GRMOVER,Agri - Rice,SmallCap,0.12,0.23,-0.04,0.23,0.35,0.35,0.46,0.25,0.25,0.17,0.46
GRSE,Defense - Ship,SmallCap,-0.33,-0.28,-0.27,0.1,0.33,0.52,0.36,0.29,0.33,0.27,0.52
GUFICBIO,Healthcare - API/Drug,SmallCap,0.16,0.14,-0.09,0.01,-0.13,0.14,-0.0,0.14,0.15,0.22,0.22
GUJTHEM,Healthcare - API/Drug,SmallCap,,,-0.26,-0.21,-0.39,-0.06,0.25,0.4,0.38,0.31,0.4
GULFOILLUB,Petro - Lubricants,SmallCap,0.23,0.18,-0.07,-0.03,0.11,0.1,0.08,0.05,0.09,0.23,0.3
GVT&D,Power - Equipment,MidCap,-0.02,-0.05,-0.17,-0.14,-0.05,0.23,0.18,0.37,0.48,0.48,0.48
HAL,Defense - Mfg,LargeCap,-0.2,-0.1,-0.27,-0.02,0.16,0.18,0.17,0.11,0.18,0.08,0.18
HAPPSTMNDS,IT - Software/Consulting,SmallCap,-0.14,-0.15,-0.35,-0.49,-0.42,-0.34,0.02,0.02,0.06,0.2,0.2
HAPPYFORGE,Auto - Drivetrain,SmallCap,-0.24,-0.23,-0.24,-0.3,-0.23,-0.03,0.06,-0.1,-0.05,0.09,0.41
HARIOMPIPE,Metals - Pipe & Tube,SmallCap,-0.07,-0.23,-0.62,-0.63,-0.48,-0.37,-0.28,-0.18,-0.08,0.03,0.06
HARSHA,Industial Products - Precision Components,SmallCap,-0.21,-0.29,-0.3,-0.4,-0.42,-0.24,0.06,0.07,0.0,0.12,0.21
HBLENGINE,Railways,SmallCap,-0.2,-0.27,-0.44,-0.26,-0.24,-0.13,0.07,-0.02,0.39,0.41,0.41
HCG,Healthcare - Hospitals,SmallCap,0.24,0.32,0.21,0.22,0.16,-0.05,0.07,0.14,0.3,0.17,0.4
HDFCAMC,Financials - AMC,MidCap,-0.18,-0.34,-0.61,-0.44,-0.24,-0.0,0.23,0.46,0.45,0.47,0.47
HDFCBANK,Financials - Private Bank,LargeCap,0.0,0.16,0.21,0.27,0.25,0.21,0.43,0.56,0.42,0.36,0.56
HDFCLIFE,Financials - Life,LargeCap,0.13,-0.06,-0.33,-0.18,-0.0,0.17,0.49,0.36,0.49,0.37,0.49
HEG,Metals - Foundry Support,SmallCap,0.03,-0.07,-0.04,-0.05,0.02,0.09,0.3,0.4,0.32,0.19,0.4
HEMIPROP,Real Estate,SmallCap,-0.01,-0.12,-0.27,-0.33,-0.21,-0.25,-0.23,-0.28,-0.16,0.11,0.11
HERANBA,Agrochem - Pesticides,SmallCap,0.14,0.05,-0.55,-0.52,-0.71,-0.68,-0.41,-0.01,0.16,0.27,0.3
HERITGFOOD,Consumption - Dairy,SmallCap,0.08,-0.07,-0.22,-0.38,-0.23,-0.2,0.14,0.14,0.19,0.22,0.22
HEROMOTOCO,Auto - 2W,LargeCap,-0.25,-0.12,-0.41,-0.25,-0.08,0.06,0.16,-0.03,0.28,0.21,0.28
HESTERBIO,Healthcare - Animals,SmallCap,-0.05,-0.51,-0.36,-0.65,-0.01,-0.0,0.01,0.06,0.03,0.18,0.18
HEXT,IT - Enterprise,SmallCap,,,0.43,-0.14,0.09,0.24,0.24,0.08,-0.02,0.22,0.43
HFCL,Telecom - Infra,SmallCap,0.18,-0.04,-0.56,-0.47,-0.41,-0.32,-0.19,-0.22,-0.13,0.05,0.27
HINDALCO,Metals - Aluminium,LargeCap,0.06,0.07,0.0,-0.12,0.0,0.04,0.27,0.28,0.26,0.28,0.42
HINDCOPPER,Metals - Copper,SmallCap,0.13,0.19,-0.17,-0.31,-0.19,0.01,0.27,0.09,0.14,0.24,0.27
HINDPETRO,Refineries & Marketing,MidCap,0.35,0.15,-0.18,-0.19,0.03,0.08,0.17,0.17,0.2,0.1,0.35
HINDUNILVR,Consumption - FMCG Conglomerates ,LargeCap,0.01,0.08,-0.13,-0.12,0.04,-0.04,0.01,-0.01,0.19,0.07,0.19
HINDWAREAP,Infra - Ceramics/Granites,SmallCap,-0.38,-0.58,-0.45,-0.09,0.0,0.17,0.33,0.36,0.55,0.54,0.55
HIRECT,Electronics - Automation,SmallCap,0.47,0.41,0.32,0.27,0.01,0.19,0.16,0.39,0.21,0.22,0.56
HITECHGEAR,Auto - Drivetrain,SmallCap,0.08,-0.11,-0.49,-0.12,-0.17,-0.14,0.02,0.11,0.13,0.02,0.13
HLEGLAS,Industial Products - Glasslined Equipments,SmallCap,-0.27,-0.21,-0.24,-0.03,0.04,0.28,0.47,0.45,0.57,0.44,0.57
HNDFDS,Consumption - FMCG Conglomerates ,SmallCap,0.25,0.14,-0.03,-0.23,-0.18,-0.05,0.13,0.05,0.15,0.06,0.35
HONASA,Consumption - Personal,SmallCap,-0.42,-0.44,-0.56,-0.39,-0.21,0.12,0.22,0.26,0.36,0.35,0.36
HONAUT,Electronics - Automation,MidCap,-0.33,-0.29,-0.34,-0.24,-0.03,0.15,0.08,0.06,0.31,0.34,0.34
HONDAPOWER,Industial Products - Electrical & Power Equipment,SmallCap,-0.12,-0.18,-0.26,-0.44,-0.31,0.16,0.24,0.13,0.06,0.06,0.24
HSCL,Chemicals - Carbon,SmallCap,0.39,0.31,0.13,-0.16,0.01,0.12,0.33,0.15,0.14,0.13,0.39
HUBTOWN,Real Estate,SmallCap,0.19,-0.04,-0.15,-0.29,-0.41,-0.39,0.48,0.65,0.63,0.61,0.65
HUDCO,Financials - Institute - Infra,MidCap,-0.18,-0.25,-0.26,-0.08,-0.03,0.02,0.1,0.03,0.23,0.19,0.23
HYUNDAI,Auto - Cars/UVs,LargeCap,-0.1,-0.14,-0.26,-0.21,-0.05,-0.11,0.1,0.16,0.49,0.53,0.53
ICEMAKE,Transport - Cold chain,SmallCap,-0.2,-0.25,-0.08,0.06,-0.02,0.05,0.09,0.16,0.16,0.04,0.31
ICICIBANK,Financials - Private Bank,LargeCap,0.11,0.17,-0.07,0.07,0.17,0.13,0.33,0.38,0.43,0.38,0.43
ICICIGI,Financials - Gen Insurance,LargeCap,0.05,-0.16,-0.44,-0.32,-0.07,0.06,0.32,0.27,0.3,0.29,0.33
ICICIPRULI,Financials - Life,LargeCap,0.42,0.1,-0.25,-0.36,-0.08,0.02,0.15,0.02,0.05,0.06,0.58
ICIL,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,-0.25,-0.32,-0.61,-0.61,-0.44,-0.51,-0.23,-0.23,-0.11,0.04,0.04
ICRA,Financials - Ratings,SmallCap,0.08,0.28,0.11,-0.1,-0.04,0.1,0.14,0.02,0.06,0.08,0.28
IDBI,Financials - Private Bank,SmallCap,0.11,-0.18,-0.16,0.07,0.01,0.21,0.43,0.24,0.19,0.19,0.43
IDEAFORGE,Defense - Technology & Electronics,SmallCap,-0.62,-0.31,-0.56,-0.58,-0.36,0.24,0.2,0.14,0.18,0.26,0.26
IDFCFIRSTB,Financials - Private Bank,MidCap,-0.11,0.01,-0.09,-0.18,0.02,0.11,0.27,0.07,0.1,0.17,0.27
IFBIND,Consumption - Appliances,SmallCap,-0.29,-0.45,-0.53,-0.29,0.06,0.06,-0.01,0.08,0.26,0.15,0.26
IFCI,Financials - Institute - Infra,SmallCap,0.18,-0.28,-0.32,-0.13,-0.11,0.23,0.29,0.23,0.28,0.3,0.3
IGL,Utility - Gas Distribution,MidCap,0.15,0.06,-0.01,-0.02,0.09,0.34,0.2,0.18,0.26,0.19,0.34
IIFL,Financials - NBFC,SmallCap,-0.38,-0.39,-0.53,-0.2,-0.13,0.08,0.23,0.19,0.2,0.12,0.23
IIFLCAPS,Financials - Broking,SmallCap,0.33,0.24,-0.06,-0.34,-0.34,-0.05,0.14,0.12,0.13,0.14,0.5
IMFA,Metals - Ferro Alloys,SmallCap,0.26,0.04,0.01,-0.12,-0.14,-0.48,-0.06,0.04,0.24,0.39,0.39
IMPAL,Auto - Misc,SmallCap,0.15,-0.05,-0.23,-0.3,-0.28,-0.13,0.09,-0.03,-0.02,0.07,0.26
INDIACEM,Infra - Cement,SmallCap,0.48,0.02,0.11,0.15,0.16,0.07,-0.17,0.24,0.33,0.37,0.61
INDIAMART,IT - Platform - Catalogue Retail,SmallCap,-0.27,-0.47,-0.67,-0.64,-0.47,-0.4,-0.26,0.04,0.18,0.2,0.2
INDIANB,Financials - PSU Bank,MidCap,0.14,0.16,0.11,0.29,0.14,0.22,0.44,0.22,0.29,0.29,0.44
INDIASHLTR,Financials - Housing,SmallCap,-0.05,-0.14,0.04,0.31,0.47,0.47,0.4,0.24,0.21,0.06,0.47
INDIGO,Transport - Misc,LargeCap,0.2,0.11,0.01,0.26,0.47,0.3,0.41,0.46,0.21,0.15,0.47
INDIGOPNTS,Consumption - Paints,SmallCap,-0.27,-0.31,-0.34,-0.15,-0.59,-0.26,-0.09,-0.04,0.04,0.3,0.3
INDNIPPON,Auto - Electricals & Batteries,SmallCap,-0.17,-0.23,-0.41,-0.24,-0.2,-0.07,0.19,0.1,0.16,0.25,0.25
INDOAMIN,Chemicals - Specialty - Diversified,SmallCap,0.39,0.28,0.15,-0.55,-0.4,-0.34,0.16,0.15,0.12,0.17,0.52
INDOSTAR,Financials - NBFC,SmallCap,-0.02,-0.13,-0.28,-0.1,-0.06,0.15,0.47,0.35,0.29,0.15,0.47
INDOTHAI,Financials - Broking,SmallCap,0.77,0.7,0.57,0.28,0.2,0.15,0.03,0.05,-0.19,0.24,0.77
INDRAMEDCO,Healthcare - Hospitals,SmallCap,0.42,0.34,-0.05,0.08,0.19,0.21,0.19,0.2,0.22,0.19,0.42
INDUSINDBK,Financials - Private Bank,LargeCap,-0.18,-0.15,-0.39,-0.59,-0.22,-0.1,0.0,-0.09,-0.08,0.28,0.28
INDUSTOWER,Telecom - Infra,MidCap,0.12,-0.06,-0.33,-0.26,-0.03,-0.2,-0.01,-0.1,-0.03,0.09,0.5
INFY,IT - Software/Consulting,LargeCap,0.03,-0.2,-0.5,-0.49,-0.17,-0.19,-0.1,-0.2,-0.11,0.05,0.25
INGERRAND,Industrial - Pumps/Engines,SmallCap,0.01,-0.05,-0.23,-0.12,-0.06,-0.13,0.01,-0.04,0.2,0.14,0.2
INOXGREEN,Power - Green - Misc,SmallCap,0.28,0.21,-0.01,-0.12,0.13,0.39,0.23,0.24,0.32,0.43,0.43
INOXINDIA,Industrial Products - Misc,SmallCap,-0.38,-0.4,-0.16,-0.14,-0.14,-0.04,0.01,0.04,0.16,0.27,0.27
INSECTICID,Agrochem - Pesticides,SmallCap,0.18,0.11,-0.23,-0.19,-0.26,-0.0,0.31,0.39,0.18,0.19,0.39
INTELLECT,IT - Software/Consulting,SmallCap,0.02,-0.11,-0.16,-0.11,0.01,0.19,0.08,0.31,0.39,0.45,0.45
INTERARCH,Infra - Construction,SmallCap,0.44,0.33,0.51,0.31,0.05,0.31,0.28,0.34,0.42,0.42,0.51
IOC,Refineries & Marketing,LargeCap,0.17,-0.06,-0.25,-0.34,-0.04,-0.11,0.09,0.03,0.07,0.02,0.26
IOLCP,Healthcare - API/Drug,SmallCap,-0.01,-0.14,-0.29,-0.43,-0.37,-0.19,-0.04,0.31,0.26,0.6,0.6
IPCALAB,Healthcare - Formulations - Generic,MidCap,0.52,0.29,0.08,0.04,0.07,0.11,-0.16,-0.02,0.21,0.06,0.52
IPL,Agrochem - Pesticides,SmallCap,-0.11,-0.24,-0.6,-0.44,-0.39,0.14,0.33,0.36,0.12,0.18,0.36
IRFC,Railways,LargeCap,-0.16,-0.07,-0.09,0.02,-0.13,-0.01,0.13,-0.08,0.07,0.06,0.13
ISGEC,Industial Products - Process Equipment & Fabrication,SmallCap,0.02,-0.28,-0.36,-0.18,-0.14,-0.13,0.01,0.02,0.21,0.07,0.36
ITCHOTELS,Leisure - Hotels,SmallCap,,-0.44,-0.32,-0.11,-0.1,-0.02,0.06,0.03,0.22,0.04,0.22
ITDC,Leisure - Hotels,SmallCap,-0.2,-0.21,-0.26,0.07,0.07,0.1,0.12,0.13,0.27,0.09,0.27
ITDCEM,Infra - Construction,SmallCap,-0.01,0.04,-0.05,0.07,0.17,0.39,0.5,0.35,0.18,0.12,0.5
ITI,Telecom - Equipments,SmallCap,0.32,0.0,-0.01,0.0,0.0,0.01,-0.66,0.32,0.14,0.23,0.32
IXIGO,IT - Platform - Tour & Travel,SmallCap,0.0,0.05,-0.11,-0.03,0.06,0.18,0.08,0.59,0.63,0.55,0.63
JAGSNPHARM,Healthcare - Formulations,SmallCap,0.27,0.28,0.08,0.11,-0.05,-0.18,-0.05,0.11,0.22,0.22,0.5
JAICORPLTD,Industrial Products - Plastic,SmallCap,-0.12,-0.44,-0.56,-0.65,-0.64,-0.66,-0.61,-0.26,-0.11,0.3,0.3
JAMNAAUTO,Auto - Suspension & Axles,SmallCap,-0.26,-0.64,-0.63,-0.39,-0.34,-0.2,-0.01,-0.03,0.34,0.3,0.34
JBCHEPHARM,Healthcare - Formulations,SmallCap,0.25,0.07,0.02,0.15,0.08,0.17,0.05,0.23,0.26,0.25,0.26
JBMA,Auto - Body,SmallCap,-0.47,-0.27,-0.46,-0.19,-0.01,0.08,0.08,-0.03,0.05,0.3,0.3
JGCHEM,Chemicals - Specialty - Rubber,SmallCap,0.07,-0.05,-0.36,-0.3,-0.21,-0.32,-0.01,0.2,0.15,0.18,0.2
JINDALSTEL,Metals - Iron & Steel,LargeCap,-0.06,-0.13,-0.04,-0.08,0.13,0.23,0.28,0.39,0.14,0.14,0.39
JIOFIN,Financials - NBFC,LargeCap,-0.13,-0.16,-0.31,-0.22,-0.0,0.0,0.21,0.42,0.53,0.53,0.53
JKCEMENT,Infra - Cement,MidCap,0.2,0.28,0.07,0.22,0.27,0.27,0.28,0.31,0.41,0.27,0.41
JKLAKSHMI,Infra - Cement,SmallCap,-0.0,-0.11,-0.17,-0.02,-0.12,-0.1,0.07,0.12,0.21,0.15,0.21
JKTYRE,Auto - Tyres,SmallCap,-0.23,-0.23,-0.24,-0.31,-0.12,0.1,0.13,0.07,0.11,0.16,0.16
JMFINANCIL,Financials - Diversified,SmallCap,0.25,0.19,0.1,-0.36,-0.19,-0.01,0.31,0.14,0.23,0.16,0.33
JSFB,Financials - Private Bank,SmallCap,-0.34,0.21,0.17,0.05,0.17,0.16,0.18,-0.23,-0.11,0.05,0.21
JSL,Metals - Iron & Steel,MidCap,0.11,0.21,-0.09,-0.47,-0.24,-0.13,0.02,0.04,0.17,0.35,0.46
JSWSTEEL,Metals - Iron & Steel,LargeCap,0.03,0.06,-0.03,-0.11,0.02,0.05,0.38,0.32,0.21,0.14,0.38
JTEKTINDIA,Auto - Drivetrain,SmallCap,-0.07,-0.19,0.02,-0.01,0.04,-0.05,0.13,-0.01,0.09,0.21,0.25
JUBLCPL,Chemicals - Specialty - FMCG,SmallCap,,,-0.23,-0.28,-0.49,0.02,0.04,0.31,0.62,0.64,0.64
JUBLINGREA,Chemicals - Specialty - Pharma,SmallCap,0.28,0.13,0.13,-0.14,-0.06,-0.13,0.12,0.16,0.21,0.2,0.31
JUBLPHARMA,Healthcare - CRAMS/CDMO,SmallCap,0.46,0.42,0.17,-0.05,-0.18,0.06,0.33,0.38,0.46,0.5,0.53
JYOTHYLAB,Consumption - Misc,SmallCap,-0.01,-0.11,-0.22,-0.21,-0.06,-0.02,0.1,-0.05,0.1,0.09,0.1
KAJARIACER,Infra - Ceramics/Granites,SmallCap,-0.12,-0.41,-0.48,-0.59,-0.37,0.05,0.09,0.17,0.19,0.19,0.19
KALAMANDIR,Textiles - Fashion Retail,SmallCap,-0.23,-0.12,-0.32,-0.23,-0.36,-0.16,0.21,0.15,0.21,0.2,0.21
KALYANKJIL,Consumption - Jewelry,MidCap,0.3,-0.07,-0.33,-0.34,-0.21,-0.27,-0.28,-0.05,0.19,0.11,0.3
KANSAINER,Consumption - Paints,SmallCap,0.24,-0.13,-0.23,-0.33,-0.27,-0.38,-0.27,-0.09,0.07,0.11,0.26
KARURVYSYA,Financials - Private Bank,SmallCap,0.47,0.45,0.32,0.42,0.3,0.23,0.5,0.28,0.3,0.23,0.58
KAYNES,Electronics - EMS,SmallCap,0.41,0.06,-0.05,-0.06,0.01,-0.07,-0.08,0.19,0.35,0.39,0.41
KEC,Railways,SmallCap,0.47,0.33,0.01,-0.02,-0.06,-0.05,0.0,0.03,0.13,0.1,0.54
KEI,Power - Wiring,MidCap,0.03,-0.06,-0.35,-0.42,-0.21,-0.16,-0.13,-0.06,0.1,0.49,0.49
KFINTECH,IT - Platform - Exchange/RTA,SmallCap,0.25,0.02,-0.15,-0.09,0.09,-0.03,0.01,0.02,0.03,0.04,0.25
KICL,Financials - Holding/Investing,SmallCap,-0.45,-0.52,-0.59,-0.47,-0.42,-0.2,-0.07,-0.06,0.06,0.01,0.33
KIMS,Healthcare - Hospitals,SmallCap,0.27,0.22,-0.05,0.07,0.13,0.21,0.31,0.38,0.49,0.41,0.49
KINGFA,Industrial Products - Plastic,SmallCap,0.54,0.23,0.07,0.2,0.26,0.31,0.27,0.39,0.41,0.36,0.54
KIOCL,Metals - Iron & Steel,SmallCap,0.12,-0.13,-0.16,-0.17,-0.13,-0.11,-0.29,-0.21,0.02,0.05,0.12
KIRLOSBROS,Industrial - Pumps/Engines,SmallCap,0.34,0.16,0.07,0.05,-0.06,-0.24,0.12,0.1,0.24,0.2,0.49
KIRLOSENG,Industrial - Pumps/Engines,SmallCap,-0.16,-0.14,-0.51,-0.19,-0.13,0.14,0.15,0.17,0.29,0.2,0.29
KIRLOSIND,Power - Green - Misc,SmallCap,-0.07,-0.18,-0.4,-0.52,-0.69,0.17,0.35,0.26,0.21,0.27,0.35
KKCL,Textiles - Fashion Retail,SmallCap,-0.2,-0.12,-0.17,-0.36,-0.45,-0.57,-0.2,-0.12,-0.09,0.01,0.17
KMEW,Engineering - Dredging,SmallCap,0.17,-0.09,-0.38,-0.3,-0.36,-0.29,-0.37,-0.27,-0.16,0.2,0.2
