Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,RS_52W_High
KOTAKBANK,Financials - Private Bank,LargeCap,115.45,117.12,111.16,110.36,110.9,109.07,113.73,110.78,109.39,106.46,130.43
KPEL,Power - Green - EPC,SmallCap,308.0,306.52,271.76,256.43,241.01,247.53,240.93,237.9,242.09,263.98,319.68
KPRMILL,Textiles - Mfg (Spin/Yarn/Integrated),MidCap,139.55,136.81,124.23,110.05,110.31,115.05,120.34,114.77,121.2,112.09,149.68
KRBL,Agri - Rice,SmallCap,130.83,127.07,126.48,150.4,159.4,158.34,145.5,151.91,147.4,135.84,159.4
KRISHANA,Agrochem - Fertilizers,SmallCap,178.96,189.08,195.12,193.25,208.48,239.32,241.42,225.97,225.0,233.01,241.42
KRN,Industrial Products - Misc,SmallCap,195.77,174.04,158.96,161.3,164.13,173.78,145.86,149.41,148.05,154.43,483.61
KSCL,Agri - Seeds,SmallCap,112.35,106.0,98.33,98.18,106.14,105.77,114.54,107.5,103.83,110.89,214.55
LANDMARK,Auto - Misc,SmallCap,83.39,76.77,79.26,81.35,96.23,92.98,107.34,107.57,108.66,109.3,109.3
LAURUSLABS,Healthcare - API/Drug,SmallCap,184.49,186.54,191.15,192.82,199.43,196.65,188.3,183.78,178.95,197.02,199.43
LEMONTREE,Leisure - Hotels,SmallCap,106.38,104.75,100.72,119.66,121.65,128.32,127.41,135.4,133.78,144.09,144.09
LGHL,Real Estate,SmallCap,272.83,273.22,236.5,238.45,267.56,235.3,262.11,292.55,328.67,336.82,363.35
LLOYDSENT,Metals - Iron & Steel,SmallCap,120.62,101.17,101.61,113.5,100.61,103.01,105.66,106.19,101.43,109.17,158.01
LLOYDSME,Metals - Iron & Steel,MidCap,203.92,200.84,186.11,183.82,188.32,175.84,171.93,168.77,169.1,161.38,233.18
LTF,Financials - NBFC,MidCap,113.44,113.53,114.26,117.8,122.55,132.61,132.47,140.14,133.34,134.54,140.14
LTFOODS,Agri - Rice,SmallCap,173.51,169.63,155.91,147.47,134.4,119.31,114.74,110.91,114.64,109.41,199.11
LUMAXIND,Auto - Lighting & Electronics,SmallCap,135.48,132.16,129.3,121.08,122.05,133.32,148.75,142.77,154.55,155.8,155.8
LUMAXTECH,Auto - Lighting & Electronics,SmallCap,206.82,180.12,197.47,174.82,192.62,211.04,230.61,207.76,211.95,200.49,230.61
M&M,Auto - Cars/UVs,LargeCap,114.08,112.41,115.61,114.39,114.54,123.11,117.83,132.59,132.33,123.08,179.61
MAHSCOOTER,Financials - Holding/Investing,SmallCap,152.92,157.98,171.89,157.6,171.01,164.97,168.37,164.84,172.48,151.47,172.48
MANAPPURAM,Financials - NBFC,SmallCap,123.07,124.71,118.95,126.26,131.34,123.79,125.08,139.26,139.12,145.85,145.85
MANGCHEFER,Agrochem - Fertilizers,SmallCap,227.04,257.1,267.97,257.3,255.83,265.74,272.04,261.32,239.08,250.51,272.04
MANINDS,Metals - Pipe & Tube,SmallCap,95.36,91.06,99.49,97.78,88.62,91.4,95.04,108.25,106.13,112.1,142.79
MANORAMA,Consumption - Foods/Drinks,SmallCap,239.32,223.45,213.39,193.66,168.37,163.45,168.93,162.07,164.76,178.89,309.43
MARICO,Agri - Edible Oils,MidCap,105.82,102.08,108.03,107.82,107.09,107.54,115.88,110.48,108.75,105.56,136.11
MARUTI,Auto - Cars/UVs,LargeCap,97.42,97.94,97.26,103.01,105.53,116.42,123.2,122.78,125.63,124.5,125.63
MASFIN,Financials - NBFC,SmallCap,115.6,110.73,106.08,107.06,107.04,111.84,110.38,108.86,115.23,110.35,115.6
MAXHEALTH,Healthcare - Hospitals,MidCap,129.76,134.99,136.82,141.02,137.4,144.48,138.27,130.79,131.68,113.23,162.53
MAZDOCK,Defense - Ship,MidCap,114.2,118.82,107.49,107.25,109.0,122.19,126.81,121.93,136.94,137.59,269.27
MBAPL,Agrochem - Fertilizers,SmallCap,189.61,191.62,191.91,188.39,191.97,202.17,197.87,191.45,194.48,201.4,202.17
MCX,IT - Platform - Exchange/RTA,SmallCap,211.57,194.19,176.49,176.2,175.11,163.54,147.31,142.08,146.98,137.48,240.38
MEDANTA,Healthcare - Hospitals,MidCap,107.62,109.89,111.22,125.57,121.61,128.52,125.1,127.34,118.85,122.62,128.52
MEDPLUS,IT - Platform - Healthcare/Pharma,SmallCap,131.67,134.08,136.76,128.64,126.26,129.09,128.03,114.42,119.67,129.8,136.76
MFSL,Financials - Life,MidCap,149.23,137.75,134.07,142.08,156.54,154.06,154.0,141.26,140.48,140.34,158.17
MIDHANI,Defense - Mfg,SmallCap,85.61,81.5,81.39,86.89,94.0,93.75,89.99,95.12,101.21,105.8,105.8
MOBIKWIK,IT - Fintech,SmallCap,432.13,453.9,437.96,386.21,356.97,265.69,305.94,421.54,441.53,457.91,768.97
MOLDTKPAC,Packaging - Rigid,SmallCap,88.36,92.92,102.51,101.58,100.76,101.74,103.61,104.87,102.83,108.22,108.22
MOSCHIP,IT - Hardware,SmallCap,311.73,339.1,319.09,317.37,318.67,318.05,314.61,408.79,417.68,459.36,459.36
MOTILALOFS,Financials - Broking,MidCap,168.29,152.36,141.08,149.14,148.57,133.17,123.0,114.92,122.49,122.39,330.13
MPSLTD,Media - Publishing,SmallCap,116.31,115.46,113.56,103.24,94.05,91.94,92.87,92.89,100.93,110.45,179.36
MRF,Auto - Tyres,MidCap,113.54,107.44,106.11,104.26,101.38,106.29,108.0,110.8,107.74,111.56,113.54
MSUMI,Auto - Electricals & Electronics,MidCap,88.34,80.75,77.55,82.29,80.13,88.31,91.43,97.35,109.11,108.9,109.11
MUTHOOTFIN,Financials - NBFC,MidCap,141.94,149.19,138.94,139.33,149.8,140.76,138.63,144.22,146.77,151.86,163.5
NACLIND,Agrochem - Pesticides,SmallCap,446.59,395.21,463.85,471.86,444.47,495.39,519.93,461.93,450.57,445.19,519.93
NAM-INDIA,Financials - AMC,MidCap,130.15,124.13,126.3,121.37,116.71,122.03,120.46,116.65,123.99,128.71,154.82
NATIONALUM,Metals - Aluminium,MidCap,99.14,102.19,98.17,105.75,113.18,108.87,105.34,122.47,120.87,121.19,238.09
NAVA,Power - Misc,SmallCap,154.35,137.75,135.34,132.24,124.54,143.5,149.18,139.48,130.51,121.02,230.73
NAVINFLUOR,Chemicals - Specialty - Refrigeration,SmallCap,134.95,141.71,139.83,135.61,149.77,152.51,146.82,142.02,147.96,148.87,152.51
NAVNETEDUL,Media - Publishing,SmallCap,94.51,96.67,89.94,85.87,89.21,98.28,100.35,101.53,102.04,106.57,106.57
NAZARA,IT - Gaming/Entertainment,SmallCap,157.67,153.61,137.32,147.07,149.49,122.75,129.17,120.48,105.5,109.4,196.41
NDRAUTO,Auto - Drivetrain,SmallCap,233.29,207.39,185.16,171.07,176.37,144.61,131.09,143.1,128.88,136.76,245.12
NESCO,Real Estate,SmallCap,138.81,135.09,153.0,151.04,151.88,152.85,153.54,143.49,159.51,160.29,160.29
NETWEB,IT - Hardware,SmallCap,79.5,80.69,91.58,92.07,91.65,91.79,83.81,118.5,108.19,110.57,295.82
NEULANDLAB,Healthcare - API/Drug,SmallCap,172.36,164.25,118.23,113.76,113.41,113.64,111.19,112.55,129.45,126.25,297.55
NH,Healthcare - Hospitals,SmallCap,154.34,159.73,159.05,141.04,152.56,143.17,142.79,133.28,136.27,146.5,175.93
NIBE,Defense - Mfg,SmallCap,992.03,1040.53,933.78,897.39,723.06,709.87,673.42,688.73,684.44,754.38,1040.53
NITCO,Infra - Ceramics/Granites,SmallCap,195.51,187.59,157.19,158.11,163.49,144.69,138.87,142.67,137.1,141.55,459.65
NMDC,Mining - Coal/Minerals,MidCap,92.05,90.11,90.17,96.27,95.4,94.75,95.78,106.46,104.96,109.66,132.71
NORTHARC,Financials - NBFC,SmallCap,132.55,136.53,126.31,128.77,133.51,137.03,133.5,133.83,134.31,142.47,142.47
NSIL,Financials - Holding/Investing,SmallCap,166.07,154.52,150.02,155.78,155.95,144.21,151.2,157.75,156.88,162.28,232.57
NUVOCO,Infra - Cement,SmallCap,113.16,117.66,126.36,131.75,135.6,133.59,138.66,133.04,122.64,123.62,138.66
NYKAA,IT - Platform - Ecommerce,MidCap,117.85,115.98,105.62,105.27,110.55,99.01,114.48,112.58,117.14,124.38,124.38
ONESOURCE,Healthcare - Formulations,SmallCap,3800.6,3925.83,3830.72,3018.66,2921.85,2958.82,3175.6,3516.05,2943.54,2808.26,3925.83
ORIENTTECH,IT - Services,SmallCap,241.99,233.47,225.74,221.87,222.18,219.94,94.07,100.92,105.73,109.47,472.53
PAGEIND,Textiles - Innerwear,MidCap,113.37,111.64,110.04,111.61,105.88,109.77,107.72,110.22,102.75,105.95,123.39
PANACEABIO,Healthcare - Biotech,SmallCap,320.42,303.88,291.07,304.91,253.96,203.49,196.62,165.75,135.08,140.66,368.64
PARADEEP,Agrochem - Fertilizers,SmallCap,194.6,224.79,248.81,258.19,233.55,248.73,269.69,232.94,201.93,208.53,269.69
PARAGMILK,Consumption - Dairy,SmallCap,128.68,126.22,122.08,123.0,107.94,120.55,122.76,134.58,150.13,173.28,173.28
PARAS,Defense - Technology & Electronics,SmallCap,119.0,120.03,101.71,102.28,110.03,106.42,105.34,110.1,120.42,132.13,208.89
PATANJALI,Agri - Edible Oils,MidCap,119.66,112.73,109.79,100.25,96.34,94.64,94.57,93.55,96.47,106.84,138.62
PAYTM,IT - Fintech,MidCap,214.51,209.74,205.52,208.0,203.29,227.49,200.51,208.73,187.92,190.24,235.0
PDMJEPAPER,Paper - Speciality,SmallCap,98.18,97.25,101.31,115.2,108.24,106.13,111.09,106.27,106.33,109.62,386.74
PEL,Financials - NBFC,SmallCap,140.31,128.85,116.08,117.28,117.99,110.74,110.91,103.43,97.77,112.16,140.31
PENIND,Industial Products - Precision Components,SmallCap,138.33,139.05,125.6,123.48,125.6,133.95,138.89,146.89,142.41,148.92,163.14
PFOCUS,Media - Entertainment,SmallCap,134.71,103.34,103.29,106.71,113.92,100.85,104.5,115.39,132.38,141.6,141.6
PGHL,Healthcare - Naturals/OTC/Consumers,SmallCap,111.61,111.01,118.03,121.49,121.24,126.23,126.13,123.59,121.11,124.32,126.23
PGIL,Textiles - Exports,SmallCap,187.99,156.59,142.25,136.79,128.19,129.43,123.99,127.41,140.47,151.4,257.78
POCL,Metals - Non Ferrous,SmallCap,213.38,179.65,160.11,152.21,141.38,117.35,120.68,109.6,119.51,124.11,374.76
POLYCAB,Power - Wiring,MidCap,107.16,102.83,99.82,101.38,104.05,104.93,107.52,109.66,108.47,113.71,153.48
POONAWALLA,Financials - NBFC,SmallCap,107.89,110.0,116.4,118.75,125.32,116.04,115.12,112.52,110.76,111.51,125.32
POWERINDIA,Power - Equipment,MidCap,167.47,167.38,171.75,184.35,171.79,162.57,163.23,162.9,156.78,162.15,282.64
PREMEXPLN,Defense - Explosives,SmallCap,80.43,67.59,63.46,73.87,92.48,93.55,92.07,98.4,98.78,108.01,198.28
PRICOLLTD,Auto - Electricals & Electronics,SmallCap,91.75,88.1,83.51,81.52,83.33,85.62,91.89,101.04,108.1,112.32,136.38
PRIVISCL,Chemicals - Specialty - FMCG,SmallCap,161.35,152.58,159.44,163.47,170.07,158.53,155.5,152.99,160.82,162.59,196.5
PRUDENT,Financials - WMC,SmallCap,144.55,122.82,120.86,113.19,104.37,118.8,118.89,115.26,117.58,130.08,246.24
PSPPROJECT,Infra - Residential & Commercial Buildings,SmallCap,121.31,118.18,104.91,99.83,95.62,98.65,103.79,104.79,111.96,121.84,121.84
PTCIL,Industrial Products - Precision Components,SmallCap,103.81,104.55,106.92,105.69,97.27,102.83,97.39,96.81,100.3,108.72,230.28
RACLGEAR,Auto - Drivetrain,SmallCap,304.63,346.92,334.57,263.19,255.57,264.07,267.19,233.29,243.65,252.13,356.19
RADICO,Beverages - Alcohol,SmallCap,158.17,156.0,167.43,166.69,170.91,156.41,151.75,140.06,142.45,143.98,170.91
RAINBOW,Healthcare - Hospitals,SmallCap,128.9,133.05,129.22,119.7,129.23,127.42,122.43,118.65,112.1,108.64,133.05
RALLIS,Agrochem - Pesticides,SmallCap,109.57,104.25,108.78,103.77,112.32,112.09,102.11,106.01,101.92,107.41,127.44
RAMCOCEM,Infra - Cement,SmallCap,145.84,138.14,139.93,134.04,132.03,130.68,130.1,129.49,122.42,128.82,145.84
RAMCOIND,Infra - Cement,SmallCap,118.28,115.61,117.63,125.42,128.64,124.56,129.37,126.93,149.58,155.13,155.13
RAMCOSYS,IT - Product - Software,SmallCap,105.99,103.99,107.52,99.05,102.84,109.5,106.88,100.78,109.84,123.93,148.74
RAMRAT,Power - Wiring,SmallCap,166.77,162.9,159.95,151.68,150.44,134.69,124.1,116.17,114.11,112.53,224.38
RBLBANK,Financials - Private Bank,SmallCap,107.56,107.89,114.9,120.7,121.16,112.63,118.57,130.64,128.48,131.16,131.16
REDINGTON,IT - Hardware,SmallCap,153.4,138.42,123.93,126.82,116.53,116.17,123.27,119.82,128.91,131.11,153.4
RELTD,Power - Green - Misc,SmallCap,55.11,56.33,182.52,199.38,203.19,189.51,208.6,171.06,146.78,123.07,208.6
RISHABH,Electronics - Automation,SmallCap,68.85,66.76,68.18,69.74,94.66,113.44,115.59,127.66,116.42,126.52,127.66
ROHLTD,Leisure - Hotels,SmallCap,123.88,119.6,110.94,113.37,118.71,132.83,147.94,150.07,137.45,144.7,150.07
ROSSTECH,Defense - Technology & Electronics,SmallCap,67.76,84.07,83.32,93.9,92.46,99.8,100.27,108.4,111.59,109.99,111.59
RPEL,Metals - Foundry Support,SmallCap,79.84,76.78,74.11,113.42,111.12,105.94,96.43,115.3,119.22,126.34,126.34
RPGLIFE,Healthcare - Formulations,SmallCap,137.29,129.74,120.61,107.57,107.72,110.56,113.86,102.96,105.51,107.38,171.0
RPOWER,Power - Generation,SmallCap,231.93,190.71,145.92,133.16,138.14,141.58,148.48,155.96,154.99,129.24,231.93
SABTNL,Media - TV Broadcast,SmallCap,321.55,229.4,266.86,277.52,229.99,213.04,198.76,167.36,145.41,134.58,1102.94
SAGCEM,Infra - Cement,SmallCap,110.81,101.55,99.53,100.81,98.47,102.76,113.89,127.67,118.52,120.23,127.67
SAIL,Metals - Iron & Steel,MidCap,94.53,88.65,82.65,93.61,93.49,92.34,91.7,100.36,101.01,108.18,122.92
SAILIFE,Healthcare - CRAMS/CDMO,SmallCap,683.62,725.97,706.47,694.16,711.28,713.31,625.11,664.45,684.53,684.89,725.97
SAMHI,Leisure - Hotels,SmallCap,138.25,127.82,127.67,112.29,104.93,99.43,105.69,101.72,100.93,107.74,138.25
SANATHAN,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,440.18,409.21,419.55,405.23,396.74,399.6,411.12,408.3,397.37,445.46,448.38
SANOFICONR,Healthcare - Formulations - OTC,SmallCap,90.24,93.9,96.01,101.11,99.44,100.91,105.22,104.53,107.53,106.26,107.53
SARDAEN,Metals - Iron & Steel,SmallCap,160.33,158.52,170.4,192.91,163.76,171.56,175.79,160.73,155.67,154.04,266.08
SBFC,Financials - NBFC,SmallCap,140.0,132.97,123.45,124.7,124.36,133.89,129.29,130.01,128.57,124.36,141.58
SBICARD,Financials - NBFC,MidCap,122.31,123.1,113.21,110.88,112.57,114.34,114.78,99.3,107.35,117.66,131.25
SBIN,Financials - PSU Bank,LargeCap,90.96,93.51,94.23,97.59,101.41,99.92,101.65,103.54,105.14,108.54,122.91
SCHAEFFLER,Auto - Drivetrain,MidCap,106.65,96.47,102.02,98.58,95.33,96.09,101.37,98.29,100.57,108.1,117.28
SCHNEIDER,Power - Equipment,SmallCap,120.27,114.61,125.2,112.15,105.39,107.55,106.73,110.43,107.03,116.96,204.51
SCODATUBES,Metals - Pipe & Tube,SmallCap,307.61,304.12,291.4,265.71,235.52,251.27,251.18,273.76,262.82,284.8,325.49
SDBL,Beverages - Alcohol,SmallCap,143.0,141.44,125.71,135.99,127.66,127.41,126.36,124.49,110.73,115.52,143.0
SENORES,Healthcare - Formulations,SmallCap,170.99,176.46,173.98,194.7,196.76,201.27,195.03,188.8,186.47,194.15,201.27
SEQUENT,Healthcare - Animals,SmallCap,130.97,119.95,121.77,122.31,122.21,105.21,106.94,106.32,103.41,107.61,175.92
SHAILY,Industrial Products - Plastic,SmallCap,188.54,185.49,190.41,176.25,181.68,213.74,218.66,219.54,233.29,226.35,454.68
SHAKTIPUMP,Industrial - Pumps/Engines,SmallCap,138.92,122.41,115.04,111.85,116.16,113.91,111.87,111.19,120.48,134.36,663.01
SHANKARA,Infra - Retail,SmallCap,150.24,149.92,175.09,177.57,187.66,171.53,159.68,178.39,179.85,182.84,187.66
SHARDACROP,Agrochem - Pesticides,SmallCap,166.56,193.8,200.32,179.11,167.81,166.72,174.29,163.25,157.79,169.57,200.32
SHREECEM,Infra - Cement,LargeCap,110.87,112.26,113.08,125.2,122.91,121.22,118.69,117.82,115.39,119.79,125.2
SHREEPUSHK,Chemicals - Dyes,SmallCap,161.87,151.77,145.87,150.21,145.52,130.08,126.25,138.9,127.9,161.41,175.76
SHRIPISTON,Auto - Drivetrain,SmallCap,124.69,127.38,123.41,124.28,124.7,123.95,120.79,116.27,113.12,122.84,188.43
SIGNPOST,Media - Misc,SmallCap,93.88,94.02,98.53,90.78,90.22,113.45,123.49,128.87,129.48,128.74,129.48
SIMPLEXINF,Infra - Construction,SmallCap,211.47,207.09,209.39,196.65,196.09,205.02,185.73,175.13,136.37,135.47,390.24
SIRCA,Consumption - Paints,SmallCap,115.87,118.57,121.22,131.99,142.22,135.92,148.63,140.8,134.05,142.48,148.63
SIYSIL,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,144.5,132.87,121.39,116.62,116.28,123.14,130.34,138.71,138.26,144.21,172.62
SJS,Auto - Wheels ,SmallCap,158.03,150.44,117.41,111.76,118.75,138.81,136.86,145.95,143.7,146.8,177.56
SKIPPER,Power - Equipment,SmallCap,141.44,127.04,129.38,118.59,125.17,117.7,126.78,137.93,127.68,133.68,237.84
SKYGOLD,Consumption - Jewelry,SmallCap,161.11,131.18,135.11,123.38,113.42,119.97,114.09,101.27,104.2,116.16,610.28
SMLISUZU,Auto - CV,SmallCap,166.8,184.8,161.91,186.33,215.0,224.07,209.14,185.27,189.92,198.16,224.07
SOLARINDS,Defense - Explosives,MidCap,134.74,132.25,130.61,139.98,143.32,139.48,132.84,126.69,130.94,134.35,182.65
SPIC,Agrochem - Fertilizers,SmallCap,99.96,117.41,113.38,97.81,96.07,119.91,127.02,128.91,123.6,131.01,131.01
SPMLINFRA,Infra - Water Infra,SmallCap,148.63,137.21,157.1,130.82,135.93,113.32,114.6,111.0,114.54,105.99,420.51
SRF,Chemicals - Specialty - Diversified,MidCap,133.67,123.79,119.06,112.06,114.12,116.92,114.26,114.17,121.65,125.37,133.67
SRHHYPOLTD,Chemicals - Bulk,SmallCap,118.98,99.24,103.3,101.57,108.61,102.68,98.67,109.07,106.8,107.35,132.23
SSWL,Auto - Wheels ,SmallCap,107.07,102.04,94.14,99.54,93.3,93.65,98.28,99.51,111.47,120.53,120.53
STARCEMENT,Infra - Cement,SmallCap,108.01,110.54,118.61,130.61,135.68,124.05,129.07,133.55,132.07,133.01,135.68
STYRENIX,Chemicals - Specialty - Plastics,SmallCap,126.4,114.36,108.65,105.07,103.08,93.67,104.55,103.09,107.04,108.55,204.13
SUBROS,Auto - HVAC/Emotors,SmallCap,124.74,119.13,123.24,122.56,107.17,115.7,113.77,123.97,118.89,124.78,150.27
SUDARSCHEM,Chemicals - Dyes,SmallCap,138.51,136.79,145.82,150.41,146.41,140.49,149.57,142.32,140.82,140.41,200.46
SUNDARMHLD,Financials - Insurance & Lending,SmallCap,189.12,181.54,161.73,159.32,169.01,154.14,119.6,123.57,149.64,156.13,230.7
SUNDROP,Agri - Edible Oils,SmallCap,110.18,92.27,92.8,91.03,98.19,99.95,99.05,101.39,101.65,107.44,122.89
SUNFLAG,Metals - Iron & Steel,SmallCap,117.34,114.03,107.88,120.83,138.08,125.89,127.48,129.66,124.92,128.66,138.08
SUPRIYA,Healthcare - API/Drug,SmallCap,180.83,176.33,156.49,146.22,127.05,124.39,123.58,109.99,105.21,105.05,246.46
SUVEN,Healthcare - CRAMS/CDMO,SmallCap,227.9,190.13,188.59,190.99,164.61,152.57,154.94,148.27,149.68,152.85,240.71
SWARAJENG,Industrial - Pumps/Engines,SmallCap,143.56,142.0,134.52,129.84,136.75,131.22,121.72,127.08,131.9,139.28,162.14
SYRMA,Electronics - EMS,SmallCap,152.9,153.09,153.17,169.5,167.79,163.89,177.53,194.34,178.0,186.42,194.34
TAJGVK,Leisure - Hotels,SmallCap,134.49,123.02,131.99,137.18,129.73,136.83,127.33,136.87,134.57,143.43,166.71
TARIL,Power - Equipment,SmallCap,140.73,129.32,142.89,142.38,146.55,133.64,136.05,142.23,147.86,163.42,518.26
TATAINVEST,Financials - Holding/Investing,MidCap,101.81,104.4,109.79,114.38,113.66,112.05,96.68,95.18,98.82,105.27,175.49
TATASTEEL,Metals - Iron & Steel,LargeCap,101.11,99.3,97.31,104.06,103.49,102.63,104.48,111.38,111.68,114.53,114.53
TATVA,Chemicals - Specialty - Pharma,SmallCap,91.02,114.57,112.9,105.46,107.99,107.43,111.97,102.99,105.47,110.62,114.57
TCI,Transport - Logistics,SmallCap,128.94,122.17,116.51,112.19,110.24,100.72,108.39,106.91,104.97,109.82,131.03
TDPOWERSYS,Power - Equipment,SmallCap,128.17,119.9,122.33,115.38,120.11,119.6,121.51,128.21,132.42,143.01,158.49
TEGA,Industial Products - Material Handling/Mining,SmallCap,110.48,102.83,99.93,104.12,109.78,109.17,111.78,120.86,112.39,114.42,175.61
TFCILTD,Financials - Institute - Infra,SmallCap,158.49,155.49,159.24,169.51,174.31,165.13,174.03,198.72,204.22,218.66,218.66
THYROCARE,Healthcare - Diagnostics,SmallCap,182.85,168.67,163.91,165.89,156.39,141.28,151.68,155.41,141.88,148.93,182.85
TI,Beverages - Alcohol,SmallCap,162.62,198.59,203.07,195.46,222.34,196.87,178.42,154.13,148.77,151.15,222.34
TIL,Industial Products - Material Handling/Mining,SmallCap,131.9,114.27,86.18,82.06,74.95,71.09,68.5,74.5,93.33,111.78,323.69
TIMETECHNO,Industrial Products - Plastic,SmallCap,141.88,132.97,137.25,140.03,115.25,119.92,117.84,116.92,108.27,120.34,253.45
TORNTPHARM,Healthcare - Formulations,LargeCap,117.42,112.79,114.65,107.05,107.81,109.82,105.53,105.22,104.31,105.07,145.96
TVSMOTOR,Auto - 2W,LargeCap,116.42,110.61,111.93,115.03,115.73,118.84,120.33,126.88,124.66,127.06,145.4
ULTRACEMCO,Infra - Cement,LargeCap,109.07,104.93,103.6,107.6,108.64,110.79,115.54,110.71,106.58,108.43,118.01
UNIMECH,Defense - Mfg,SmallCap,726.72,723.38,695.3,657.93,684.77,689.69,673.78,653.75,677.09,703.12,881.95
UNIONBANK,Financials - PSU Bank,MidCap,106.08,102.51,96.72,106.49,114.31,105.84,106.1,105.54,112.47,112.22,114.31
UNIVCABLES,Power - Wiring,SmallCap,88.09,85.18,88.25,93.06,109.02,104.01,102.99,106.75,100.3,106.39,140.08
UNOMINDA,Auto - Electricals & Batteries,MidCap,112.32,104.09,103.14,107.75,99.06,113.22,112.56,118.4,122.26,118.94,152.08
UPL,Agrochem - Pesticides,MidCap,124.37,132.71,124.49,124.21,123.11,124.65,123.58,113.47,114.46,121.54,134.48
USHAMART,Metals - Wires,SmallCap,101.38,98.68,100.13,98.03,107.94,113.05,118.95,109.32,108.65,115.28,118.95
UTIAMC,Financials - AMC,SmallCap,142.06,128.95,126.02,133.2,127.39,120.86,116.07,102.74,105.97,108.23,142.75
V2RETAIL,Consumption - Retail,SmallCap,241.64,226.55,176.03,188.42,179.84,158.2,155.44,150.73,147.63,142.52,670.66
VADILALIND,Consumption - Dairy,SmallCap,123.29,129.79,119.1,115.75,118.26,123.88,127.42,125.95,125.73,139.66,161.44
VARROC,Auto - Lighting & Electronics,SmallCap,88.81,85.51,82.96,91.88,97.4,95.17,97.05,106.97,108.0,112.31,112.31
VIJAYA,Healthcare - Diagnostics,SmallCap,132.84,134.81,138.64,127.16,128.0,110.82,114.09,120.97,114.56,120.15,173.48
VIMTALABS,Healthcare - CRAMS/CDMO,SmallCap,203.33,212.81,264.53,252.87,264.3,244.33,220.16,281.51,244.91,289.87,289.87
VISHNU,Chemicals - Specialty - Diversified,SmallCap,117.51,110.37,122.22,112.61,108.6,119.87,126.43,120.78,126.74,130.46,158.0
VSTTILLERS,Auto - Tractors,SmallCap,102.76,106.16,108.35,110.29,136.62,136.18,127.85,121.21,121.97,120.43,143.83
WAAREEENER,Power - Green Equipment,MidCap,641.04,706.12,657.04,639.34,591.54,638.64,730.31,759.75,896.98,892.92,896.98
WEBELSOLAR,Power - Green Equipment,SmallCap,244.08,237.49,210.72,170.29,161.98,138.46,144.95,121.37,126.41,130.44,658.56
WELCORP,Metals - Pipe & Tube,SmallCap,143.38,137.66,138.4,132.23,124.38,122.29,122.85,125.38,128.94,144.49,168.2
WINDLAS,Healthcare - CRAMS/CDMO,SmallCap,132.24,135.31,119.58,106.25,124.19,124.02,125.82,110.75,110.68,116.68,237.94
WINDMACHIN,Industial Products - Machinery,SmallCap,223.76,197.43,196.83,179.8,186.91,160.47,164.35,154.28,146.69,151.6,455.41
WOCKPHARMA,Healthcare - Formulations,SmallCap,224.4,196.56,180.38,153.93,162.07,145.01,140.38,143.58,150.03,150.77,413.82
XPROINDIA,Packaging - Flex,SmallCap,121.09,116.4,113.17,108.71,99.24,91.19,99.14,106.8,105.85,111.63,146.61
YATHARTH,Healthcare - Hospitals,SmallCap,141.28,135.6,142.79,157.71,154.36,138.09,137.06,149.99,133.57,147.3,157.71
YATRA,IT - Platform - Tour & Travel,SmallCap,72.58,71.16,71.28,73.24,110.1,108.4,105.81,106.87,119.05,122.64,122.64
ZENSARTECH,IT - Enterprise,SmallCap,108.61,98.48,104.55,101.74,100.33,101.96,103.34,100.16,104.6,114.88,158.36
ZOTA,Healthcare - Naturals/OTC/Consumers,SmallCap,208.42,208.38,176.56,185.85,212.21,183.22,187.47,200.29,230.23,233.85,233.85
ZYDUSWELL,Consumption - FMCG Conglomerates ,SmallCap,94.25,88.18,91.84,83.64,86.4,87.42,90.86,108.16,115.98,125.87,125.87
