Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,RS_52W_High
BANARISUG,Agri - Sugar,SmallCap,120.51,121.34,121.04,119.49,121.42,117.68,116.44,105.46,112.45,117.41,163.65
BANCOINDIA,Auto - Drivetrain,SmallCap,193.85,161.42,158.99,162.73,159.18,171.62,175.6,179.68,185.57,208.37,208.37
BANKINDIA,Financials - PSU Bank,MidCap,93.48,94.77,87.11,93.02,97.21,95.59,96.78,97.69,105.44,110.05,110.05
BDL,Defense - Mfg,MidCap,111.89,117.34,110.97,104.54,119.2,115.12,113.84,112.42,127.4,143.63,193.08
BEL,Defense - Technology & Electronics,LargeCap,126.62,127.51,125.28,127.29,126.44,122.27,127.51,131.33,139.04,147.8,174.79
BEML,Defense - Mfg,SmallCap,93.26,92.53,87.15,95.94,108.23,102.8,104.43,103.66,113.7,120.62,155.78
BFUTILITIE,Infra - Road & Highways,SmallCap,102.64,94.33,91.59,93.33,89.46,100.82,105.57,105.46,101.77,107.86,154.16
BHARTIARTL,Telecom - Mobile/FixedLine,LargeCap,127.77,127.95,126.93,126.97,125.84,128.07,122.8,123.68,117.53,114.46,147.37
BHARTIHEXA,Telecom - Mobile/FixedLine,MidCap,154.66,152.1,161.63,155.11,147.62,162.42,146.38,146.25,126.61,120.89,182.51
BIRLAMONEY,Financials - Broking,SmallCap,100.83,101.56,104.39,104.81,107.4,107.72,117.9,115.02,119.17,128.75,240.42
BLISSGVS,Healthcare - Formulations,SmallCap,143.2,129.34,149.8,157.58,151.89,123.02,128.43,121.73,115.04,119.91,157.58
BLUEJET,Healthcare - API/Drug,SmallCap,244.19,176.79,157.9,169.29,170.63,163.66,141.14,146.65,144.3,140.92,244.19
BORORENEW,Power - Green Equipment,SmallCap,121.62,115.35,112.43,114.11,110.41,110.17,111.0,116.1,114.14,117.42,128.1
BOSCHLTD,Auto - Electricals & Electronics,LargeCap,110.29,108.33,119.85,119.72,120.36,120.4,127.46,127.0,117.26,113.71,149.78
BSE,IT - Platform - Exchange/RTA,MidCap,320.32,300.71,283.94,270.89,280.38,254.75,229.41,247.48,229.71,172.55,320.32
CAMLINFINE,Chemicals - Specialty - FMCG,SmallCap,256.65,222.42,234.54,216.87,202.51,202.52,204.11,192.25,204.71,213.83,296.68
CANBK,Financials - PSU Bank,LargeCap,99.61,97.27,96.43,97.52,101.15,97.88,96.18,104.1,105.3,110.28,112.75
CANTABIL,Textiles - Fashion Retail,SmallCap,98.14,96.48,94.51,89.58,91.13,98.81,104.66,107.9,108.14,105.01,130.51
CAPLIPOINT,Healthcare - CRAMS/CDMO,SmallCap,137.98,133.35,122.03,140.7,134.18,123.75,113.81,107.18,117.51,120.58,174.97
CARERATING,Financials - Ratings,SmallCap,173.19,171.75,171.2,169.88,166.48,162.4,166.15,161.13,162.09,167.12,173.19
CARTRADE,IT - Platform - Ecommerce,SmallCap,224.6,218.79,245.27,239.75,263.12,260.6,292.08,286.07,238.11,239.52,292.08
CARYSIL,Consumption - Kitchen/ Accessories,SmallCap,115.49,110.98,105.97,95.06,100.92,100.11,98.79,111.52,107.96,119.15,119.15
CCL,Agri - Tea/Coffee,SmallCap,144.99,136.2,138.47,131.01,125.2,123.73,125.0,121.4,122.84,122.76,144.99
CEATLTD,Auto - Tyres,SmallCap,140.52,129.42,121.46,113.56,117.11,111.57,117.4,117.83,110.3,120.65,154.73
CENTUM,Electronics - EMS,SmallCap,140.02,138.88,125.07,151.34,158.57,175.24,166.85,164.37,155.9,157.65,175.24
CEWATER,Waste Management,SmallCap,372.72,396.78,371.05,338.34,315.97,323.03,338.7,319.21,306.68,317.4,454.86
CGPOWER,Power - Equipment,LargeCap,97.08,90.46,89.57,93.45,92.74,90.45,103.04,109.81,111.11,109.06,171.34
CHALET,Leisure - Hotels,SmallCap,119.45,110.08,108.89,110.48,119.12,127.69,124.98,115.82,116.18,121.84,135.33
CHAMBLFERT,Agrochem - Fertilizers,SmallCap,109.85,108.58,99.25,101.56,107.25,110.13,107.26,110.89,107.25,115.26,173.62
CHOICEIN,Financials - Holding/Investing,SmallCap,194.65,193.55,191.62,187.73,203.35,185.97,182.36,175.41,180.42,184.97,221.07
CIGNITITEC,IT - Services,SmallCap,128.19,116.14,118.42,110.98,112.63,119.91,122.0,114.97,121.48,122.3,158.17
CLSEL,Agri - Rice,SmallCap,157.76,149.68,132.53,118.02,113.52,114.63,124.81,123.68,122.65,112.47,168.61
COFORGE,IT - Enterprise,MidCap,152.61,133.12,141.19,136.71,134.59,144.82,140.38,125.72,126.94,129.94,163.54
COROMANDEL,Agrochem - Fertilizers,MidCap,142.32,150.34,159.03,142.91,133.23,138.31,135.68,134.11,132.81,137.35,182.25
COSMOFIRST,Packaging - Flex,SmallCap,135.06,123.99,122.18,105.73,110.23,106.73,130.94,122.95,117.41,125.37,195.57
CRAFTSMAN,Auto - Electricals & Electronics,SmallCap,123.27,117.88,121.62,123.73,130.13,115.59,118.26,110.78,106.73,106.3,130.13
CREDITACC,Financials - MFI,SmallCap,97.12,99.71,95.6,98.87,109.72,115.98,118.44,111.35,103.5,106.74,118.44
CRISIL,Financials - Ratings,MidCap,135.79,131.21,121.73,117.87,118.04,116.63,115.45,109.04,108.21,111.31,135.79
CSBBANK,Financials - Private Bank,SmallCap,118.24,119.22,124.65,132.38,117.65,121.05,115.75,114.33,115.51,118.89,132.38
CUB,Financials - Private Bank,SmallCap,134.08,130.82,128.92,128.72,127.95,127.11,118.66,120.76,120.58,126.58,134.08
CUMMINSIND,Industrial - Pumps/Engines,MidCap,97.6,95.07,102.28,102.49,100.25,102.27,105.56,105.01,107.52,109.27,172.35
CUPID,Consumption - Personal,SmallCap,171.99,168.54,176.06,158.76,170.27,196.9,208.67,206.61,235.18,247.47,304.57
DALBHARAT,Infra - Cement,MidCap,121.64,123.07,123.32,128.91,129.2,128.71,131.2,129.04,128.0,135.33,135.33
DATAMATICS,IT - Services,SmallCap,116.24,135.17,173.27,177.83,167.33,175.61,150.72,151.13,145.23,150.57,177.83
DATAPATTNS,Defense - Technology & Electronics,SmallCap,85.55,81.21,81.15,82.01,85.89,89.74,88.52,90.86,101.95,110.48,123.2
DBL,Infra - Road & Highways,SmallCap,94.21,89.67,89.65,86.15,94.52,87.13,85.7,85.47,98.14,110.49,127.93
DCAL,Healthcare - CRAMS/CDMO,SmallCap,158.27,148.43,126.05,122.16,152.31,139.83,134.62,140.17,133.51,143.92,159.55
DCBBANK,Financials - Private Bank,SmallCap,109.78,110.04,109.22,107.0,99.83,98.56,102.82,104.02,106.26,110.45,110.45
DCMSHRIRAM,Agri - Sugar,SmallCap,141.86,135.31,130.6,119.1,117.77,107.29,111.24,111.21,114.4,116.0,141.86
DDEVPLSTIK,Chemicals - Specialty - Plastics,SmallCap,132.67,125.15,119.15,113.55,113.72,112.12,103.78,92.71,105.9,112.9,132.67
DECCANCE,Infra - Cement,SmallCap,167.83,158.66,145.05,160.5,162.71,161.38,161.34,170.47,168.43,179.25,179.25
DEEPAKFERT,Chemicals - Diversified,SmallCap,206.4,177.89,163.06,147.82,151.77,142.82,137.06,134.16,141.31,149.04,248.58
DEEPINDS,Oil and Gas - Field Services,SmallCap,158.29,146.57,148.14,160.95,167.17,149.93,147.27,138.83,121.54,132.69,213.25
DELHIVERY,Transport - Logistics,SmallCap,111.67,107.13,103.95,116.56,111.01,110.51,115.32,114.44,114.13,112.19,116.56
DHANI,Financials - Misc,SmallCap,116.32,107.34,112.54,118.62,118.12,114.99,110.76,119.94,124.37,129.09,241.24
DIACABS,Power - Wiring,SmallCap,134.06,125.81,107.21,101.75,102.45,98.43,93.87,98.48,109.53,119.64,2996.21
DIAMONDYD,Consumption - Foods/Drinks,SmallCap,120.01,110.8,111.61,103.06,101.95,102.14,109.82,122.04,130.13,126.69,130.25
DIVGIITTS,Auto - Drivetrain,SmallCap,90.57,95.75,93.91,96.31,100.06,107.1,109.19,114.91,106.63,110.23,114.91
DIVISLAB,Healthcare - API/Drug,LargeCap,146.32,138.1,128.24,122.48,131.86,126.44,124.36,117.48,110.66,114.32,159.88
DIXON,Consumption - Electronics,MidCap,139.17,148.13,145.46,135.15,130.36,127.06,130.92,148.67,140.3,132.2,266.04
DODLA,Consumption - Dairy,SmallCap,122.7,110.46,106.55,112.65,109.82,110.81,110.29,121.15,115.78,121.25,151.34
DYCL,Power - Wiring,SmallCap,160.81,137.74,141.33,145.01,146.67,157.42,149.22,157.88,162.46,170.38,205.09
E2E,IT - Cloud Infra,SmallCap,133.57,122.06,119.53,119.57,99.76,92.42,96.82,106.03,111.84,107.19,803.73
ECLERX,IT - Services,SmallCap,150.09,152.54,156.67,165.63,160.11,143.08,150.19,152.15,158.93,166.19,166.19
EICHERMOT,Auto - 2W,LargeCap,113.98,108.38,117.68,117.25,119.2,120.73,127.11,139.09,142.88,140.98,142.88
EIDPARRY,Agrochem - Fertilizers,SmallCap,145.21,150.5,157.97,143.61,152.17,144.27,140.23,132.29,133.62,132.67,157.97
EIHOTEL,Leisure - Hotels,SmallCap,93.99,88.81,90.68,91.26,103.97,106.62,107.74,107.09,105.49,112.43,157.08
ENDURANCE,Auto - Electricals & Batteries,MidCap,100.51,101.47,98.08,98.01,103.31,109.69,119.8,118.22,117.96,119.84,123.1
ERIS,Healthcare - Formulations,SmallCap,172.11,167.46,162.32,144.03,138.75,139.77,133.97,119.91,121.52,126.0,172.11
ETERNAL,IT - Platform - Ecommerce,LargeCap,115.44,138.24,116.89,112.68,119.97,121.26,129.46,127.19,118.91,114.49,218.16
EUREKAFORB,Consumption - Appliances,SmallCap,20.64,19.93,20.71,22.43,24.41,22.29,24.54,26.05,105.25,107.05,107.05
FACT,Agrochem - Fertilizers,SmallCap,92.3,94.56,94.22,94.32,103.58,101.5,97.39,102.15,99.52,105.02,138.03
FAZE3Q,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,137.49,128.18,115.83,99.1,93.94,94.03,91.22,86.24,110.43,116.27,147.39
FEDERALBNK,Financials - Private Bank,MidCap,109.02,105.11,99.78,99.4,95.81,98.2,101.73,104.32,105.21,109.12,124.02
FEDFINA,Financials - NBFC,SmallCap,97.91,102.59,105.4,103.36,115.16,116.52,116.82,114.93,123.8,129.42,129.42
FIEMIND,Auto - Lighting & Electronics,SmallCap,150.68,149.54,142.73,138.07,138.17,131.22,142.47,126.18,125.74,126.99,150.68
FLAIR,Consumption - Stationary,SmallCap,100.59,104.34,106.63,101.87,104.69,100.73,103.95,107.67,99.35,111.7,111.7
FMGOETZE,Auto - Drivetrain,SmallCap,135.82,137.43,130.03,112.75,116.1,115.35,125.64,131.31,128.86,126.79,137.43
FORCEMOT,Auto - Cars/UVs,SmallCap,198.76,210.9,185.73,211.88,236.49,226.58,241.58,230.88,257.57,266.43,266.43
FORTIS,Healthcare - Hospitals,MidCap,162.96,165.84,170.97,183.26,174.28,169.2,170.66,174.12,167.64,166.03,183.26
FOSECOIND,Chemicals - Specialty - Misc,SmallCap,114.82,103.78,107.7,95.09,99.47,132.77,131.49,134.32,132.71,138.17,138.17
FSL,Tech - BPO,SmallCap,141.8,132.06,114.71,129.56,116.31,113.64,119.58,111.4,119.53,121.57,189.25
GABRIEL,Auto - Suspension & Axles,SmallCap,212.84,198.94,202.86,200.61,219.52,220.94,217.12,232.34,236.08,252.29,252.29
GALAPREC,Industial Products - Precision Components,SmallCap,491.59,490.75,478.83,472.64,464.22,477.93,458.76,459.75,112.08,117.48,719.28
GALLANTT,Metals - Iron & Steel,SmallCap,186.84,196.32,244.34,231.63,190.71,167.54,156.75,172.94,183.71,178.96,339.58
GANESHHOUC,Real Estate,SmallCap,107.62,95.53,100.13,98.47,98.56,103.16,104.95,107.74,108.05,105.2,286.33
GILLETTE,Consumption - Personal,SmallCap,143.95,137.08,135.04,127.36,130.15,122.69,117.38,116.29,113.14,114.81,143.95
GLAND,Healthcare - CRAMS/CDMO,MidCap,98.73,100.08,93.61,95.48,101.21,104.55,105.16,99.72,108.65,115.26,115.26
GLENMARK,Healthcare - Formulations - Generic,MidCap,154.75,149.13,144.18,137.14,130.1,114.64,114.78,121.05,122.77,131.97,178.88
GMDCLTD,Mining - Coal/Minerals,SmallCap,107.58,107.92,97.2,109.11,117.59,114.8,113.05,137.85,156.39,158.48,158.48
GODFRYPHLP,Consumption - Cigarettes,SmallCap,218.34,204.03,211.13,224.55,223.65,195.19,174.66,154.35,139.84,138.51,259.46
GODREJIND,Chemicals - Diversified,MidCap,128.81,126.9,121.16,124.78,129.97,136.72,125.38,99.7,101.76,106.28,162.58
GOKULAGRO,Agri - Edible Oils,SmallCap,191.58,179.6,156.29,140.74,141.4,139.1,130.08,124.5,125.01,148.14,264.71
GOLDIAM,Consumption - Jewelry,SmallCap,209.79,179.02,179.95,181.75,154.73,124.96,116.5,126.22,104.47,113.92,275.16
GPIL,Metals - Iron & Steel,SmallCap,86.75,90.65,85.13,85.16,102.18,121.48,126.39,131.03,129.8,147.94,147.94
GRASIM,Infra - Cement,LargeCap,97.73,95.25,101.19,104.64,105.94,102.18,106.25,104.6,101.61,107.65,116.03
GREAVESCOT,Industrial - Pumps/Engines,SmallCap,132.45,122.05,132.81,126.43,125.46,118.1,121.89,136.04,120.09,130.18,169.26
