Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,CMF_52D_High
RATEGAIN,IT - Software/Consulting,SmallCap,-0.24,-0.3,-0.33,0.08,0.12,0.16,0.02,0.17,0.13,0.14,0.17
RELAXO,Consumption - Footwear,SmallCap,0.2,0.16,0.11,0.12,0.11,0.17,0.23,0.2,0.08,0.08,0.25
RELTD,Power - Green - Misc,SmallCap,0.28,0.22,0.29,-0.26,-0.14,-0.1,0.1,0.12,0.28,0.41,0.41
RISHABH,Electronics - Automation,SmallCap,-0.04,-0.17,-0.24,-0.24,0.49,0.57,0.54,0.58,0.56,0.57,0.58
ROHLTD,Leisure - Hotels,SmallCap,0.1,-0.09,-0.17,-0.07,-0.11,0.51,0.6,0.53,0.47,0.48,0.6
ROSSTECH,Defense - Technology & Electronics,SmallCap,0.17,0.42,0.38,0.34,0.32,0.23,0.23,0.14,0.15,0.14,0.53
RTNINDIA,IT - Platform - Ecommerce,SmallCap,0.11,0.07,0.06,0.05,0.04,-0.1,0.14,0.08,0.13,0.22,0.22
SAMMAANCAP,Financials - Housing,SmallCap,0.08,-0.01,-0.04,-0.08,-0.11,-0.09,0.01,0.05,0.11,0.15,0.15
SANGHVIMOV,Auto - Construction,SmallCap,-0.26,-0.48,-0.37,0.03,0.08,0.18,0.13,0.13,0.27,0.27,0.27
SANOFICONR,Healthcare - Formulations - OTC,SmallCap,-0.19,-0.25,-0.25,-0.11,-0.08,-0.08,-0.09,-0.07,-0.01,0.03,0.03
SANSTAR,Agri - Misc,SmallCap,-0.06,-0.16,-0.17,-0.22,-0.15,-0.14,-0.18,-0.42,0.03,0.06,0.06
SAREGAMA,Media - Entertainment,SmallCap,-0.04,-0.05,-0.09,-0.04,-0.11,-0.09,-0.03,0.02,0.02,0.03,0.03
SBCL,Electronics - Components,SmallCap,0.21,0.09,0.14,0.09,0.11,0.13,0.08,-0.01,0.07,0.13,0.21
SCHNEIDER,Power - Equipment,SmallCap,0.41,0.34,0.36,0.2,0.03,0.16,0.18,0.17,0.17,0.12,0.41
SEAMECLTD,Transport - Shipping,SmallCap,-0.12,-0.16,-0.42,-0.34,-0.09,0.06,0.29,0.09,0.03,0.06,0.29
SENCO,Consumption - Jewelry,SmallCap,-0.13,-0.24,-0.26,-0.28,0.0,0.08,0.07,0.05,-0.04,0.06,0.08
SENORES,Healthcare - Formulations,SmallCap,0.02,0.29,0.21,0.15,0.14,0.15,0.15,0.13,0.1,0.06,0.29
SHAILY,Industrial Products - Plastic,SmallCap,-0.2,-0.1,-0.21,-0.46,0.13,0.35,0.43,0.41,0.41,0.44,0.44
SHALBY,Healthcare - Hospitals,SmallCap,-0.17,0.06,-0.09,-0.07,-0.05,-0.03,-0.02,0.24,0.01,0.03,0.24
SHANKARA,Infra - Retail,SmallCap,0.28,0.14,0.29,0.26,0.23,0.03,0.04,0.09,0.16,0.17,0.35
SHARDACROP,Agrochem - Pesticides,SmallCap,0.26,0.45,0.33,0.25,0.25,0.27,0.27,0.24,0.14,0.2,0.45
SHK,Consumption - Personal,SmallCap,0.02,0.11,-0.07,-0.14,-0.17,-0.1,0.23,0.29,0.26,0.29,0.29
SHOPERSTOP,Consumption - Retail,SmallCap,0.13,0.05,0.02,0.02,0.01,0.05,0.06,0.06,0.02,0.01,0.13
SHREEPUSHK,Chemicals - Dyes,SmallCap,-0.04,-0.11,-0.11,-0.13,-0.3,-0.29,-0.31,-0.28,-0.21,0.18,0.18
SHYAMMETL,Metals - Iron & Steel,SmallCap,0.05,0.16,0.25,0.35,0.32,0.35,0.33,0.34,0.32,0.35,0.35
SIEMENS,Power - Equipment,LargeCap,-0.0,-0.13,-0.27,-0.21,-0.12,-0.11,-0.06,-0.12,-0.07,0.06,0.06
SIGACHI,Healthcare - API/Drug,SmallCap,-0.2,-0.24,-0.26,-0.38,-0.48,-0.52,-0.54,-0.55,0.22,0.23,0.23
SILVERTUC,IT - Services,SmallCap,-0.24,0.06,-0.05,-0.03,-0.03,-0.04,-0.04,-0.13,0.11,0.15,0.15
SIMPLEXINF,Infra - Construction,SmallCap,0.24,0.2,0.05,-0.03,-0.05,0.04,0.03,0.04,0.01,0.04,0.24
SIRCA,Consumption - Paints,SmallCap,0.55,0.47,0.43,0.39,0.37,0.32,0.37,0.33,0.28,0.21,0.57
SJS,Auto - Wheels ,SmallCap,0.13,0.11,0.03,0.02,0.03,0.15,0.1,0.15,0.14,0.21,0.26
SKFINDIA,Industrial Products - Bearings,SmallCap,0.22,0.1,0.07,-0.01,0.04,0.05,-0.03,0.21,-0.02,0.05,0.26
SMLISUZU,Auto - CV,SmallCap,0.53,0.42,0.4,0.41,0.45,0.48,0.45,0.4,0.26,0.24,0.53
SMSPHARMA,Healthcare - API/Drug,SmallCap,-0.11,-0.23,-0.23,-0.17,-0.0,0.09,0.03,-0.03,0.34,0.33,0.34
SOBHA,Real Estate,SmallCap,0.28,0.23,0.22,0.18,-0.05,-0.02,0.06,0.08,0.02,0.1,0.28
SPECTRUM,Industial Products - Electrical & Power Equipment,SmallCap,-0.07,-0.12,-0.09,-0.14,-0.07,-0.15,0.1,-0.15,0.12,0.12,0.12
SPIC,Agrochem - Fertilizers,SmallCap,-0.04,0.19,-0.03,-0.09,-0.09,0.21,0.17,0.06,0.04,0.05,0.21
SPLPETRO,Chemicals - Petro,SmallCap,0.09,0.11,0.27,0.18,0.14,0.11,0.08,-0.02,0.05,0.06,0.27
STARCEMENT,Infra - Cement,SmallCap,-0.26,-0.25,0.08,0.19,0.31,0.25,0.24,0.2,0.19,0.2,0.31
STOVEKRAFT,Consumption - Kitchen/ Accessories,SmallCap,-0.08,-0.14,-0.05,0.02,-0.04,0.19,0.18,0.19,0.12,0.14,0.19
STYLEBAAZA,Textiles - Fashion Retail,SmallCap,-0.39,-0.3,-0.25,-0.04,-0.02,-0.05,-0.02,-0.09,0.18,0.22,0.22
SUDARSCHEM,Chemicals - Dyes,SmallCap,0.21,0.16,0.34,0.34,0.34,0.31,0.36,0.31,0.32,0.33,0.36
SULA,Beverages - Alcohol,SmallCap,-0.27,-0.39,-0.38,-0.4,-0.39,0.05,0.01,-0.01,0.27,0.28,0.28
SUNDARMHLD,Financials - Insurance & Lending,SmallCap,0.18,0.09,0.06,-0.03,0.01,-0.03,-0.14,-0.36,0.05,0.11,0.18
SUNPHARMA,Healthcare - Formulations - Specialty,LargeCap,0.12,0.03,-0.03,-0.04,-0.05,0.02,-0.05,-0.0,0.07,0.04,0.12
SUPRAJIT,Auto - Electricals & Batteries,SmallCap,0.08,0.03,-0.01,0.14,-0.11,-0.09,0.09,-0.0,-0.01,0.08,0.14
SUPREMEIND,Industrial Products - Plastic,MidCap,0.2,0.24,0.06,-0.03,-0.08,-0.01,-0.02,0.09,0.27,0.33,0.33
SURAKSHA,Healthcare - Diagnostics,SmallCap,0.01,-0.03,-0.18,-0.13,-0.17,-0.16,-0.32,-0.3,-0.11,0.02,0.02
SWANENERGY,Real Estate,SmallCap,0.23,0.09,0.07,0.07,0.01,0.13,0.11,0.06,0.07,0.08,0.23
SYNGENE,Healthcare - CRAMS/CDMO,MidCap,0.0,0.02,0.02,-0.05,-0.02,0.01,0.02,0.01,0.05,0.12,0.12
SYRMA,Electronics - EMS,SmallCap,0.24,0.4,0.38,0.36,0.41,0.45,0.54,0.51,0.39,0.22,0.54
TATVA,Chemicals - Specialty - Pharma,SmallCap,0.22,0.28,0.07,0.03,0.02,0.05,0.03,0.0,0.0,0.02,0.28
TDPOWERSYS,Power - Equipment,SmallCap,0.11,-0.06,-0.06,-0.32,-0.19,-0.2,-0.27,0.0,0.01,0.03,0.11
TEGA,Industial Products - Material Handling/Mining,SmallCap,0.47,0.33,0.29,0.22,0.25,0.29,0.27,0.39,0.26,0.34,0.47
TFCILTD,Financials - Institute - Infra,SmallCap,0.41,0.54,0.5,0.41,0.44,0.44,0.34,0.41,0.39,0.35,0.54
THANGAMAYL,Consumption - Jewelry,SmallCap,-0.32,-0.34,-0.17,-0.1,-0.04,0.07,0.19,0.19,0.13,0.17,0.19
THELEELA,Leisure - Hotels,SmallCap,0.45,0.3,0.28,0.28,0.1,0.13,0.12,0.09,0.14,0.05,0.45
THEMISMED,Healthcare - Formulations,SmallCap,-0.54,-0.66,-0.64,-0.19,-0.19,-0.15,-0.14,-0.12,0.05,0.05,0.05
THYROCARE,Healthcare - Diagnostics,SmallCap,0.4,0.5,0.48,0.4,0.44,0.33,0.28,0.27,0.17,0.13,0.5
TI,Beverages - Alcohol,SmallCap,0.23,0.48,0.46,0.41,0.45,0.37,0.43,0.42,0.43,0.45,0.48
TIRUMALCHM,Chemicals - Petro,SmallCap,-0.12,-0.17,-0.18,-0.15,-0.21,-0.18,-0.07,-0.04,0.05,0.05,0.05
TITAN,Consumption - Jewelry,LargeCap,0.02,0.02,-0.03,0.1,0.07,0.17,0.11,0.01,-0.05,0.21,0.29
TORNTPHARM,Healthcare - Formulations,LargeCap,0.08,0.13,0.2,0.2,0.18,0.18,0.18,0.1,0.14,0.23,0.23
TTKPRESTIG,Consumption - Kitchen/ Accessories,SmallCap,-0.12,-0.35,-0.34,0.14,0.1,0.08,0.12,0.12,0.09,0.12,0.14
TVSHLTD,Auto - Electricals & Batteries,SmallCap,0.24,-0.01,0.05,-0.08,-0.06,-0.03,-0.08,-0.11,0.09,0.05,0.24
TVSMOTOR,Auto - 2W,LargeCap,0.19,0.07,0.18,0.21,0.25,0.38,0.3,0.28,0.28,0.32,0.38
UNIECOM,IT - Platform - Catalogue Retail,SmallCap,-0.26,-0.4,-0.44,-0.39,-0.43,-0.17,-0.16,0.02,-0.0,0.01,0.02
UNIPARTS,Industial Products - Material Handling/Mining,SmallCap,0.1,0.02,-0.08,-0.18,0.16,0.27,0.28,0.27,0.18,0.22,0.28
UNOMINDA,Auto - Electricals & Batteries,MidCap,0.19,0.2,0.18,0.17,0.12,0.3,0.25,0.18,0.17,0.22,0.3
VASCONEQ,Infra - Residential & Commercial Buildings,SmallCap,0.1,-0.11,-0.1,-0.27,-0.26,-0.23,-0.22,-0.12,0.02,0.02,0.1
VEEDOL,Petro - Lubricants,SmallCap,-0.23,-0.33,-0.28,-0.3,-0.29,-0.06,0.1,0.08,0.21,0.51,0.51
VENTIVE,Leisure - Hotels,SmallCap,0.4,0.44,0.43,0.39,0.36,0.41,0.4,0.4,0.13,0.01,0.44
VGUARD,Consumption - Appliances,SmallCap,-0.04,0.02,-0.01,-0.02,-0.03,0.08,0.07,0.03,0.01,0.01,0.08
VIMTALABS,Healthcare - CRAMS/CDMO,SmallCap,0.21,0.48,0.47,0.36,0.38,0.31,0.33,0.45,0.39,0.39,0.48
VIPIND,Consumption - Luggage,SmallCap,0.21,0.1,0.15,0.12,0.14,0.04,0.06,0.08,0.11,0.03,0.24
VOLTAS,Consumption - Appliances,MidCap,0.13,0.06,0.05,0.02,0.03,0.06,0.07,0.1,0.04,0.02,0.13
VSTTILLERS,Auto - Tractors,SmallCap,0.14,0.09,0.06,0.0,0.29,0.28,0.23,0.19,0.13,0.08,0.29
WAAREERTL,Power - Green - IPP,SmallCap,0.29,0.17,0.16,0.12,0.15,0.18,0.16,0.16,0.18,0.18,0.29
WABAG,Water Supply & Management,SmallCap,0.17,0.2,0.02,-0.04,0.08,0.08,0.1,0.1,0.08,0.13,0.2
WALCHANNAG,Industial Products - Process Equipment & Fabrication,SmallCap,0.16,-0.05,0.04,-0.2,-0.52,-0.26,-0.25,-0.33,-0.0,0.05,0.16
WCIL,Transport - Logistics,SmallCap,0.22,0.18,0.16,0.12,0.13,0.26,0.23,0.07,0.15,0.08,0.26
WELCORP,Metals - Pipe & Tube,SmallCap,0.48,0.44,0.42,0.06,-0.05,0.08,0.01,-0.11,-0.09,0.04,0.48
WELENT,Infra - Road & Highways,SmallCap,0.12,-0.05,-0.05,-0.18,-0.3,-0.16,-0.08,-0.12,-0.06,0.01,0.12
WINDLAS,Healthcare - CRAMS/CDMO,SmallCap,-0.21,-0.03,-0.06,-0.03,0.18,0.06,0.1,0.11,0.05,0.09,0.18
YATHARTH,Healthcare - Hospitals,SmallCap,0.23,0.08,0.03,0.24,0.15,0.15,0.11,0.16,0.02,0.03,0.24
YATRA,IT - Platform - Tour & Travel,SmallCap,-0.15,-0.13,-0.06,-0.09,0.33,0.29,0.29,0.17,0.17,0.17,0.33
ZOTA,Healthcare - Naturals/OTC/Consumers,SmallCap,0.37,0.3,0.25,0.23,0.35,0.34,0.35,0.37,0.18,0.33,0.53
ZYDUSWELL,Consumption - FMCG Conglomerates ,SmallCap,0.06,0.04,-0.01,-0.03,-0.07,-0.04,0.08,0.35,0.37,0.36,0.37
