Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,BreakoutCount
NEULANDLAB,Healthcare - API/Drug,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
NLCINDIA,Power - Generation,MidCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
NPST,IT - Fintech,SmallCap,Other,Other,Breakout,Other,Breakout,Other,Other,Other,Other,Other,2
NUVOCO,Infra - Cement,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
OLECTRA,Auto - CV,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
OPTIEMUS,Telecom - Equipments,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
ORIENTHOT,Leisure - Hotels,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
PARADEEP,Agrochem - Fertilizers,SmallCap,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,2
PARAGMILK,Consumption - Dairy,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,3
PATANJALI,Agri - Edible Oils,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
PAYTM,IT - Fintech,MidCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
PDMJEPAPER,Paper - Speciality,SmallCap,Other,Other,Other,Breakout,Other,Breakout,Other,Other,Other,Other,2
PEL,Financials - NBFC,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
PENIND,Industial Products - Precision Components,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
PFOCUS,Media - Entertainment,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
PGHL,Healthcare - Naturals/OTC/Consumers,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
PLATIND,Chemicals - Specialty - Plastics,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
PNBGILTS,Financials - Misc,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
PNCINFRA,Infra - Road & Highways,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
POCL,Metals - Non Ferrous,SmallCap,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,2
POLYCAB,Power - Wiring,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
PPLPHARMA,Healthcare - CRAMS/CDMO,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
PRECAM,Auto - Drivetrain,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
PRESTIGE,Real Estate,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
PRICOLLTD,Auto - Electricals & Electronics,SmallCap,Other,Other,Breakdown,Other,Other,Other,Breakout,Breakout,Other,Other,2
PRUDENT,Financials - WMC,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
PTC,Power - Misc,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
PUNJABCHEM,Agrochem - Pesticides,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
PVRINOX,Media - Misc,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
QUADFUTURE,Power - Wiring,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
RACLGEAR,Auto - Drivetrain,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
RADHIKAJWE,Consumption - Jewelry,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
RADICO,Beverages - Alcohol,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
RAIN,Chemicals - Petro,SmallCap,Other,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,2
RALLIS,Agrochem - Pesticides,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
RAMCOIND,Infra - Cement,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
RAMCOSYS,IT - Product - Software,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Breakout,Other,2
RATEGAIN,IT - Software/Consulting,SmallCap,Other,Other,Other,Breakout,Other,Other,Breakout,Breakout,Breakout,Other,4
RAYMONDLSL,Textiles - Fashion Retail,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
RCF,Agrochem - Fertilizers,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
REDTAPE,Consumption - Footwear,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
RELIGARE,Financials - Insurance & Lending,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
RELTD,Power - Green - Misc,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
RICOAUTO,Auto - Drivetrain,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,2
RISHABH,Electronics - Automation,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Other,Breakout,Other,Other,3
ROHLTD,Leisure - Hotels,SmallCap,Breakout,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,3
ROSSARI,Chemicals - Specialty - FMCG,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
ROSSTECH,Defense - Technology & Electronics,SmallCap,Other,Breakout,Breakout,Breakout,Breakout,Breakout,Other,Breakout,Other,Other,6
RPSGVENT,Tech - BPO,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
RRKABEL,Power - Wiring,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
RUPA,Textiles - Innerwear,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
SAGCEM,Infra - Cement,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,2
SANGHIIND,Infra - Cement,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
SANGHVIMOV,Auto - Construction,SmallCap,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Breakout,Other,3
SANSERA,Auto - Suspension & Axles,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
SARDAEN,Metals - Iron & Steel,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
SBCL,Electronics - Components,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
SEAMECLTD,Transport - Shipping,SmallCap,Other,Other,Breakdown,Other,Other,Breakout,Breakout,Other,Other,Other,2
SENORES,Healthcare - Formulations,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
SHAILY,Industrial Products - Plastic,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,2
SHALBY,Healthcare - Hospitals,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Breakout,Breakout,Other,3
SHANKARA,Infra - Retail,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
SHANTIGEAR,Auto - Drivetrain,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
SHARDACROP,Agrochem - Pesticides,SmallCap,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,2
SHK,Consumption - Personal,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
SHOPERSTOP,Consumption - Retail,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
SHREDIGCEM,Infra - Cement,SmallCap,Breakout,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,3
SHREEPUSHK,Chemicals - Dyes,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Breakout,2
SHRIPISTON,Auto - Drivetrain,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
SHYAMMETL,Metals - Iron & Steel,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
SIGACHI,Healthcare - API/Drug,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
SIGNPOST,Media - Misc,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
SIMPLEXINF,Infra - Construction,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
SIRCA,Consumption - Paints,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
SJS,Auto - Wheels ,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
SKIPPER,Power - Equipment,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
SMLISUZU,Auto - CV,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
SMSPHARMA,Healthcare - API/Drug,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
SOBHA,Real Estate,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
SPANDANA,Financials - MFI,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
SPIC,Agrochem - Fertilizers,SmallCap,Other,Breakout,Other,Other,Other,Breakout,Other,Breakout,Other,Other,3
SPMLINFRA,Infra - Water Infra,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
SPORTKING,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
STARCEMENT,Infra - Cement,SmallCap,Breakout,Breakout,Breakout,Breakout,Breakout,Other,Other,Other,Other,Other,5
STOVEKRAFT,Consumption - Kitchen/ Accessories,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
STYLAMIND,Infra - Laminates,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
STYLEBAAZA,Textiles - Fashion Retail,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
SUDARSCHEM,Chemicals - Dyes,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
SUMICHEM,Agrochem - Pesticides,SmallCap,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,2
SUMMITSEC,Financials - Holding/Investing,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
SUNDARMFIN,Financials - NBFC,MidCap,Other,Other,Other,Other,Other,Breakout,Breakdown,Other,Other,Other,1
SUNDARMHLD,Financials - Insurance & Lending,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
SUNTECK,Real Estate,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
SWANENERGY,Real Estate,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
SWARAJENG,Industrial - Pumps/Engines,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
SWIGGY,IT - Platform - Ecommerce,LargeCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
SYNGENE,Healthcare - CRAMS/CDMO,MidCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
SYRMA,Electronics - EMS,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
TAJGVK,Leisure - Hotels,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
TASTYBITE,Consumption - Foods/Drinks,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
TATACHEM,Chemicals - Bulk,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
TATACOMM,Telecom - Mobile/FixedLine,MidCap,Breakout,Other,Other,Other,Other,Breakdown,Other,Other,Other,Other,1
TATAINVEST,Financials - Holding/Investing,MidCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
TATVA,Chemicals - Specialty - Pharma,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
TBOTEK,IT - Platform - Tour & Travel,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
TDPOWERSYS,Power - Equipment,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
TEGA,Industial Products - Material Handling/Mining,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,2
THANGAMAYL,Consumption - Jewelry,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
THEJO,Industial Products - Material Handling/Mining,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
THEMISMED,Healthcare - Formulations,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
THERMAX,Power - Equipment,MidCap,Breakout,Other,Other,Other,Other,Other,Breakdown,Other,Other,Other,1
THOMASCOOK,IT - Platform - Tour & Travel,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
THYROCARE,Healthcare - Diagnostics,SmallCap,Breakout,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,3
TI,Beverages - Alcohol,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
TIIL,Metals - Casting/Forging,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
TIINDIA,Auto - Forgings,MidCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
TIMETECHNO,Industrial Products - Plastic,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
TIRUMALCHM,Chemicals - Petro,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
TVSHLTD,Auto - Electricals & Batteries,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
TVSMOTOR,Auto - 2W,LargeCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
UNIECOM,IT - Platform - Catalogue Retail,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
UNIENTER,Chemicals - Misc,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
UNIPARTS,Industial Products - Material Handling/Mining,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
UNOMINDA,Auto - Electricals & Batteries,MidCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
UPL,Agrochem - Pesticides,MidCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
VADILALIND,Consumption - Dairy,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
VARROC,Auto - Lighting & Electronics,SmallCap,Other,Other,Other,Breakdown,Other,Other,Other,Breakout,Other,Other,1
VASCONEQ,Infra - Residential & Commercial Buildings,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,2
VBL,Consumption - Foods/Drinks,LargeCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
VEEDOL,Petro - Lubricants,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
VERANDA,IT - Education,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
VIJAYA,Healthcare - Diagnostics,SmallCap,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,2
VIMTALABS,Healthcare - CRAMS/CDMO,SmallCap,Breakout,Breakout,Breakout,Other,Other,Other,Other,Breakout,Other,Other,4
VINCOFE,Agri - Tea/Coffee,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
VIPIND,Consumption - Luggage,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
VSTTILLERS,Auto - Tractors,SmallCap,Other,Breakout,Other,Other,Breakout,Other,Other,Other,Other,Other,2
WAAREEENER,Power - Green Equipment,MidCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,2
WAAREERTL,Power - Green - IPP,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
WCIL,Transport - Logistics,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
WINDLAS,Healthcare - CRAMS/CDMO,SmallCap,Other,Breakout,Other,Other,Breakout,Other,Other,Other,Other,Other,2
YATHARTH,Healthcare - Hospitals,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
YATRA,IT - Platform - Tour & Travel,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,2
ZOTA,Healthcare - Naturals/OTC/Consumers,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
ZYDUSLIFE,Healthcare - Formulations,LargeCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
ZYDUSWELL,Consumption - FMCG Conglomerates ,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
